actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-12-07T01:10:31.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-07T01:10:31Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-07T01:10:33.7Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2021-12-07T01:10:33Z,40000,,,0,,Jump Ball C. Capela vs. K. Towns: Tip to T. Young,"[1629027, 203991, 1626157]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Capela,203991.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2021-12-07T01:10:57.8Z,1,REGULAR,2pt,Jump Shot,[],1627789,75.3777923784494,73.2843137254902,1610612737,0,0,2021-12-07T01:11:13Z,70000,116.0,179.0,1,right,MISS T. Luwawu-Cabarrot 21' pullup Shot - blocked,"[1627789, 1630162]",1610612737.0,ATL,pullup,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,21.34,Missed,Edwards,1630162.0,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2021-12-07T01:10:57.8Z,1,REGULAR,block,,[],1630162,,,1610612737,0,0,2021-12-07T01:11:00Z,80000,,,0,,A. Edwards BLOCK (1 BLK),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2021-12-07T01:10:58.8Z,1,REGULAR,rebound,offensive,[],1627789,,,1610612737,0,0,2021-12-07T01:11:13Z,90000,,,0,,T. Luwawu-Cabarrot REBOUND (Off:1 Def:0),[1627789],1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M33.00S,2021-12-07T01:11:03.0Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612737,0,0,2021-12-07T01:11:12Z,100000,,,0,,ATL shot clock Team TURNOVER,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,202041.0,,,,,,,,,,,,
11,PT11M18.00S,2021-12-07T01:11:31.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover', 'defensivegoaltending']",1626157,11.383048620236531,54.65686274509803,1610612750,2,0,2021-12-07T01:12:10Z,110000,-23.0,55.0,1,left,K. Towns Hook (2 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,5.93,Made,,,,,,,,2.0,,,,,,,,,,,
13,PT11M18.00S,2021-12-07T01:11:41.6Z,1,REGULAR,violation,defensive goaltending,[],203991,,,1610612750,2,0,2021-12-07T01:12:10Z,130000,,,0,,C. Capela defensive goaltending VIOLATION,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,202027.0,,,,,,,,,,,,
14,PT11M11.00S,2021-12-07T01:11:50.2Z,1,REGULAR,3pt,Jump Shot,[],1627789,96.92838370565046,95.09803921568627,1610612737,2,3,2021-12-07T01:12:13Z,140000,225.0,-24.0,1,right,T. Luwawu-Cabarrot 3PT  (3 PTS) (T. Young 1 AST),"[1627789, 1629027]",1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,22.67,Made,,,,,,,,3.0,T. Young,1629027.0,1.0,,,,,,,,
16,PT10M51.00S,2021-12-07T01:12:10.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627752,7.5722733245729295,62.99019607843137,1610612750,4,3,2021-12-07T01:12:23Z,160000,-65.0,19.0,1,left,T. Prince 6' driving bank Jump Shot (2 PTS),[1627752],1610612750.0,MIN,driving bank,,,Prince,T. Prince,,,,,6.76,Made,,,,,,,,2.0,,,,,,,,,,,
17,PT10M30.00S,2021-12-07T01:12:29.6Z,1,REGULAR,turnover,bad pass,[],203991,,,1610612737,4,3,2021-12-07T01:12:34Z,170000,,,0,,C. Capela bad pass TURNOVER (1 TO),"[203991, 1627752]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,1.0,Prince,1627752.0,,,,,
18,PT10M30.00S,2021-12-07T01:12:29.6Z,1,REGULAR,steal,,[],1627752,,,1610612750,4,3,2021-12-07T01:12:31Z,180000,,,0,,T. Prince STEAL (1 STL),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,
