actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-28T01:10:39.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-28T01:10:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-28T01:10:42.4Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2021-12-28T01:10:42Z,40000,,,0,,Jump Ball R. Williams III vs. N. Knight: Tip to J. Brown,"[1627759, 1629057, 1630233]",1610612738.0,BOS,startperiod,J. Brown,1627759.0,Brown,J. Brown,Williams III,1629057.0,Knight,1630233.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-12-28T01:10:56.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,6.258212877792378,47.05882352941176,1610612738,0,2,2021-12-28T01:11:23Z,70000,15.0,6.0,1,left,R. Williams III alley-oop DUNK (2 PTS) (A. Horford 1 AST),"[1629057, 201143]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,1.6,Made,2.0,A. Horford,201143.0,1.0,,,,,,,,,,,,,,
9,PT11M17.00S,2021-12-28T01:11:21.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630233,90.48948751642575,53.18627450980392,1610612750,0,2,2021-12-28T01:11:28Z,90000,16.0,37.0,1,right,MISS N. Knight driving Layup,[1630233],1610612750.0,MIN,driving,,,Knight,N. Knight,,,,,4.02,Missed,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2021-12-28T01:11:22.4Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,0,2,2021-12-28T01:11:28Z,100000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M03.00S,2021-12-28T01:11:35.7Z,1,REGULAR,3pt,Jump Shot,[],1630202,31.488173455978973,70.09803921568627,1610612738,0,5,2021-12-28T01:11:42Z,110000,-100.0,243.0,1,left,P. Pritchard 26' 3PT  (3 PTS) (A. Horford 2 AST),"[1630202, 201143]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,26.34,Made,3.0,A. Horford,201143.0,2.0,,,,,,,,,,,,,,
13,PT10M56.00S,2021-12-28T01:11:46.0Z,1,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612750,0,5,2021-12-28T01:11:52Z,130000,,,0,,R. Williams III shooting personal FOUL (1 PF) (McLaughlin 2 FT),"[1629057, 1629162]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,,,,,,,,,,,2005.0,1.0,0.0,McLaughlin,1629162.0,,,,,
15,PT10M56.00S,2021-12-28T01:12:13.6Z,1,REGULAR,freethrow,1 of 2,[],1629162,,,1610612750,1,5,2021-12-28T01:12:30Z,150000,,,0,,J. McLaughlin Free Throw 1 of 2 (1 PTS),[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
16,PT10M56.00S,2021-12-28T01:12:13.6Z,1,REGULAR,freethrow,2 of 2,[],1629162,,,1610612750,1,5,2021-12-28T01:12:30Z,160000,,,0,,MISS J. McLaughlin Free Throw 2 of 2,[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,,Missed,,,,,,,,,,,,,,,,,,
17,PT10M54.00S,2021-12-28T01:12:15.6Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,1,5,2021-12-28T01:12:30Z,170000,,,0,,R. Williams III REBOUND (Off:0 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,,,
18,PT10M38.00S,2021-12-28T01:12:46.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201143,16.113666228646515,46.32352941176471,1610612738,1,7,2021-12-28T01:12:55Z,180000,18.0,99.0,1,left,A. Horford 10' turnaround fadeaway Jump Shot (2 PTS),[201143],1610612738.0,BOS,turnaround fadeaway,,,Horford,A. Horford,,,,,10.07,Made,2.0,,,,,,,,,,,,,,,,,
19,PT10M24.00S,2021-12-28T01:12:59.7Z,1,REGULAR,turnover,bad pass,[],1629006,,,1610612750,1,7,2021-12-28T01:13:04Z,190000,,,0,,J. Okogie bad pass TURNOVER (1 TO),"[1629006, 1629641]",1610612750.0,MIN,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,,1.0,Langford,1629641.0,,
20,PT10M24.00S,2021-12-28T01:12:59.7Z,1,REGULAR,steal,,[],1629641,,,1610612738,1,7,2021-12-28T01:13:01Z,200000,,,0,,R. Langford STEAL (1 STL),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M17.00S,2021-12-28T01:13:06.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627759,13.354139290407357,81.12745098039215,1610612738,1,7,2021-12-28T01:13:11Z,210000,-156.0,73.0,1,left,MISS J. Brown 17' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,17.19,Missed,,,,,,,,,,,,,,,,,,
22,PT10M14.00S,2021-12-28T01:13:09.6Z,1,REGULAR,rebound,defensive,[],1630233,,,1610612750,1,7,2021-12-28T01:13:11Z,220000,,,0,,N. Knight REBOUND (Off:0 Def:1),[1630233],1610612750.0,MIN,,,,Knight,N. Knight,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,
23,PT10M02.00S,2021-12-28T01:13:21.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630233,93.77463863337714,49.26470588235294,1610612750,1,7,2021-12-28T01:13:29Z,230000,-4.0,6.0,1,right,MISS N. Knight driving Layup,[1630233],1610612750.0,MIN,driving,,,Knight,N. Knight,,,,,0.7,Missed,,,,,,,,,,,,,,,,,,
24,PT10M00.00S,2021-12-28T01:13:23.1Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,1,7,2021-12-28T01:13:29Z,240000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,
25,PT09M54.00S,2021-12-28T01:13:30.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629641,19.530223390275953,89.70588235294117,1610612738,1,7,2021-12-28T01:14:27Z,250000,-199.0,131.0,1,left,MISS R. Langford running 3PT,[1629641],1610612738.0,BOS,running,,,Langford,R. Langford,,,,,23.79,Missed,,,,,,,,,,,,,,,,,,
