actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-04T00:10:43.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-04T00:10:43Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-04T00:10:46.8Z,1,REGULAR,jumpball,recovered,[],202339,,,1610612746,0,0,2021-11-04T00:10:46Z,40000,,,0,,Jump Ball I. Zubac vs. K. Towns: Tip to E. Bledsoe,"[202339, 1627826, 1626157]",1610612746.0,LAC,startperiod,E. Bledsoe,202339.0,Bledsoe,E. Bledsoe,Zubac,1627826.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2021-11-04T00:10:56.3Z,1,REGULAR,turnover,bad pass,[],201587,,,1610612746,0,0,2021-11-04T00:11:05Z,70000,,,0,,N. Batum bad pass TURNOVER (1 TO),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,1.0,,,,,,,,,,,,,,,,,,,,
9,PT11M48.00S,2021-11-04T00:11:02.0Z,1,REGULAR,foul,personal,[],202331,,,1610612750,0,0,2021-11-04T00:19:52Z,90000,,,0,,P. George loose ball personal FOUL (1 PF),"[202331, 1626157]",1610612746.0,LAC,loose ball,,,George,P. George,,,,,,2002.0,1.0,0.0,Towns,1626157.0,,,,,,,,,,,,,,,
11,PT11M36.00S,2021-11-04T00:11:21.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1626157,90.62089356110381,39.46078431372549,1610612750,2,0,2021-11-04T00:11:27Z,110000,-53.0,36.0,1,right,K. Towns 6' turnaround Hook (2 PTS) (P. Beverley 1 AST),"[1626157, 201976]",1610612750.0,MIN,turnaround,,,Towns,K. Towns,,,,,,,,,,,6.37,Made,2.0,P. Beverley,201976.0,1.0,,,,,,,,,
13,PT11M22.00S,2021-11-04T00:11:35.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201587,11.908672798948752,38.72549019607843,1610612746,2,0,2021-11-04T00:11:42Z,130000,56.0,59.0,1,left,MISS N. Batum 8' driving Layup,[201587],1610612746.0,LAC,driving,,,Batum,N. Batum,,,,,,,,,,,8.19,Missed,,,,,,,,,,,,,
14,PT11M20.00S,2021-11-04T00:11:38.1Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,2,0,2021-11-04T00:11:38Z,140000,,,0,,I. Zubac REBOUND (Off:1 Def:0),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,
15,PT11M12.00S,2021-11-04T00:11:45.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202704,24.26084099868594,83.33333333333334,1610612746,2,0,2021-11-04T00:11:53Z,150000,-167.0,176.0,1,left,MISS R. Jackson 24' 3PT,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,24.21,Missed,,,,,,,,,,,,,
16,PT11M06.00S,2021-11-04T00:11:51.4Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,2,0,2021-11-04T00:11:53Z,160000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
17,PT11M01.00S,2021-11-04T00:11:56.8Z,1,REGULAR,3pt,Jump Shot,[],1629006,75.64060446780552,15.196078431372548,1610612750,2,0,2021-11-04T00:12:06Z,170000,-174.0,176.0,1,right,MISS J. Okogie 24' 3PT,[1629006],1610612750.0,MIN,,,,Okogie,J. Okogie,,,,,,,,,,,24.78,Missed,,,,,,,,,,,,,
18,PT10M58.00S,2021-11-04T00:11:59.8Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,2,0,2021-11-04T00:12:06Z,180000,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,
19,PT10M52.00S,2021-11-04T00:12:07.5Z,1,REGULAR,turnover,out-of-bounds,[],202704,,,1610612746,2,0,2021-11-04T00:12:14Z,190000,,,0,,R. Jackson bad pass out-of-bounds TURNOVER (1 TO),[202704],1610612746.0,LAC,bad pass,,,Jackson,R. Jackson,,,,,1.0,2002.0,,,,,,,,,,,,,,,,,,,
20,PT10M38.00S,2021-11-04T00:12:24.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630162,77.4802890932983,11.029411764705882,1610612750,5,0,2021-11-04T00:12:29Z,200000,-195.0,159.0,1,right,A. Edwards 25' 3PT  (3 PTS) (K. Towns 1 AST),"[1630162, 1626157]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,25.17,Made,3.0,K. Towns,1626157.0,1.0,,,,,,,,,
22,PT10M25.00S,2021-11-04T00:12:37.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,7.30946123521682,45.83333333333333,1610612746,5,2,2021-11-04T00:12:44Z,220000,21.0,16.0,1,left,R. Jackson reverse Layup (2 PTS) (E. Bledsoe 1 AST),"[202704, 202339]",1610612746.0,LAC,reverse,,,Jackson,R. Jackson,,,,,,,,,,,2.64,Made,2.0,E. Bledsoe,202339.0,1.0,,,,,,,,,
24,PT10M10.00S,2021-11-04T00:12:53.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,94.1688567674113,43.627450980392155,1610612750,7,2,2021-11-04T00:12:58Z,240000,-32.0,2.0,1,right,A. Edwards driving reverse Layup (5 PTS) (P. Beverley 2 AST),"[1630162, 201976]",1610612750.0,MIN,driving reverse,,,Edwards,A. Edwards,,,,,,,,,,,3.2,Made,5.0,P. Beverley,201976.0,2.0,,,,,,,,,
25,PT09M59.00S,2021-11-04T00:13:03.0Z,1,REGULAR,3pt,Jump Shot,[],202704,23.47240473061761,14.215686274509803,1610612746,7,5,2021-11-04T00:13:09Z,250000,179.0,168.0,1,left,R. Jackson 24' 3PT  (5 PTS) (I. Zubac 1 AST),"[202704, 1627826]",1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,24.55,Made,5.0,I. Zubac,1627826.0,1.0,,,,,,,,,
27,PT09M45.00S,2021-11-04T00:13:17.9Z,1,REGULAR,turnover,bad pass,[],201976,,,1610612750,7,5,2021-11-04T00:13:23Z,270000,,,0,,P. Beverley bad pass TURNOVER (1 TO),"[201976, 202331]",1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,1.0,,,,,,,,,,,,,,,,George,202331.0,,,
28,PT09M45.00S,2021-11-04T00:13:17.9Z,1,REGULAR,steal,,[],202331,,,1610612746,7,5,2021-11-04T00:13:20Z,280000,,,0,,P. George STEAL (1 STL),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M39.00S,2021-11-04T00:13:24.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",202331,23.73521681997372,14.460784313725492,1610612746,7,5,2021-11-04T00:13:32Z,290000,178.0,171.0,1,left,MISS P. George 24' pullup 3PT,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,,,,,,,24.63,Missed,,,,,,,,,,,,,
30,PT09M36.00S,2021-11-04T00:13:27.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,7,5,2021-11-04T00:13:32Z,300000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,
31,PT09M36.00S,2021-11-04T00:13:35.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,7,5,2021-11-04T00:13:35Z,310000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
