actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-10-24T00:10:44.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-24T00:10:44Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-10-24T00:10:47.9Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612750,0,0,2021-10-24T00:10:47Z,40000,,,0,,Jump Ball K. Towns vs. J. Valanciunas: Tip to D. Russell,"[1626156, 1626157, 202685]",1610612750.0,MIN,startperiod,D. Russell,1626156.0,Russell,D. Russell,Towns,1626157.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-10-24T00:10:57.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630183,90.22667542706965,57.59803921568627,1610612750,0,0,2021-10-24T00:11:08Z,70000,38.0,39.0,1,right,MISS J. McDaniels alley-oop Layup,[1630183],1610612750.0,MIN,alley-oop,,,McDaniels,J. McDaniels,,,,,5.47,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2021-10-24T00:11:00.7Z,1,REGULAR,rebound,defensive,[],1628984,,,1610612740,0,0,2021-10-24T00:11:08Z,80000,,,0,,D. Graham REBOUND (Off:0 Def:1),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M42.00S,2021-10-24T00:11:01.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630529,7.30946123521682,50.73529411764706,1610612740,0,0,2021-10-24T00:11:45Z,90000,-4.0,16.0,1,left,MISS H. Jones running Layup,[1630529],1610612740.0,NOP,running,,,Jones,H. Jones,,,,,1.66,Missed,,,,,,,,,,,,,,,,,,
10,PT11M39.00S,2021-10-24T00:11:04.1Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,0,0,2021-10-24T00:11:04Z,100000,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M32.00S,2021-10-24T00:11:13.1Z,1,REGULAR,turnover,out-of-bounds,[],1626156,,,1610612750,0,0,2021-10-24T00:11:25Z,110000,,,0,,D. Russell bad pass out-of-bounds TURNOVER (1 TO),[1626156],1610612750.0,MIN,bad pass,,,Russell,D. Russell,,,,,,,,,,,204058.0,1.0,,,,,,,,,,,,
12,PT11M19.00S,2021-10-24T00:11:35.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628984,30.962549277266753,73.52941176470588,1610612740,0,0,2021-10-24T00:11:41Z,120000,-118.0,239.0,1,left,MISS D. Graham 26' 3PT,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,26.59,Missed,,,,,,,,,,,,,,,,,,
13,PT11M14.00S,2021-10-24T00:11:40.9Z,1,REGULAR,rebound,offensive,[],1629638,,,1610612740,0,0,2021-10-24T00:11:41Z,130000,,,0,,N. Alexander-Walker REBOUND (Off:1 Def:0),[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT11M13.00S,2021-10-24T00:11:40.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629638,31.750985545335087,31.61764705882353,1610612740,0,0,2021-10-24T00:11:47Z,140000,92.0,246.0,1,left,MISS N. Alexander-Walker 26' 3PT,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,26.26,Missed,,,,,,,,,,,,,,,,,,
15,PT11M08.00S,2021-10-24T00:11:45.9Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,0,0,2021-10-24T00:11:47Z,150000,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT11M08.00S,2021-10-24T00:11:48.2Z,1,REGULAR,foul,personal,[],1627742,,,1610612750,0,0,2021-10-24T00:12:05Z,160000,,,0,,B. Ingram personal FOUL (1 PF),"[1627742, 1626156]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,204058.0,,1.0,0.0,Russell,1626156.0,,,,,,,,
18,PT11M04.00S,2021-10-24T00:12:10.5Z,1,REGULAR,3pt,Jump Shot,[],1630162,68.01905387647832,28.921568627450984,1610612750,3,0,2021-10-24T00:12:19Z,180000,-105.0,248.0,1,right,A. Edwards 26' 3PT  (3 PTS) (J. Okogie 1 AST),"[1630162, 1629006]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,26.96,Made,,,,,,,,,,,3.0,J. Okogie,1629006.0,1.0,,,,
71,PT10M45.00S,2021-10-24T00:12:21.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,10.95597897503285,60.53921568627451,1610612740,3,0,2021-10-24T00:20:38Z,195000,-53.0,50.0,1,left,MISS J. Valanciunas 7' driving Layup - blocked,"[202685, 1626157]",1610612740.0,NOP,driving,,,Valanciunas,J. Valanciunas,,,,,7.3,Missed,,,,,,,,,,,,,,,Towns,1626157.0,,
72,PT10M45.00S,2021-10-24T00:12:21.5Z,1,REGULAR,block,,[],1626157,,,1610612740,3,0,2021-10-24T00:20:38Z,197500,,,0,,K. Towns BLOCK (1 BLK),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,
73,PT10M44.00S,2021-10-24T00:12:22.5Z,1,REGULAR,rebound,offensive,[],1629638,,,1610612740,3,0,2021-10-24T00:20:38Z,198750,,,0,,N. Alexander-Walker REBOUND (Off:2 Def:0),[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,71.0,2.0,0.0,2.0,,,,,,,,,,,,,,
83,PT10M43.00S,2021-10-24T00:12:34.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629638,8.722076215505908,51.470588235294116,1610612740,3,0,2021-10-24T00:21:38Z,209375,-7.0,29.0,1,left,MISS N. Alexander-Walker Layup - blocked,"[1629638, 1630183]",1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,3.04,Missed,,,,,,,,,,,,,,,McDaniels,1630183.0,,
84,PT10M43.00S,2021-10-24T00:12:34.0Z,1,REGULAR,block,,[],1630183,,,1610612740,3,0,2021-10-24T00:21:38Z,214687,,,0,,J. McDaniels BLOCK (1 BLK),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,
85,PT10M43.00S,2021-10-24T00:12:34.0Z,1,REGULAR,rebound,offensive,[],1629638,,,1610612740,3,0,2021-10-24T00:21:38Z,217343,,,0,,N. Alexander-Walker REBOUND (Off:3 Def:0),[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,83.0,3.0,0.0,3.0,,,,,,,,,,,,,,
281,PT10M38.00S,2021-10-24T00:13:13.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612740,3,0,2021-10-24T00:49:42Z,241835,,,0,,NOP shot clock Team TURNOVER,[],1610612740.0,NOP,,,,,,,,,,,,,,,,202041.0,,,,,,,,,,,,,
291,PT10M38.00S,2021-10-24T00:13:20.2Z,1,REGULAR,foul,technical,[],1630162,,,1610612750,3,0,2021-10-24T00:50:36Z,243876,,,0,,A. Edwards double technical FOUL (1 Tech),[1630162],1610612750.0,MIN,double,,,Edwards,A. Edwards,,,,,,,,,,,204058.0,,0.0,1.0,,,,,,,,,,
292,PT10M38.00S,2021-10-24T00:13:20.2Z,1,REGULAR,foul,technical,[],1630529,,,1610612750,3,0,2021-10-24T00:50:36Z,244896,,,0,,H. Jones double technical FOUL (1 Tech),[1630529],1610612740.0,NOP,double,,,Jones,H. Jones,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,
25,PT10M20.00S,2021-10-24T00:13:26.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626157,90.62089356110381,43.627450980392155,1610612750,5,0,2021-10-24T00:23:47Z,250000,-32.0,36.0,1,right,K. Towns Layup (2 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,4.79,Made,,,,,,,,,,,2.0,,,,,,,
27,PT10M05.00S,2021-10-24T00:13:40.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629638,10.068988173455978,58.333333333333336,1610612740,5,0,2021-10-24T00:13:56Z,270000,-42.0,42.0,1,left,MISS N. Alexander-Walker driving Layup,[1629638],1610612740.0,NOP,driving,,,Alexander-Walker,N. Alexander-Walker,,,,,5.93,Missed,,,,,,,,,,,,,,,,,,
28,PT10M02.00S,2021-10-24T00:13:44.6Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,5,0,2021-10-24T00:13:44Z,280000,,,0,,D. Russell REBOUND (Off:0 Def:2),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,,,,,,,
29,PT09M57.00S,2021-10-24T00:13:49.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626157,67.7562417871222,35.78431372549019,1610612750,8,0,2021-10-24T00:14:07Z,290000,-71.0,251.0,1,right,K. Towns 26' 3PT  (5 PTS) (D. Russell 1 AST),"[1626157, 1626156]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,26.05,Made,,,,,,,,,,,5.0,D. Russell,1626156.0,1.0,,,,
31,PT09M44.00S,2021-10-24T00:14:03.4Z,1,REGULAR,turnover,out-of-bounds,[],1629638,,,1610612740,8,0,2021-10-24T00:14:19Z,310000,,,0,,N. Alexander-Walker bad pass out-of-bounds TURNOVER (1 TO),[1629638],1610612740.0,NOP,bad pass,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,204058.0,1.0,,,,,,,,,,,,
32,PT09M30.00S,2021-10-24T00:14:20.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626157,75.90341655716163,44.6078431372549,1610612750,8,0,2021-10-24T00:14:27Z,320000,-27.0,174.0,1,right,MISS K. Towns 17' step back Shot,[1626157],1610612750.0,MIN,step back,,,Towns,K. Towns,,,,,17.61,Missed,,,,,,,,,,,,,,,,,,
33,PT09M27.00S,2021-10-24T00:14:23.9Z,1,REGULAR,rebound,defensive,[],1628984,,,1610612740,8,0,2021-10-24T00:14:27Z,330000,,,0,,D. Graham REBOUND (Off:0 Def:2),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,32.0,2.0,2.0,0.0,,,,,,,,,,,,,,
34,PT09M23.00S,2021-10-24T00:14:27.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628984,12.040078843626807,45.09803921568628,1610612740,8,0,2021-10-24T00:27:40Z,340000,25.0,61.0,1,left,MISS D. Graham 6' driving Layup,[1628984],1610612740.0,NOP,driving,,,Graham,D. Graham,,,,,6.55,Missed,,,,,,,,,,,,,,,,,,
35,PT09M19.00S,2021-10-24T00:14:32.3Z,1,REGULAR,rebound,offensive,[],1629638,,,1610612740,8,0,2021-10-24T00:14:32Z,350000,,,0,,N. Alexander-Walker REBOUND (Off:4 Def:0),[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,34.0,4.0,0.0,4.0,,,,,,,,,,,,,,
