actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-02T00:10:27.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-02T00:10:27Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-11-02T00:10:29.0Z,1,REGULAR,jumpball,recovered,[],1628976,,,1610612753,0,0,2021-11-02T00:10:29Z,40000,,,0,,Jump Ball M. Bamba vs. K. Towns: Tip to W. Carter Jr.,"[1628976, 1628964, 1626157]",1610612753.0,ORL,startperiod,W. Carter Jr.,1628976.0,Carter Jr.,W. Carter Jr.,Bamba,1628964.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-11-02T00:10:45.1Z,1,REGULAR,foul,personal,['2freethrow'],1630183,,,1610612753,0,0,2021-11-02T00:19:21Z,70000,,,0,,J. McDaniels personal FOUL (1 PF) (Wagner 2 FT),"[1630183, 1630532]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,1627534.0,1.0,0.0,Wagner,1630532.0,,,,,,,,,,,,,,,,
9,PT11M42.00S,2021-11-02T00:11:09.1Z,1,REGULAR,freethrow,1 of 2,[],1630532,,,1610612753,0,0,2021-11-02T00:11:09Z,90000,,,0,,MISS F. Wagner Free Throw 1 of 2,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,Missed,,,,,,,,,,,,,,,
10,PT11M42.00S,2021-11-02T00:11:09.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,0,0,2021-11-02T00:11:09Z,100000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
11,PT11M42.00S,2021-11-02T00:11:24.9Z,1,REGULAR,freethrow,2 of 2,[],1630532,,,1610612753,0,1,2021-11-02T00:11:24Z,110000,,,0,,F. Wagner Free Throw 2 of 2 (1 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,Made,,1.0,,,,,,,,,,,,,
12,PT11M29.00S,2021-11-02T00:11:37.7Z,1,REGULAR,2pt,Jump Shot,[],1630162,77.7431011826544,49.50980392156863,1610612750,2,1,2021-11-02T00:11:42Z,120000,-2.0,157.0,1,right,A. Edwards 15' pullup Jump Shot (2 PTS) (K. Towns 1 AST),"[1630162, 1626157]",1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,,,,,,Made,,2.0,15.67,K. Towns,1626157.0,1.0,,,,,,,,,
14,PT11M17.00S,2021-11-02T00:11:53.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,2,1,2021-11-02T00:11:53Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M14.00S,2021-11-02T00:12:05.3Z,1,REGULAR,3pt,Jump Shot,[],1630591,31.09395532194481,35.53921568627451,1610612753,2,1,2021-11-02T00:12:09Z,150000,72.0,240.0,1,left,MISS J. Suggs 25' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,Missed,,,25.05,,,,,,,,,,,,
16,PT11M10.00S,2021-11-02T00:12:09.3Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,2,1,2021-11-02T00:12:09Z,160000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,15.0,,,,,,1.0,1.0,0.0,,,,,,
17,PT11M06.00S,2021-11-02T00:12:15.2Z,1,REGULAR,foul,personal,[],1630175,,,1610612750,2,1,2021-11-02T00:12:27Z,170000,,,0,,C. Anthony personal FOUL (1 PF),"[1630175, 1626156]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,204059.0,1.0,0.0,Russell,1626156.0,,,,,,,,,,,,,,,,
19,PT10M56.00S,2021-11-02T00:12:40.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,94.1688567674113,50.49019607843137,1610612750,2,1,2021-11-02T00:14:28Z,190000,2.0,2.0,1,right,MISS K. Towns cutting Layup,[1626157],1610612750.0,MIN,cutting,,,Towns,K. Towns,,,,,,,,,,Missed,,,0.34,,,,,,,,,,,,
21,PT10M55.00S,2021-11-02T00:12:41.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,2,1,2021-11-02T00:14:28Z,210000,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,
22,PT10M55.00S,2021-11-02T00:12:49.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,2,1,2021-11-02T00:14:49Z,220000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
