actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-29T01:10:25.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-29T01:10:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M59.00S,2021-12-29T01:10:26.8Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612752,0,0,2021-12-29T01:10:26Z,40000,,,0,,Jump Ball M. Robinson vs. N. Knight: Tip to K. Walker,"[202689, 1629011, 1630233]",1610612752.0,NYK,startperiod,K. Walker,202689.0,Walker,K. Walker,Robinson,1629011.0,Knight,1630233.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-12-29T01:10:40.2Z,1,REGULAR,2pt,Jump Shot,[],203944,90.75229960578186,85.29411764705883,1610612752,0,0,2021-12-29T01:10:48Z,70000,176.0,34.0,1,right,MISS J. Randle 17' step back Shot,[203944],1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,17.98,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2021-12-29T01:10:42.2Z,1,REGULAR,rebound,defensive,[],201976,,,1610612750,0,0,2021-12-29T01:11:06Z,80000,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M35.00S,2021-12-29T01:10:49.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630183,6.389618922470433,46.07843137254902,1610612750,2,0,2021-12-29T01:12:59Z,90000,20.0,8.0,1,left,J. McDaniels running finger roll Layup (2 PTS) (P. Beverley 1 AST),"[1630183, 201976]",1610612750.0,MIN,running finger roll,,,McDaniels,J. McDaniels,,,,,2.1,Made,,,,,2.0,P. Beverley,201976.0,1.0,,,,,,,,,,,
11,PT11M20.00S,2021-12-29T01:11:05.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203095,82.60512483574244,46.07843137254902,1610612752,2,2,2021-12-29T01:11:09Z,110000,-20.0,111.0,1,right,E. Fournier 11' driving floating Jump Shot (2 PTS),[203095],1610612752.0,NYK,driving floating,,,Fournier,E. Fournier,,,,,11.27,Made,,,,,2.0,,,,,,,,,,,,,,
12,PT10M58.00S,2021-12-29T01:11:26.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201976,12.828515111695138,64.70588235294117,1610612750,2,2,2021-12-29T01:13:29Z,120000,-74.0,68.0,1,left,MISS P. Beverley 10' driving floating Shot,[201976],1610612750.0,MIN,driving floating,,,Beverley,P. Beverley,,,,,10.02,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M56.00S,2021-12-29T01:11:28.9Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,2,2,2021-12-29T01:11:31Z,130000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT10M50.00S,2021-12-29T01:11:35.8Z,1,REGULAR,3pt,Jump Shot,[],203944,80.76544021024968,6.862745098039216,1610612752,2,2,2021-12-29T01:11:39Z,140000,-216.0,128.0,1,right,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,25.1,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M47.00S,2021-12-29T01:11:38.8Z,1,REGULAR,rebound,defensive,[],1629162,,,1610612750,2,2,2021-12-29T01:11:39Z,150000,,,0,,J. McLaughlin REBOUND (Off:0 Def:1),[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
16,PT10M41.00S,2021-12-29T01:11:43.8Z,1,REGULAR,3pt,Jump Shot,[],1630233,32.40801576872536,49.26470588235294,1610612750,2,2,2021-12-29T01:11:48Z,160000,4.0,252.0,1,left,MISS N. Knight 25' 3PT,[1630233],1610612750.0,MIN,,,,Knight,N. Knight,,,,,25.21,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M38.00S,2021-12-29T01:11:46.8Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,2,2,2021-12-29T01:11:48Z,170000,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
18,PT10M31.00S,2021-12-29T01:11:54.1Z,1,REGULAR,3pt,Jump Shot,[],203095,93.64323258869908,3.431372549019608,1610612752,2,5,2021-12-29T01:11:59Z,180000,-233.0,7.0,1,right,E. Fournier 3PT  (5 PTS) (R. Barrett 1 AST),"[203095, 1629628]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,23.29,Made,,,,,5.0,R. Barrett,1629628.0,1.0,,,,,,,,,,,
