actionNumber,clock,timeActual,period,periodType,teamId,teamTricode,actionType,subType,descriptor,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,officialId,orderNumber,xLegacy,yLegacy,isFieldGoal,foulPersonalTotal,foulTechnicalTotal,side,description,playerName,playerNameI,personIdsFilter,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-17T01:11:16.6Z,1,REGULAR,1610612750.0,MIN,foul,technical,double,[],201976,,,0,0,0,2022-02-17T02:08:34Z,1146.0,20000,,,0,0.0,1.0,,P. Beverley double technical FOUL (1 Tech),Beverley,P. Beverley,[201976],,,,,,,,,,,,,,,,,,,,,,,,
3,PT12M00.00S,2022-02-17T01:11:17.7Z,1,REGULAR,1610612761.0,TOR,foul,technical,double,[],1629018,,,0,0,0,2022-02-17T01:11:25Z,1146.0,30000,,,0,0.0,1.0,,G. Trent Jr. double technical FOUL (1 Tech),Trent Jr.,G. Trent Jr.,[1629018],,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-02-17T01:11:43.4Z,1,REGULAR,,,period,start,,[],0,,,0,0,0,2022-02-17T01:11:43Z,,40000,,,0,,,,Period Start,,,[],,,,,,,,,,,,,,,,,,,,,,,,
9,PT12M00.00S,2022-02-17T01:11:47.2Z,1,REGULAR,1610612761.0,TOR,violation,delay-of-game,,['team'],0,,,0,0,0,2022-02-17T01:12:20Z,1146.0,45000,,,0,,,,TEAM delay-of-game VIOLATION,,,[],,,,,,,,,,,,,,,,,,,,,,,,
10,PT12M00.00S,2022-02-17T01:11:51.3Z,1,REGULAR,1610612750.0,MIN,violation,delay-of-game,,['team'],0,,,0,0,0,2022-02-17T01:12:26Z,1146.0,47500,,,0,,,,TEAM delay-of-game VIOLATION,,,[],,,,,,,,,,,,,,,,,,,,,,,,
6,PT11M57.00S,2022-02-17T01:11:45.7Z,1,REGULAR,1610612761.0,TOR,jumpball,recovered,startperiod,[],1627783,,,1610612761,0,0,2022-02-17T01:11:45Z,,60000,,,0,,,,Jump Ball S. Barnes vs. K. Towns: Tip to P. Siakam,Siakam,P. Siakam,"[1627783, 1630567, 1626157]",P. Siakam,1627783.0,Barnes,1630567.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,
11,PT11M50.00S,2022-02-17T01:11:55.1Z,1,REGULAR,1610612761.0,TOR,turnover,backcourt,,[],1628384,,,1610612761,0,0,2022-02-17T01:12:12Z,2002.0,110000,,,0,,,,O. Anunoby backcourt TURNOVER (1 TO),Anunoby,O. Anunoby,[1628384],,,,,,,1.0,,,,,,,,,,,,,,,,,
12,PT11M26.00S,2022-02-17T01:12:31.0Z,1,REGULAR,1610612750.0,MIN,turnover,shot clock,,['team'],0,,,1610612750,0,0,2022-02-17T01:12:45Z,,120000,,,0,,,,MIN shot clock Team TURNOVER,,,[],,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M16.00S,2022-02-17T01:12:49.6Z,1,REGULAR,1610612761.0,TOR,2pt,Jump Shot,pullup,"['pointsinthepaint', 'fromturnover']",1629018,84.31340341655716,36.27450980392157,1610612761,0,2,2022-02-17T01:12:55Z,,130000,-69.0,95.0,1,,,right,G. Trent Jr. 11' pullup Jump Shot (2 PTS),Trent Jr.,G. Trent Jr.,[1629018],,,,,,,,11.72,Made,2.0,,,,,,,,,,,,,,
14,PT10M59.00S,2022-02-17T01:13:05.5Z,1,REGULAR,1610612750.0,MIN,3pt,Jump Shot,,[],1626156,27.54599211563732,17.892156862745097,1610612750,0,2,2022-02-17T01:13:11Z,,140000,161.0,206.0,1,,,left,MISS D. Russell 26' 3PT,Russell,D. Russell,[1626156],,,,,,,,26.15,Missed,,,,,,,,,,,,,,,
15,PT10M57.00S,2022-02-17T01:13:07.5Z,1,REGULAR,1610612761.0,TOR,rebound,defensive,,[],1630567,,,1610612761,0,2,2022-02-17T01:13:11Z,,150000,,,0,,,,S. Barnes REBOUND (Off:0 Def:1),Barnes,S. Barnes,[1630567],,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M50.00S,2022-02-17T01:13:15.4Z,1,REGULAR,1610612761.0,TOR,turnover,bad pass,,[],1630567,,,1610612761,0,2,2022-02-17T01:13:19Z,,160000,,,0,,,,S. Barnes bad pass TURNOVER (1 TO),Barnes,S. Barnes,"[1630567, 1626157]",,,,,,,1.0,,,,,,,,Towns,1626157.0,,,,,,,,
17,PT10M50.00S,2022-02-17T01:13:15.4Z,1,REGULAR,1610612750.0,MIN,steal,,,[],1626157,,,1610612750,0,2,2022-02-17T01:13:17Z,,170000,,,0,,,,K. Towns STEAL (1 STL),Towns,K. Towns,[1626157],,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M40.00S,2022-02-17T01:13:25.0Z,1,REGULAR,1610612750.0,MIN,2pt,Hook,,"['pointsinthepaint', 'fromturnover']",1626157,13.222733245729303,48.77450980392157,1610612750,2,2,2022-02-17T01:13:32Z,,180000,6.0,72.0,1,,,left,K. Towns 7' Hook (2 PTS) (P. Beverley 1 AST),Towns,K. Towns,"[1626157, 201976]",,,,,,,,7.21,Made,2.0,,,,,,,P. Beverley,201976.0,1.0,,,,,
20,PT10M26.00S,2022-02-17T01:13:38.3Z,1,REGULAR,1610612761.0,TOR,3pt,Jump Shot,,[],1629018,69.99014454664915,20.588235294117645,1610612761,2,5,2022-02-17T01:13:44Z,,200000,-147.0,230.0,1,,,right,G. Trent Jr. 27' 3PT  (5 PTS) (S. Barnes 1 AST),Trent Jr.,G. Trent Jr.,"[1629018, 1630567]",,,,,,,,27.27,Made,5.0,,,,,,,S. Barnes,1630567.0,1.0,,,,,
22,PT10M16.00S,2022-02-17T01:13:49.5Z,1,REGULAR,1610612750.0,MIN,2pt,Layup,cutting,['pointsinthepaint'],1629020,5.995400788436268,54.90196078431373,1610612750,4,5,2022-02-17T01:21:58Z,,220000,-25.0,4.0,1,,,left,J. Vanderbilt cutting Layup (2 PTS) (P. Beverley 2 AST),Vanderbilt,J. Vanderbilt,"[1629020, 201976]",,,,,,,,2.48,Made,2.0,,,,,,,P. Beverley,201976.0,2.0,,,,,
24,PT10M03.00S,2022-02-17T01:14:02.8Z,1,REGULAR,1610612761.0,TOR,3pt,Jump Shot,,[],1630567,91.5407358738502,95.34313725490196,1610612761,4,8,2022-02-17T01:14:07Z,,240000,227.0,27.0,1,,,right,S. Barnes 3PT  (3 PTS) (P. Siakam 1 AST),Barnes,S. Barnes,"[1630567, 1627783]",,,,,,,,22.83,Made,3.0,,,,,,,P. Siakam,1627783.0,1.0,,,,,
26,PT09M42.00S,2022-02-17T01:14:23.1Z,1,REGULAR,1610612750.0,MIN,2pt,Jump Shot,fadeaway,[],1626157,24.26084099868594,62.745098039215684,1610612750,6,8,2022-02-17T01:21:04Z,,260000,-64.0,176.0,1,,,left,K. Towns 18' fadeaway Jump Shot (4 PTS),Towns,K. Towns,[1626157],,,,,,,,18.68,Made,4.0,,,,,,,,,,,,,,
27,PT09M23.00S,2022-02-17T01:14:42.2Z,1,REGULAR,1610612761.0,TOR,2pt,Layup,,['pointsinthepaint'],1628384,92.19776609724047,59.068627450980394,1610612761,6,8,2022-02-17T01:14:46Z,,270000,45.0,21.0,1,,,right,MISS O. Anunoby Layup,Anunoby,O. Anunoby,[1628384],,,,,,,,4.98,Missed,,,,,,,,,,,,,,,
