actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-02T01:10:57.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-02T01:10:57Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-02T01:11:01.0Z,1,REGULAR,jumpball,recovered,[],201145,,,1610612743,0,0,2022-02-02T01:11:01Z,40000,,,0,,Jump Ball N. Jokic vs. K. Towns: Tip to J. Green,"[201145, 203999, 1626157]",1610612743.0,DEN,startperiod,J. Green,201145.0,Green,J. Green,Jokic,203999.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-02-02T01:11:19.0Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,0,0,2022-02-02T01:11:28Z,70000,,,0,,N. Jokic bad pass TURNOVER (1 TO),"[203999, 1626157]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,1.0,Towns,1626157.0,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-02-02T01:11:19.0Z,1,REGULAR,steal,,[],1626157,,,1610612750,0,0,2022-02-02T01:11:21Z,80000,,,0,,K. Towns STEAL (1 STL),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M26.00S,2022-02-02T01:11:29.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629020,11.251642575558476,44.36274509803921,1610612750,0,0,2022-02-02T01:12:31Z,90000,28.0,53.0,1,left,MISS J. Vanderbilt 6' floating Shot,[1629020],1610612750.0,MIN,floating,,,Vanderbilt,J. Vanderbilt,,,,,,,,6.03,Missed,,,,,,,,,,,,,,,
10,PT11M23.00S,2022-02-02T01:11:32.7Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,0,0,2022-02-02T01:11:37Z,100000,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M05.00S,2022-02-02T01:11:51.1Z,1,REGULAR,3pt,Jump Shot,[],203932,92.85479632063075,4.6568627450980395,1610612743,0,0,2022-02-02T01:11:56Z,110000,-227.0,15.0,1,right,MISS A. Gordon 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,22.72,Missed,,,,,,,,,,,,,,,
12,PT11M02.00S,2022-02-02T01:11:54.1Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,0,0,2022-02-02T01:11:56Z,120000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT10M53.00S,2022-02-02T01:12:03.4Z,1,REGULAR,3pt,Jump Shot,[],1626157,31.225361366622867,29.65686274509804,1610612750,0,0,2022-02-02T01:12:09Z,130000,102.0,241.0,1,left,MISS K. Towns 26' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,26.16,Missed,,,,,,,,,,,,,,,
14,PT10M50.00S,2022-02-02T01:12:06.4Z,1,REGULAR,rebound,defensive,[],201145,,,1610612743,0,0,2022-02-02T01:12:09Z,140000,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M31.00S,2022-02-02T01:12:25.1Z,1,REGULAR,3pt,Jump Shot,[],203115,93.51182654402102,95.58823529411765,1610612743,0,0,2022-02-02T01:12:30Z,150000,228.0,8.0,1,right,MISS W. Barton 3PT,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,22.81,Missed,,,,,,,,,,,,,,,
16,PT10M30.00S,2022-02-02T01:12:26.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,0,0,2022-02-02T01:12:30Z,160000,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,
17,PT10M30.00S,2022-02-02T01:12:29.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,0,0,2022-02-02T01:12:29Z,170000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M19.00S,2022-02-02T01:12:49.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629020,6.652431011826544,50.49019607843137,1610612750,2,0,2022-02-02T01:12:52Z,180000,-2.0,10.0,1,left,J. Vanderbilt Layup (2 PTS) (J. McDaniels 1 AST),"[1629020, 1630183]",1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,1.03,Made,,,,,2.0,J. McDaniels,1630183.0,1.0,,,,,,,
20,PT10M00.00S,2022-02-02T01:13:08.4Z,1,REGULAR,turnover,bad pass,[],203115,,,1610612743,2,0,2022-02-02T01:13:23Z,200000,,,0,,W. Barton bad pass TURNOVER (1 TO),"[203115, 1626157]",1610612743.0,DEN,,,,Barton,W. Barton,,,,,1.0,Towns,1626157.0,,,,,,,,,,,,,,,,,
21,PT10M00.00S,2022-02-02T01:13:08.4Z,1,REGULAR,steal,,[],1626157,,,1610612750,2,0,2022-02-02T01:13:23Z,210000,,,0,,K. Towns STEAL (2 STL),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,
22,PT09M54.00S,2022-02-02T01:13:13.6Z,1,REGULAR,turnover,lost ball,[],1630183,,,1610612750,2,0,2022-02-02T01:13:33Z,220000,,,0,,J. McDaniels lost ball TURNOVER (1 TO),"[1630183, 203115]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,1.0,Barton,203115.0,,,,,,,,,,,,,,,,,
23,PT09M54.00S,2022-02-02T01:13:13.6Z,1,REGULAR,steal,,[],203115,,,1610612743,2,0,2022-02-02T01:13:15Z,230000,,,0,,W. Barton STEAL (1 STL),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,
24,PT09M53.00S,2022-02-02T01:13:17.3Z,1,REGULAR,foul,personal,[],201976,,,1610612743,2,0,2022-02-02T01:13:27Z,240000,,,0,,P. Beverley take personal FOUL (1 PF),"[201976, 203999]",1610612750.0,MIN,take,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Jokic,203999.0,,
26,PT09M51.00S,2022-02-02T01:13:56.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203932,92.06636005256242,54.41176470588235,1610612743,2,2,2022-02-02T01:14:00Z,260000,22.0,22.0,1,right,A. Gordon Layup (2 PTS) (N. Jokic 1 AST),"[203932, 203999]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,3.13,Made,,,,,2.0,N. Jokic,203999.0,1.0,,,,,,,
