actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,value
2,PT12M00.00S,2022-02-25T01:10:41.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-25T01:10:41Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-25T01:10:43.9Z,1,REGULAR,jumpball,recovered,[],1630533,,,1610612763,0,0,2022-02-25T01:10:43Z,40000,,,0,,Jump Ball S. Adams vs. K. Towns: Tip to Z. Williams,"[1630533, 203500, 1626157]",1610612763.0,MEM,startperiod,Z. Williams,1630533.0,Williams,Z. Williams,Adams,203500.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-02-25T01:10:56.1Z,1,REGULAR,turnover,bad pass,[],203500,,,1610612763,0,0,2022-02-25T01:11:00Z,70000,,,0,,S. Adams bad pass TURNOVER (1 TO),"[203500, 1629020]",1610612763.0,MEM,,,,Adams,S. Adams,,,,,1.0,Vanderbilt,1629020.0,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2022-02-25T01:10:56.1Z,1,REGULAR,steal,,[],1629020,,,1610612750,0,0,2022-02-25T01:10:57Z,80000,,,0,,J. Vanderbilt STEAL (1 STL),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-02-25T01:11:01.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626157,70.64717477003943,16.176470588235293,1610612750,0,0,2022-02-25T01:11:08Z,90000,-169.0,223.0,1,right,MISS K. Towns 28' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,28.02,Missed,,,,,,,,,,,,,,,,
10,PT11M36.00S,2022-02-25T01:11:03.6Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,0,0,2022-02-25T01:11:08Z,100000,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M24.00S,2022-02-25T01:11:15.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203500,6.57030223390276,44.24019607843137,1610612763,0,0,2022-02-25T01:11:37Z,110000,29.0,9.0,1,left,MISS S. Adams Layup,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,3.03,Missed,,,,,,,,,,,,,,,,
12,PT11M22.00S,2022-02-25T01:11:17.4Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,0,0,2022-02-25T01:11:19Z,120000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT11M14.00S,2022-02-25T01:11:26.8Z,1,REGULAR,turnover,bad pass,[],1626156,,,1610612750,0,0,2022-02-25T01:11:31Z,130000,,,0,,D. Russell bad pass TURNOVER (1 TO),"[1626156, 1629630]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,1.0,Morant,1629630.0,,,,,,,,,,,,,,,,,,
14,PT11M14.00S,2022-02-25T01:11:26.8Z,1,REGULAR,steal,,[],1629630,,,1610612763,0,0,2022-02-25T01:11:28Z,140000,,,0,,J. Morant STEAL (1 STL),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M12.00S,2022-02-25T01:11:32.2Z,1,REGULAR,foul,personal,[],201976,,,1610612763,0,0,2022-02-25T01:11:41Z,150000,,,0,,P. Beverley take personal FOUL (1 PF),"[201976, 1629630]",1610612750.0,MIN,take,,,Beverley,P. Beverley,,,,,,,,,,,,,,1193.0,1.0,0.0,Morant,1629630.0,,,,,,,
17,PT11M01.00S,2022-02-25T01:11:58.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203500,10.726018396846255,42.64705882352941,1610612763,0,0,2022-02-25T01:12:03Z,170000,37.0,48.0,1,left,MISS S. Adams 6' Hook,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,6.07,Missed,,,,,,,,,,,,,,,,
18,PT10M59.00S,2022-02-25T01:12:00.1Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,0,0,2022-02-25T01:12:03Z,180000,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,
19,PT10M52.00S,2022-02-25T01:12:07.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201976,86.02168199737189,55.88235294117647,1610612750,0,0,2022-02-25T01:12:12Z,190000,29.0,79.0,1,right,MISS P. Beverley 8' driving Layup - blocked,"[201976, 1628991]",1610612750.0,MIN,driving,,,Beverley,P. Beverley,,,,,,,,8.42,Missed,,,,,,,,,,Jackson Jr.,1628991.0,,,,,
20,PT10M52.00S,2022-02-25T01:12:07.6Z,1,REGULAR,block,,[],1628991,,,1610612750,0,0,2022-02-25T01:12:09Z,200000,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M49.00S,2022-02-25T01:12:10.6Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,0,0,2022-02-25T01:12:12Z,210000,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,
22,PT10M40.00S,2022-02-25T01:12:18.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,8.360709592641262,58.57843137254902,1610612763,0,0,2022-02-25T01:12:24Z,220000,-43.0,26.0,1,left,MISS J. Morant driving Layup,[1629630],1610612763.0,MEM,driving,,,Morant,J. Morant,,,,,,,,5.02,Missed,,,,,,,,,,,,,,,,
23,PT10M38.00S,2022-02-25T01:12:20.4Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,0,0,2022-02-25T01:12:49Z,230000,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,22.0,2.0,2.0,0.0,,,,,,,,,,,,
24,PT10M35.00S,2022-02-25T01:12:25.5Z,1,REGULAR,turnover,bad pass,[],1626156,,,1610612750,0,0,2022-02-25T01:15:20Z,240000,,,0,,D. Russell bad pass TURNOVER (2 TO),"[1626156, 1628991]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,2.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,
25,PT10M35.00S,2022-02-25T01:12:25.5Z,1,REGULAR,steal,,[],1628991,,,1610612763,0,0,2022-02-25T01:12:27Z,250000,,,0,,J. Jackson Jr. STEAL (1 STL),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M30.00S,2022-02-25T01:12:28.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630533,5.995400788436268,49.50980392156863,1610612763,0,2,2022-02-25T01:12:38Z,260000,2.0,4.0,1,left,Z. Williams alley-oop DUNK (2 PTS) (J. Morant 1 AST),"[1630533, 1629630]",1610612763.0,MEM,alley-oop,,,Williams,Z. Williams,,,,,,,,0.46,Made,,,,,,,,,,,,2.0,J. Morant,1629630.0,1.0,
28,PT10M12.00S,2022-02-25T01:12:46.1Z,1,REGULAR,2pt,Jump Shot,[],1630162,74.32654402102497,50.49019607843137,1610612750,0,2,2022-02-25T01:12:54Z,280000,2.0,189.0,1,right,MISS A. Edwards 18' step back Shot,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,,,,18.88,Missed,,,,,,,,,,,,,,,,
29,PT10M10.00S,2022-02-25T01:12:48.1Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612750,0,2,2022-02-25T01:12:54Z,290000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:0),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,28.0,1.0,0.0,1.0,,,,,,,,,,,,
