actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2021-10-26T00:10:42.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-26T00:10:42Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-10-26T00:10:45.3Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612750,0,0,2021-10-26T00:10:45Z,40000,,,0,,Jump Ball K. Towns vs. J. Valanciunas: Tip to D. Russell,"[1626156, 1626157, 202685]",1610612750.0,MIN,startperiod,D. Russell,1626156.0,Russell,D. Russell,Towns,1626157.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-10-26T00:10:57.8Z,1,REGULAR,3pt,Jump Shot,[],1626156,71.82982917214193,25.0,1610612750,0,0,2021-10-26T00:11:03Z,70000,-125.0,212.0,1,right,MISS D. Russell 24' 3PT - blocked,"[1626156, 1630529]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,24.64,Missed,Jones,1630529.0,,,,,,,,,,,,,,,,
8,PT11M43.00S,2021-10-26T00:10:57.8Z,1,REGULAR,block,,[],1630529,,,1610612750,0,0,2021-10-26T00:11:00Z,80000,,,0,,H. Jones BLOCK (1 BLK),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2021-10-26T00:10:59.8Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612750,0,0,2021-10-26T00:11:03Z,90000,,,0,,K. Towns REBOUND (Off:1 Def:0),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M41.00S,2021-10-26T00:11:05.5Z,1,REGULAR,turnover,out-of-bounds,[],1626156,,,1610612750,0,0,2021-10-26T00:11:16Z,100000,,,0,,D. Russell bad pass out-of-bounds TURNOVER (1 TO),[1626156],1610612750.0,MIN,bad pass,,,Russell,D. Russell,,,,,,,,,,,,,2530.0,1.0,,,,,,,,,,
11,PT11M31.00S,2021-10-26T00:11:26.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,0,0,2021-10-26T00:11:26Z,110000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M20.00S,2021-10-26T00:11:45.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202685,7.5722733245729295,45.09803921568628,1610612740,0,0,2021-10-26T00:11:50Z,120000,25.0,19.0,1,left,MISS J. Valanciunas Layup,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,3.08,Missed,,,,,,,,,,,,,,,,,,
13,PT11M18.00S,2021-10-26T00:11:47.3Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,0,0,2021-10-26T00:11:50Z,130000,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT11M11.00S,2021-10-26T00:11:53.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,82.60512483574244,40.931372549019606,1610612750,0,0,2021-10-26T00:12:17Z,140000,-45.0,111.0,1,right,MISS K. Towns 11' driving floating Shot,[1626157],1610612750.0,MIN,driving floating,,,Towns,K. Towns,,,,,11.99,Missed,,,,,,,,,,,,,,,,,,
15,PT11M09.00S,2021-10-26T00:11:55.9Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612750,0,0,2021-10-26T00:12:17Z,150000,,,0,,K. Towns REBOUND (Off:2 Def:0),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,14.0,2.0,0.0,2.0,,,,,,,,,,,,
16,PT11M08.00S,2021-10-26T00:11:57.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1626157,92.19776609724047,34.55882352941176,1610612750,0,0,2021-10-26T00:12:07Z,160000,-77.0,21.0,1,right,MISS K. Towns 8' turnaround Hook,[1626157],1610612750.0,MIN,turnaround,,,Towns,K. Towns,,,,,8.0,Missed,,,,,,,,,,,,,,,,,,
17,PT11M06.00S,2021-10-26T00:11:59.9Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,0,0,2021-10-26T00:12:07Z,170000,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,
18,PT11M02.00S,2021-10-26T00:12:04.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627742,29.77989487516426,27.941176470588236,1610612740,0,0,2021-10-26T00:12:19Z,180000,110.0,227.0,1,left,MISS B. Ingram 25' pullup 3PT,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,25.27,Missed,,,,,,,,,,,,,,,,,,
19,PT11M02.00S,2021-10-26T00:12:04.2Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,0,0,2021-10-26T00:12:19Z,190000,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,
20,PT10M59.00S,2021-10-26T00:12:12.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,0,0,2021-10-26T00:12:12Z,200000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M49.00S,2021-10-26T00:12:26.6Z,1,REGULAR,3pt,Jump Shot,[],1630183,73.01248357424441,20.833333333333336,1610612750,3,0,2021-10-26T00:12:31Z,210000,-146.0,201.0,1,right,J. McDaniels 24' 3PT  (3 PTS) (K. Towns 1 AST),"[1630183, 1626157]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,24.85,Made,,,,,,,,,3.0,K. Towns,1626157.0,1.0,,,,,,
23,PT10M35.00S,2021-10-26T00:12:40.6Z,1,REGULAR,3pt,Jump Shot,[],1628984,31.488173455978973,40.68627450980392,1610612740,3,0,2021-10-26T00:12:45Z,230000,47.0,243.0,1,left,MISS D. Graham 24' 3PT,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,24.79,Missed,,,,,,,,,,,,,,,,,,
24,PT10M31.00S,2021-10-26T00:12:44.6Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,3,0,2021-10-26T00:12:45Z,240000,,,0,,K. Towns REBOUND (Off:2 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,23.0,3.0,1.0,2.0,,,,,,,,,,,,
25,PT10M16.00S,2021-10-26T00:12:59.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,83.26215505913272,43.872549019607845,1610612750,3,0,2021-10-26T00:13:34Z,250000,-31.0,105.0,1,right,MISS D. Russell 10' driving floating Shot,[1626156],1610612750.0,MIN,driving floating,,,Russell,D. Russell,,,,,10.92,Missed,,,,,,,,,,,,,,,,,,
26,PT10M14.00S,2021-10-26T00:13:01.6Z,1,REGULAR,rebound,defensive,[],1628984,,,1610612740,3,0,2021-10-26T00:13:06Z,260000,,,0,,D. Graham REBOUND (Off:0 Def:1),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,
27,PT10M10.00S,2021-10-26T00:13:05.9Z,1,REGULAR,turnover,bad pass,[],1628984,,,1610612740,3,0,2021-10-26T00:13:10Z,270000,,,0,,D. Graham bad pass TURNOVER (1 TO),"[1628984, 1629006]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,1.0,,,,,Okogie,1629006.0,,,,
28,PT10M10.00S,2021-10-26T00:13:05.9Z,1,REGULAR,steal,,[],1629006,,,1610612750,3,0,2021-10-26T00:13:07Z,280000,,,0,,J. Okogie STEAL (1 STL),[1629006],1610612750.0,MIN,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,,,,,,
29,PT10M06.00S,2021-10-26T00:13:10.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626157,93.11760840998686,52.69607843137255,1610612750,3,0,2021-10-26T00:13:20Z,290000,13.0,12.0,1,right,MISS K. Towns driving Layup,[1626157],1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,1.82,Missed,,,,,,,,,,,,,,,,,,
30,PT10M03.00S,2021-10-26T00:13:13.4Z,1,REGULAR,rebound,defensive,[],1629638,,,1610612740,3,0,2021-10-26T00:13:20Z,300000,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:1),[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,
31,PT09M56.00S,2021-10-26T00:13:18.8Z,1,REGULAR,3pt,Jump Shot,[],1629638,29.122864651773984,26.225490196078432,1610612740,3,0,2021-10-26T00:13:29Z,310000,119.0,221.0,1,left,MISS N. Alexander-Walker 25' 3PT,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,25.12,Missed,,,,,,,,,,,,,,,,,,
32,PT09M53.00S,2021-10-26T00:13:21.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,3,0,2021-10-26T00:13:29Z,320000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,
33,PT09M53.00S,2021-10-26T00:13:26.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,3,0,2021-10-26T00:13:26Z,330000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M47.00S,2021-10-26T00:13:48.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627742,24.392247043363994,31.862745098039213,1610612740,3,2,2021-10-26T00:13:54Z,340000,91.0,177.0,1,left,B. Ingram 19' Jump Shot (2 PTS) (J. Valanciunas 1 AST),"[1627742, 202685]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,19.87,Made,,,,,,,,,2.0,J. Valanciunas,202685.0,1.0,,,,,,
36,PT09M36.00S,2021-10-26T00:13:58.5Z,1,REGULAR,3pt,Jump Shot,[],1630162,70.12155059132719,22.30392156862745,1610612750,3,2,2021-10-26T00:14:03Z,360000,-138.0,228.0,1,right,MISS A. Edwards 26' 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,26.71,Missed,,,,,,,,,,,,,,,,,,
37,PT09M34.00S,2021-10-26T00:14:00.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,3,2,2021-10-26T00:14:03Z,370000,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,
38,PT09M34.00S,2021-10-26T00:14:04.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,3,2,2021-10-26T00:14:04Z,380000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT09M18.00S,2021-10-26T00:14:28.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,7.835085413929041,49.26470588235294,1610612740,3,4,2021-10-26T00:14:33Z,390000,4.0,21.0,1,left,J. Valanciunas Layup (2 PTS) (N. Alexander-Walker 1 AST),"[202685, 1629638]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,2.14,Made,,,,,,,,,2.0,N. Alexander-Walker,1629638.0,1.0,,,,,,
41,PT09M03.00S,2021-10-26T00:14:43.5Z,1,REGULAR,3pt,Jump Shot,[],1626156,75.50919842312747,85.29411764705883,1610612750,3,4,2021-10-26T00:14:50Z,410000,176.0,178.0,1,right,MISS D. Russell 25' 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,25.05,Missed,,,,,,,,,,,,,,,,,,
42,PT09M02.00S,2021-10-26T00:14:44.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,3,4,2021-10-26T00:14:50Z,420000,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,
43,PT09M02.00S,2021-10-26T00:14:49.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,3,4,2021-10-26T00:14:49Z,430000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M50.00S,2021-10-26T00:15:11.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628984,14.4053876478318,50.0,1610612740,3,6,2021-10-26T00:15:29Z,440000,0.0,83.0,1,left,D. Graham 8' pullup bank Jump Shot (2 PTS) (H. Jones 1 AST),"[1628984, 1630529]",1610612740.0,NOP,pullup bank,,,Graham,D. Graham,,,,,8.29,Made,,,,,,,,,2.0,H. Jones,1630529.0,1.0,,,,,,
45,PT08M32.00S,2021-10-26T00:15:29.2Z,1,REGULAR,3pt,Jump Shot,[],1629006,92.72339027595268,3.431372549019608,1610612750,3,6,2021-10-26T00:15:34Z,450000,-233.0,16.0,1,right,MISS J. Okogie 3PT,[1629006],1610612750.0,MIN,,,,Okogie,J. Okogie,,,,,23.33,Missed,,,,,,,,,,,,,,,,,,
46,PT08M30.00S,2021-10-26T00:15:31.2Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612750,3,6,2021-10-26T00:15:34Z,460000,,,0,,K. Towns REBOUND (Off:3 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,45.0,4.0,1.0,3.0,,,,,,,,,,,,
47,PT08M28.00S,2021-10-26T00:15:34.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626157,92.72339027595268,50.0,1610612750,5,6,2021-10-26T00:15:40Z,470000,0.0,16.0,1,right,K. Towns driving Layup (2 PTS),[1626157],1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,1.59,Made,,,,,,,,,2.0,,,,,,,,,
49,PT08M15.00S,2021-10-26T00:15:45.6Z,1,REGULAR,2pt,Jump Shot,[],202685,15.982260183968464,81.61764705882352,1610612740,5,8,2021-10-26T00:15:52Z,480000,-158.0,98.0,1,left,J. Valanciunas 18' turnaround Jump Shot (4 PTS) (D. Graham 1 AST),"[202685, 1628984]",1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,18.59,Made,,,,,,,,,4.0,D. Graham,1628984.0,1.0,,,,,,
51,PT08M04.00S,2021-10-26T00:15:56.7Z,1,REGULAR,3pt,Jump Shot,[],1626157,67.49342969776609,45.09803921568628,1610612750,5,8,2021-10-26T00:16:03Z,500000,-25.0,253.0,1,right,MISS K. Towns 25' step back 3PT,[1626157],1610612750.0,MIN,step back,,,Towns,K. Towns,,,,,25.43,Missed,,,,,,,,,,,,,,,,,,
52,PT08M03.00S,2021-10-26T00:16:00.7Z,1,REGULAR,rebound,offensive,[],1629006,,,1610612750,5,8,2021-10-26T00:16:00Z,510000,,,0,,J. Okogie REBOUND (Off:1 Def:0),[1629006],1610612750.0,MIN,,,,Okogie,J. Okogie,,,,,,,,,51.0,1.0,0.0,1.0,,,,,,,,,,,,
53,PT08M03.00S,2021-10-26T00:16:01.7Z,1,REGULAR,foul,personal,['2freethrow'],1627742,,,1610612750,5,8,2021-10-26T00:16:10Z,520000,,,0,,B. Ingram shooting personal FOUL (1 PF) (Okogie 2 FT),"[1627742, 1629006]",1610612740.0,NOP,shooting,,,Ingram,B. Ingram,,,,,,,,,,,,,1627524.0,,,,,,,,1.0,0.0,Okogie,1629006.0
55,PT08M03.00S,2021-10-26T00:16:29.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629006,,,1610612750,6,8,2021-10-26T00:16:49Z,540000,,,0,,J. Okogie Free Throw 1 of 2 (1 PTS),[1629006],1610612750.0,MIN,,,,Okogie,J. Okogie,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
