actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-09T01:10:40.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-09T01:10:40Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-12-09T01:10:43.9Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2021-12-09T01:10:43Z,40000,,,0,,Jump Ball R. Gobert vs. K. Towns: Tip to R. O'Neale,"[1626220, 203497, 1626157]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Gobert,203497.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-12-09T01:10:55.0Z,1,REGULAR,3pt,Jump Shot,[],1628378,19.793035479632064,89.95098039215686,1610612762,0,0,2021-12-09T01:10:59Z,70000,-200.0,134.0,1,left,MISS D. Mitchell 24' 3PT,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,24.04,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2021-12-09T01:10:58.0Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612750,0,0,2021-12-09T01:10:59Z,80000,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M35.00S,2021-12-09T01:11:04.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629020,91.80354796320631,44.6078431372549,1610612750,2,0,2021-12-09T01:11:12Z,90000,-27.0,25.0,1,right,J. Vanderbilt running Layup (2 PTS) (T. Prince 1 AST),"[1629020, 1627752]",1610612750.0,MIN,running,,,Vanderbilt,J. Vanderbilt,,,,,3.65,Made,,,,,2.0,T. Prince,1627752.0,1.0,,,,,,,,,,,
11,PT11M26.00S,2021-12-09T01:11:12.7Z,1,REGULAR,turnover,bad pass,[],201144,,,1610612762,2,0,2021-12-09T01:11:19Z,110000,,,0,,M. Conley bad pass TURNOVER (1 TO),"[201144, 1630162]",1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,1.0,Edwards,1630162.0,,,,,,,,
12,PT11M26.00S,2021-12-09T01:11:12.7Z,1,REGULAR,steal,,[],1630162,,,1610612750,2,0,2021-12-09T01:11:15Z,120000,,,0,,A. Edwards STEAL (1 STL),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M22.00S,2021-12-09T01:11:17.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630162,93.24901445466492,50.98039215686274,1610612750,4,0,2021-12-09T01:11:27Z,130000,5.0,11.0,1,right,A. Edwards running DUNK (2 PTS),[1630162],1610612750.0,MIN,running,,,Edwards,A. Edwards,,,,,1.2,Made,,,,,2.0,,,,,,,,,,,,,,
14,PT11M08.00S,2021-12-09T01:11:31.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201144,6.1268068331143235,55.14705882352941,1610612762,4,2,2021-12-09T01:11:36Z,140000,-26.0,5.0,1,left,M. Conley driving Layup (2 PTS),[201144],1610612762.0,UTA,driving,,,Conley,M. Conley,,,,,2.62,Made,,,,,2.0,,,,,,,,,,,,,,
15,PT10M46.00S,2021-12-09T01:11:53.9Z,1,REGULAR,2pt,Jump Shot,[],1630162,87.59855453350855,14.460784313725492,1610612750,4,2,2021-12-09T01:12:40Z,150000,-178.0,64.0,1,right,MISS A. Edwards 18' Jump Shot,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,18.89,Missed,,,,,,,,,,,,,,,,,,,
