actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-04-08T00:10:34.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-08T00:10:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-04-08T00:10:35.4Z,1,REGULAR,jumpball,recovered,[],1630200,,,1610612759,0,0,2022-04-08T00:10:35Z,40000,,,0,,Jump Ball J. Poeltl vs. K. Towns: Tip to T. Jones,"[1630200, 1627751, 1626157]",1610612759.0,SAS,startperiod,T. Jones,1630200.0,Jones,T. Jones,Poeltl,1627751.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-04-08T00:10:52.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,80.15768725361366,51.40165441176471,1610612759,0,0,2022-04-08T00:12:39Z,70000,7.0,134.0,1,right,MISS D. Vassell 13' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,13.42,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-04-08T00:10:55.1Z,1,REGULAR,rebound,defensive,[],201976,,,1610612750,0,0,2022-04-08T00:12:39Z,80000,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2022-04-08T00:11:07.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,5.601182654402102,49.50980392156863,1610612750,2,0,2022-04-08T00:11:17Z,90000,2.0,0.0,1,left,A. Edwards driving Layup (2 PTS),[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,0.25,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M08.00S,2022-04-08T00:11:23.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,84.31340341655716,50.73529411764706,1610612759,2,0,2022-04-08T00:12:14Z,100000,4.0,95.0,1,right,MISS J. Poeltl 9' floating Shot,[1627751],1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,9.51,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M07.00S,2022-04-08T00:11:24.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,2,0,2022-04-08T00:11:43Z,110000,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2022-04-08T00:11:29.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,2,0,2022-04-08T00:11:29Z,120000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT10M42.00S,2022-04-08T00:11:56.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,6.438896189224707,61.53109681372549,1610612750,4,0,2022-04-08T00:12:43Z,130000,-58.0,8.0,1,left,A. Edwards turnaround fadeaway Jump Shot (4 PTS),[1630162],1610612750.0,MIN,turnaround fadeaway,,,Edwards,A. Edwards,,,,,5.83,Made,,,,,4.0,,,,,,,,,,,,,,
14,PT10M28.00S,2022-04-08T00:12:10.8Z,1,REGULAR,turnover,bad pass,[],1630563,,,1610612759,4,0,2022-04-08T00:13:05Z,140000,,,0,,J. Primo bad pass TURNOVER (1 TO),"[1630563, 1630162]",1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,,,,,,1.0,Edwards,1630162.0,,,,,,,,,,,
15,PT10M28.00S,2022-04-08T00:12:10.8Z,1,REGULAR,steal,,[],1630162,,,1610612750,4,0,2022-04-08T00:12:12Z,150000,,,0,,A. Edwards STEAL (1 STL),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M15.00S,2022-04-08T00:12:26.1Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612750,4,0,2022-04-08T00:13:04Z,160000,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Towns 2 FT),"[1627751, 1626157]",1610612759.0,SAS,shooting,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,1627963.0,1.0,0.0,Towns,1626157.0,,,,,,
18,PT10M15.00S,2022-04-08T00:13:05.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1626157,,,1610612750,4,0,2022-04-08T00:13:25Z,180000,,,0,,MISS K. Towns Free Throw 1 of 2,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M15.00S,2022-04-08T00:13:05.2Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612750,4,0,2022-04-08T00:13:25Z,190000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,
20,PT10M15.00S,2022-04-08T00:13:05.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1626157,,,1610612750,4,0,2022-04-08T00:13:25Z,200000,,,0,,MISS K. Towns Free Throw 2 of 2,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M12.00S,2022-04-08T00:13:08.2Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,4,0,2022-04-08T00:13:25Z,210000,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
22,PT10M03.00S,2022-04-08T00:13:35.8Z,1,REGULAR,foul,offensive,[],1629640,,,1610612759,4,0,2022-04-08T00:14:23Z,220000,,,0,,K. Johnson offensive FOUL (1 PF),"[1629640, 201976]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,1830.0,1.0,0.0,Beverley,201976.0,,,,,,
24,PT10M03.00S,2022-04-08T00:13:35.8Z,1,REGULAR,turnover,offensive foul,[],1629640,,,1610612759,4,0,2022-04-08T00:14:09Z,240000,,,0,,K. Johnson offensive foul TURNOVER (1 TO),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,1.0,,,1830.0,,,,,,,,,,
25,PT09M50.00S,2022-04-08T00:14:01.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630162,25.755584756898813,84.29074754901961,1610612750,4,0,2022-04-08T00:14:51Z,250000,-171.0,190.0,1,left,MISS A. Edwards 25' step back 3PT,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,25.57,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M46.00S,2022-04-08T00:14:05.1Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,4,0,2022-04-08T00:14:08Z,260000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
27,PT09M37.00S,2022-04-08T00:14:15.0Z,1,REGULAR,3pt,Jump Shot,[],1630170,67.62483574244416,47.05882352941176,1610612759,4,0,2022-04-08T00:14:21Z,270000,-15.0,252.0,1,right,MISS D. Vassell 25' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,25.22,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M34.00S,2022-04-08T00:14:18.0Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,4,0,2022-04-08T00:14:21Z,280000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
29,PT09M27.00S,2022-04-08T00:14:25.2Z,1,REGULAR,2pt,Jump Shot,[],201976,25.88699080157687,71.05545343137256,1610612750,4,0,2022-04-08T00:15:49Z,290000,-105.0,191.0,1,left,MISS P. Beverley 21' step back Shot,[201976],1610612750.0,MIN,step back,,,Beverley,P. Beverley,,,,,21.79,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M24.00S,2022-04-08T00:14:28.2Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,4,0,2022-04-08T00:14:31Z,300000,,,0,,J. Poeltl REBOUND (Off:0 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,29.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
31,PT09M18.00S,2022-04-08T00:14:33.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1630563,91.45860709592641,42.99172794117647,1610612759,4,2,2022-04-08T00:16:15Z,310000,-35.0,28.0,1,right,J. Primo running alley-oop DUNK (2 PTS) (T. Jones 1 AST),"[1630563, 1630200]",1610612759.0,SAS,running alley-oop,,,Primo,J. Primo,,,,,4.47,Made,,,,,2.0,,,,,,,,,T. Jones,1630200.0,1.0,,,
33,PT09M05.00S,2022-04-08T00:14:47.4Z,1,REGULAR,3pt,Jump Shot,[],1626157,31.09395532194481,65.68627450980392,1610612750,4,2,2022-04-08T00:14:54Z,330000,-78.0,240.0,1,left,MISS K. Towns 25' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,25.23,Missed,,,,,,,,,,,,,,,,,,,
34,PT09M03.00S,2022-04-08T00:14:49.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,4,2,2022-04-08T00:14:54Z,340000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,
35,PT09M03.00S,2022-04-08T00:14:53.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,4,2,2022-04-08T00:14:53Z,350000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
