actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-02T01:10:52.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-02T01:10:52Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-02T01:10:54.9Z,1,REGULAR,jumpball,recovered,[],1629020,,,1610612750,0,0,2022-03-02T01:10:54Z,40000,,,0,,Jump Ball K. Towns vs. K. Looney: Tip to J. Vanderbilt,"[1629020, 1626157, 1626172]",1610612750.0,MIN,startperiod,J. Vanderbilt,1629020.0,Vanderbilt,J. Vanderbilt,Towns,1626157.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-03-02T01:11:05.3Z,1,REGULAR,3pt,Jump Shot,[],1626157,29.6484888304862,30.392156862745097,1610612750,3,0,2022-03-02T01:11:10Z,70000,98.0,226.0,1,left,K. Towns 24' 3PT  (3 PTS) (P. Beverley 1 AST),"[1626157, 201976]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,24.65,Made,3.0,P. Beverley,201976.0,1.0,,,,,,,,,,,,,,,
9,PT11M30.00S,2022-03-02T01:11:21.0Z,1,REGULAR,2pt,Jump Shot,[],203952,77.87450722733246,55.14705882352941,1610612744,3,2,2022-03-02T01:11:26Z,90000,26.0,155.0,1,right,A. Wiggins 15' pullup Jump Shot (2 PTS) (K. Looney 1 AST),"[203952, 1626172]",1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,15.76,Made,2.0,K. Looney,1626172.0,1.0,,,,,,,,,,,,,,,
11,PT11M17.00S,2022-03-02T01:11:34.4Z,1,REGULAR,3pt,Jump Shot,[],201976,23.866622864651774,85.04901960784314,1610612750,3,2,2022-03-02T01:11:39Z,110000,-175.0,172.0,1,left,MISS P. Beverley 24' step back 3PT,[201976],1610612750.0,MIN,step back,,,Beverley,P. Beverley,,,,,24.54,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2022-03-02T01:11:36.4Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,3,2,2022-03-02T01:11:39Z,120000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT10M58.00S,2022-03-02T01:11:58.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,3,2,2022-03-02T01:11:58Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2022-03-02T01:12:22.5Z,1,REGULAR,3pt,Jump Shot,[],201939,94.95729303547962,94.36274509803921,1610612744,3,2,2022-03-02T01:12:27Z,140000,222.0,-5.0,1,right,MISS S. Curry 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,22.19,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M51.00S,2022-03-02T01:12:25.5Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,3,2,2022-03-02T01:12:27Z,150000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
16,PT10M39.00S,2022-03-02T01:12:37.6Z,1,REGULAR,2pt,Jump Shot,[],1626157,22.158344283837057,50.0,1610612750,3,2,2022-03-02T01:12:44Z,160000,0.0,156.0,1,left,MISS K. Towns 15' step back Shot,[1626157],1610612750.0,MIN,step back,,,Towns,K. Towns,,,,,15.58,Missed,,,,,,,,,,,,,,,,,,,
