actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-06T20:41:38.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-06T20:41:38Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-06T20:41:40.9Z,1,REGULAR,jumpball,recovered,[],1629020,,,1610612750,0,0,2022-02-06T20:41:40Z,40000,,,0,,Jump Ball K. Towns vs. I. Stewart: Tip to J. Vanderbilt,"[1629020, 1626157, 1630191]",1610612750.0,MIN,startperiod,J. Vanderbilt,1629020.0,Vanderbilt,J. Vanderbilt,Towns,1626157.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-02-06T20:41:50.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,5.995400788436268,54.41176470588235,1610612750,0,0,2022-02-06T20:41:56Z,70000,-22.0,4.0,1,left,MISS A. Edwards driving finger roll Layup,[1630162],1610612750.0,MIN,driving finger roll,,,Edwards,A. Edwards,,,,,2.24,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2022-02-06T20:41:52.5Z,1,REGULAR,rebound,defensive,[],203924,,,1610612765,0,0,2022-02-06T20:41:56Z,80000,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M34.00S,2022-02-06T20:42:03.2Z,1,REGULAR,2pt,Jump Shot,[],202709,77.7431011826544,25.49019607843137,1610612765,0,0,2022-02-06T20:42:13Z,90000,-123.0,157.0,1,right,MISS C. Joseph 19' pullup Shot,[202709],1610612765.0,DET,pullup,,,Joseph,C. Joseph,,,,,19.89,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2022-02-06T20:42:04.2Z,1,REGULAR,rebound,offensive,[],1630191,,,1610612765,0,0,2022-02-06T20:42:13Z,100000,,,0,,I. Stewart REBOUND (Off:1 Def:0),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
11,PT11M33.00S,2022-02-06T20:42:08.8Z,1,REGULAR,foul,personal,[],1629020,,,1610612765,0,0,2022-02-06T20:42:32Z,110000,,,0,,J. Vanderbilt personal FOUL (1 PF),"[1629020, 1630191]",1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,2534.0,1.0,0.0,Stewart,1630191.0,,,,,,,,,,
13,PT11M25.00S,2022-02-06T20:42:30.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628977,87.86136662286465,42.8921568627451,1610612765,0,2,2022-02-06T20:45:33Z,130000,-36.0,62.0,1,right,H. Diallo 7' floating Jump Shot (2 PTS) (C. Joseph 1 AST),"[1628977, 202709]",1610612765.0,DET,floating,,,Diallo,H. Diallo,,,,,7.11,Made,,,,,,,,,,2.0,C. Joseph,202709.0,1.0,,,,,,
15,PT11M11.00S,2022-02-06T20:42:43.1Z,1,REGULAR,2pt,Jump Shot,[],1626156,22.28975032851511,62.00980392156863,1610612750,0,2,2022-02-06T20:42:48Z,150000,-60.0,157.0,1,left,MISS D. Russell 16' step back Shot,[1626156],1610612750.0,MIN,step back,,,Russell,D. Russell,,,,,16.81,Missed,,,,,,,,,,,,,,,,,,,
16,PT11M09.00S,2022-02-06T20:42:45.1Z,1,REGULAR,rebound,defensive,[],1628977,,,1610612765,0,2,2022-02-06T20:42:48Z,160000,,,0,,H. Diallo REBOUND (Off:0 Def:1),[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
