actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-10T01:10:35.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-10T01:10:35Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-10T01:10:38.0Z,1,REGULAR,jumpball,recovered,[],1627736,,,1610612750,0,0,2022-03-10T01:10:38Z,40000,,,0,,Jump Ball K. Towns vs. I. Roby: Tip to M. Beasley,"[1627736, 1626157, 1629676]",1610612750.0,MIN,startperiod,M. Beasley,1627736.0,Beasley,M. Beasley,Towns,1626157.0,Roby,1629676.0,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-03-10T01:10:58.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,6.389618922470433,49.754901960784316,1610612750,0,0,2022-03-10T01:11:03Z,70000,1.0,8.0,1,left,MISS K. Towns driving Layup,[1626157],1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,0.77,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2022-03-10T01:11:00.6Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,0,0,2022-03-10T01:11:03Z,80000,,,0,,D. Bazley REBOUND (Off:0 Def:1),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M23.00S,2022-03-10T01:11:12.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630598,93.77463863337714,50.49019607843137,1610612760,0,2,2022-03-10T01:11:16Z,90000,2.0,6.0,1,right,A. Wiggins reverse Layup (2 PTS) (S. Gilgeous-Alexander 1 AST),"[1630598, 1628983]",1610612760.0,OKC,reverse,,,Wiggins,A. Wiggins,,,,,0.65,Made,,,,,2.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,,
11,PT11M12.00S,2022-03-10T01:11:23.1Z,1,REGULAR,3pt,Jump Shot,[],1627736,13.61695137976347,3.6764705882352944,1610612750,3,2,2022-03-10T01:11:28Z,110000,232.0,75.0,1,left,M. Beasley 24' 3PT step back (3 PTS) (D. Russell 1 AST),"[1627736, 1626156]",1610612750.0,MIN,step back,,,Beasley,M. Beasley,,,,,24.36,Made,,,,,3.0,D. Russell,1626156.0,1.0,,,,,,,,,,
13,PT10M52.00S,2022-03-10T01:11:45.4Z,1,REGULAR,foul,personal,[],1630162,,,1610612760,3,2,2022-03-10T01:11:56Z,130000,,,0,,A. Edwards personal FOUL (1 PF),"[1630162, 1629647]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,1627964.0,1.0,0.0,Bazley,1629647.0,,,,,
15,PT10M37.00S,2022-03-10T01:12:17.6Z,1,REGULAR,3pt,Jump Shot,[],1630322,88.12417871222075,3.6764705882352944,1610612760,3,2,2022-03-10T01:12:22Z,150000,-232.0,59.0,1,right,MISS L. Waters III 3PT,[1630322],1610612760.0,OKC,,,,Waters III,L. Waters III,,,,,23.9,Missed,,,,,,,,,,,,,,,,,,
16,PT10M34.00S,2022-03-10T01:12:20.8Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,3,2,2022-03-10T01:12:20Z,160000,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M30.00S,2022-03-10T01:12:25.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626156,28.597240473061763,74.50980392156863,1610612750,3,2,2022-03-10T01:12:59Z,170000,-123.0,216.0,1,left,MISS D. Russell 24' running pullup 3PT,[1626156],1610612750.0,MIN,running pullup,,,Russell,D. Russell,,,,,24.86,Missed,,,,,,,,,,,,,,,,,,
18,PT10M27.00S,2022-03-10T01:12:28.0Z,1,REGULAR,rebound,defensive,[],1629676,,,1610612760,3,2,2022-03-10T01:12:30Z,180000,,,0,,I. Roby REBOUND (Off:0 Def:1),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M14.00S,2022-03-10T01:12:40.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630598,94.03745072273325,49.26470588235294,1610612760,3,4,2022-03-10T01:12:44Z,190000,-4.0,4.0,1,right,A. Wiggins cutting Layup (4 PTS) (D. Bazley 1 AST),"[1630598, 1629647]",1610612760.0,OKC,cutting,,,Wiggins,A. Wiggins,,,,,0.51,Made,,,,,4.0,D. Bazley,1629647.0,1.0,,,,,,,,,,
21,PT09M55.00S,2022-03-10T01:12:59.7Z,1,REGULAR,turnover,bad pass,[],1626157,,,1610612750,3,4,2022-03-10T01:13:03Z,210000,,,0,,K. Towns bad pass TURNOVER (1 TO),"[1626157, 1629676]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,1.0,Roby,1629676.0,,
22,PT09M55.00S,2022-03-10T01:12:59.7Z,1,REGULAR,steal,,[],1629676,,,1610612760,3,4,2022-03-10T01:13:01Z,220000,,,0,,I. Roby STEAL (1 STL),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,,,,,,,,,,,,,,
23,PT09M48.00S,2022-03-10T01:13:06.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628983,93.9060446780552,49.754901960784316,1610612760,3,4,2022-03-10T01:13:11Z,230000,-1.0,5.0,1,right,MISS S. Gilgeous-Alexander driving finger roll Layup,[1628983],1610612760.0,OKC,driving finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,0.49,Missed,,,,,,,,,,,,,,,,,,
24,PT09M44.00S,2022-03-10T01:13:10.7Z,1,REGULAR,rebound,offensive,[],1629676,,,1610612760,3,4,2022-03-10T01:13:11Z,240000,,,0,,I. Roby REBOUND (Off:1 Def:1),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,23.0,2.0,1.0,1.0,,,,,,,,,,,,,,
25,PT09M44.00S,2022-03-10T01:13:09.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629676,94.40999984741211,50.0,1610612760,3,6,2022-03-10T01:13:09Z,250000,0.0,0.0,1,right,I. Roby tip Layup (2 PTS),[1629676],1610612760.0,OKC,tip,,,Roby,I. Roby,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,
