actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-18T03:15:41.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-18T03:15:41Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-18T03:15:43.8Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2021-12-18T03:15:43Z,40000,,,0,,Jump Ball A. Davis vs. K. Towns: Tip to L. James,"[2544, 203076, 1626157]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Davis,203076.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-12-18T03:15:57.5Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,0,0,2021-12-18T03:16:04Z,70000,,,0,,L. James bad pass TURNOVER (1 TO),"[2544, 1626156]",1610612747.0,LAL,,,,James,L. James,,,,,1.0,Russell,1626156.0,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2021-12-18T03:15:57.5Z,1,REGULAR,steal,,[],1626156,,,1610612750,0,0,2021-12-18T03:15:59Z,80000,,,0,,D. Russell STEAL (1 STL),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2021-12-18T03:16:01.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626156,32.802233902759525,51.71568627450981,1610612750,0,0,2021-12-18T03:16:11Z,90000,-9.0,256.0,1,left,MISS D. Russell 25' step back 3PT,[1626156],1610612750.0,MIN,step back,,,Russell,D. Russell,,,,,,,,25.59,Missed,,,,,,,,,,,,,,,
10,PT11M37.00S,2021-12-18T03:16:03.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,0,0,2021-12-18T03:16:11Z,100000,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
11,PT11M37.00S,2021-12-18T03:16:06.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,0,0,2021-12-18T03:16:06Z,110000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M24.00S,2021-12-18T03:16:24.5Z,1,REGULAR,turnover,lost ball,[],203076,,,1610612747,0,0,2021-12-18T03:16:31Z,120000,,,0,,A. Davis lost ball TURNOVER (1 TO),"[203076, 1626156]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,1.0,Russell,1626156.0,,,,,,,,,,,,,,,,,
13,PT11M24.00S,2021-12-18T03:16:24.5Z,1,REGULAR,steal,,[],1626156,,,1610612750,0,0,2021-12-18T03:16:26Z,130000,,,0,,D. Russell STEAL (2 STL),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M07.00S,2021-12-18T03:16:40.9Z,1,REGULAR,turnover,lost ball,[],1626156,,,1610612750,0,0,2021-12-18T03:19:15Z,140000,,,0,,D. Russell lost ball TURNOVER (1 TO),"[1626156, 203145]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,1.0,Bazemore,203145.0,,,,,,,,,,,,,,,,,
15,PT11M07.00S,2021-12-18T03:16:40.9Z,1,REGULAR,steal,,[],203145,,,1610612747,0,0,2021-12-18T03:16:43Z,150000,,,0,,K. Bazemore STEAL (1 STL),[203145],1610612747.0,LAL,,,,Bazemore,K. Bazemore,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M58.00S,2021-12-18T03:16:49.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203076,91.93495400788436,51.71568627450981,1610612747,0,2,2021-12-18T03:21:17Z,160000,9.0,23.0,1,right,A. Davis alley-oop Layup (2 PTS) (K. Bazemore 1 AST),"[203076, 203145]",1610612747.0,LAL,alley-oop,,,Davis,A. Davis,,,,,,,,2.48,Made,,2.0,K. Bazemore,203145.0,1.0,,,,,,,,,,
18,PT10M56.00S,2021-12-18T03:16:52.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201976,22.815374507227332,87.5,1610612750,0,2,2021-12-18T03:17:08Z,180000,-188.0,162.0,1,left,MISS P. Beverley 24' 3PT,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,24.78,Missed,,,,,,,,,,,,,,,
19,PT10M56.00S,2021-12-18T03:16:52.8Z,1,REGULAR,rebound,defensive,[],203145,,,1610612747,0,2,2021-12-18T03:17:08Z,190000,,,0,,K. Bazemore REBOUND (Off:0 Def:1),[203145],1610612747.0,LAL,,,,Bazemore,K. Bazemore,,,,,,,,,,18.0,,,,,1.0,1.0,0.0,,,,,,,
20,PT10M49.00S,2021-12-18T03:16:59.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203145,93.64323258869908,50.0,1610612747,0,2,2021-12-18T03:17:13Z,200000,0.0,7.0,1,right,MISS K. Bazemore driving reverse Layup,[203145],1610612747.0,LAL,driving reverse,,,Bazemore,K. Bazemore,,,,,,,,0.73,Missed,,,,,,,,,,,,,,,
21,PT10M47.00S,2021-12-18T03:17:01.5Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,0,2,2021-12-18T03:17:13Z,210000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,20.0,,,,,1.0,1.0,0.0,,,,,,,
22,PT10M39.00S,2021-12-18T03:17:11.5Z,1,REGULAR,3pt,Jump Shot,[],1626156,32.276609724047304,40.931372549019606,1610612750,0,2,2021-12-18T03:17:37Z,220000,45.0,251.0,1,left,MISS D. Russell 25' 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,25.5,Missed,,,,,,,,,,,,,,,
23,PT10M38.00S,2021-12-18T03:17:12.5Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612750,0,2,2021-12-18T03:17:37Z,230000,,,0,,K. Towns REBOUND (Off:1 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,22.0,,,,,2.0,1.0,1.0,,,,,,,
24,PT10M37.00S,2021-12-18T03:17:14.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626157,5.590000152587891,50.0,1610612750,2,2,2021-12-18T03:22:25Z,240000,0.0,0.0,1,left,K. Towns putback Layup (2 PTS),[1626157],1610612750.0,MIN,putback,,,Towns,K. Towns,,,,,,,,0.0,Made,,2.0,,,,,,,,,,,,,
25,PT10M37.00S,2021-12-18T03:17:19.0Z,1,REGULAR,foul,personal,['1freethrow'],203145,,,1610612750,2,2,2021-12-18T03:17:55Z,250000,,,0,,K. Bazemore shooting personal FOUL (1 PF) (Towns 1 FT),"[203145, 1626157]",1610612747.0,LAL,shooting,,,Bazemore,K. Bazemore,,,,,,,,,,,,,,,,,,101284.0,1.0,0.0,Towns,1626157.0,,
