actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-01-17T01:10:46.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-17T01:10:46Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-01-17T01:10:47.5Z,1,REGULAR,jumpball,recovered,[],1629020,,,1610612750,0,0,2022-01-17T01:10:47Z,40000,,,0,,Jump Ball K. Towns vs. K. Looney: Tip to J. Vanderbilt,"[1629020, 1626157, 1626172]",1610612750.0,MIN,startperiod,J. Vanderbilt,1629020.0,Vanderbilt,J. Vanderbilt,Towns,1626157.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-01-17T01:11:01.3Z,1,REGULAR,3pt,Jump Shot,[],1630162,31.09395532194481,59.55882352941176,1610612750,0,0,2022-01-17T01:11:07Z,70000,-48.0,240.0,1,left,MISS A. Edwards 24' step back 3PT,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,24.45,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-01-17T01:11:05.3Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,0,2022-01-17T01:11:07Z,80000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2022-01-17T01:11:20.9Z,1,REGULAR,2pt,Jump Shot,[],202691,91.67214191852825,29.166666666666668,1610612744,0,2,2022-01-17T01:11:30Z,90000,-104.0,26.0,1,right,K. Thompson 10' turnaround fadeaway bank Jump Shot (2 PTS),[202691],1610612744.0,GSW,turnaround fadeaway bank,,,Thompson,K. Thompson,,,,,10.73,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M10.00S,2022-01-17T01:11:34.4Z,1,REGULAR,3pt,Jump Shot,[],201976,8.492115637319317,5.147058823529411,1610612750,0,2,2022-01-17T01:11:38Z,100000,224.0,27.0,1,left,MISS P. Beverley 3PT,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,22.6,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M08.00S,2022-01-17T01:11:36.4Z,1,REGULAR,rebound,defensive,[],203490,,,1610612744,0,2,2022-01-17T01:12:05Z,110000,,,0,,O. Porter Jr. REBOUND (Off:0 Def:1),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
12,PT11M03.00S,2022-01-17T01:11:42.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203952,74.58935611038108,12.990196078431374,1610612744,0,2,2022-01-17T01:11:50Z,120000,-185.0,186.0,1,right,MISS A. Wiggins 26' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,26.26,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M59.00S,2022-01-17T01:11:46.4Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,0,2,2022-01-17T01:11:50Z,130000,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT10M54.00S,2022-01-17T01:11:51.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629020,5.863994743758213,49.50980392156863,1610612750,2,2,2022-01-17T01:11:56Z,140000,2.0,3.0,1,left,J. Vanderbilt cutting DUNK (2 PTS) (D. Russell 1 AST),"[1629020, 1626156]",1610612750.0,MIN,cutting,,,Vanderbilt,J. Vanderbilt,,,,,0.36,Made,,,,,2.0,D. Russell,1626156.0,1.0,,,,,,,,,,,
16,PT10M37.00S,2022-01-17T01:12:07.2Z,1,REGULAR,3pt,Jump Shot,[],203490,94.03745072273325,94.85294117647058,1610612744,2,2,2022-01-17T01:12:12Z,160000,224.0,4.0,1,right,MISS O. Porter Jr. 3PT,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,22.43,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M35.00S,2022-01-17T01:12:09.2Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,2,2,2022-01-17T01:12:12Z,170000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
18,PT10M29.00S,2022-01-17T01:12:16.0Z,1,REGULAR,3pt,Jump Shot,[],1626157,31.61957950065703,38.72549019607843,1610612750,2,2,2022-01-17T01:12:20Z,180000,56.0,245.0,1,left,MISS K. Towns 25' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,25.11,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M25.00S,2022-01-17T01:12:20.0Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612744,2,2,2022-01-17T01:12:20Z,190000,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
20,PT10M12.00S,2022-01-17T01:12:32.7Z,1,REGULAR,2pt,Jump Shot,[],202691,94.69448094612353,74.01960784313727,1610612744,2,2,2022-01-17T01:12:36Z,200000,120.0,-3.0,1,right,MISS K. Thompson 12' turnaround fadeaway Shot,[202691],1610612744.0,GSW,turnaround fadeaway,,,Thompson,K. Thompson,,,,,12.01,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M09.00S,2022-01-17T01:12:35.7Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,2,2,2022-01-17T01:12:36Z,210000,,,0,,D. Russell REBOUND (Off:0 Def:2),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
22,PT09M59.00S,2022-01-17T01:12:45.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,11.514454664914586,51.9607843137255,1610612750,2,2,2022-01-17T01:12:51Z,220000,-10.0,56.0,1,left,MISS K. Towns turnaround Hook,[1626157],1610612750.0,MIN,turnaround,,,Towns,K. Towns,,,,,5.66,Missed,,,,,,,,,,,,,,,,,,,
23,PT09M57.00S,2022-01-17T01:12:47.9Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,2,2,2022-01-17T01:12:51Z,230000,,,0,,K. Looney REBOUND (Off:0 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,22.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
24,PT09M52.00S,2022-01-17T01:12:52.8Z,1,REGULAR,turnover,bad pass,[],1629673,,,1610612744,2,2,2022-01-17T01:12:59Z,240000,,,0,,J. Poole bad pass TURNOVER (1 TO),"[1629673, 1626156]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,1.0,Russell,1626156.0,,,,,,,,
25,PT09M52.00S,2022-01-17T01:12:52.8Z,1,REGULAR,steal,,[],1626156,,,1610612750,2,2,2022-01-17T01:12:54Z,250000,,,0,,D. Russell STEAL (1 STL),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M48.00S,2022-01-17T01:12:56.7Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1626156,23.078186596583443,11.76470588235294,1610612750,2,2,2022-01-17T01:20:06Z,260000,191.0,164.0,1,left,MISS D. Russell 25' running pullup 3PT,[1626156],1610612750.0,MIN,running pullup,,,Russell,D. Russell,,,,,25.22,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M45.00S,2022-01-17T01:12:59.7Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,2,2,2022-01-17T01:13:06Z,270000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
28,PT09M36.00S,2022-01-17T01:13:09.3Z,1,REGULAR,3pt,Jump Shot,[],202691,74.58935611038108,83.08823529411765,1610612744,2,2,2022-01-17T01:13:15Z,280000,165.0,186.0,1,right,MISS K. Thompson 24' 3PT - blocked,"[202691, 1630162]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,24.92,Missed,,,,,,,,,,,,Edwards,1630162.0,,,,,,
29,PT09M36.00S,2022-01-17T01:13:09.3Z,1,REGULAR,block,,[],1630162,,,1610612744,2,2,2022-01-17T01:13:12Z,290000,,,0,,A. Edwards BLOCK (1 BLK),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M32.00S,2022-01-17T01:13:13.3Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,2,2,2022-01-17T01:13:15Z,300000,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
31,PT09M27.00S,2022-01-17T01:13:17.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629020,6.521024967148489,48.77450980392157,1610612750,4,2,2022-01-17T01:13:24Z,310000,6.0,9.0,1,left,J. Vanderbilt alley-oop DUNK (4 PTS) (P. Beverley 1 AST),"[1629020, 201976]",1610612750.0,MIN,alley-oop,,,Vanderbilt,J. Vanderbilt,,,,,1.07,Made,,,,,4.0,P. Beverley,201976.0,1.0,,,,,,,,,,,
