actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
2,PT12M00.00S,2022-03-19T21:11:04.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-19T21:11:04Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-03-19T21:11:06.2Z,1,REGULAR,jumpball,recovered,[],1626171,,,1610612749,0,0,2022-03-19T21:11:06Z,40000,,,0,,Jump Ball B. Lopez vs. K. Towns: Tip to B. Portis,"[1626171, 201572, 1626157]",1610612749.0,MIL,startperiod,B. Portis,1626171.0,Portis,B. Portis,Lopez,201572.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-03-19T21:11:26.3Z,1,REGULAR,foul,personal,[],1630162,,,1610612749,0,0,2022-03-19T21:11:44Z,70000,,,0,,A. Edwards personal FOUL (1 PF),"[1630162, 203114]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,201639.0,1.0,0.0,Middleton,203114.0,,,,,,,,,,,,,,,,
9,PT11M33.00S,2022-03-19T21:11:49.7Z,1,REGULAR,3pt,Jump Shot,[],201572,28.86005256241787,21.813725490196077,1610612749,0,0,2022-03-19T21:12:04Z,90000,141.0,219.0,1,left,MISS B. Lopez 26' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,26.02,Missed,,,,,,,,,,,,,,
10,PT11M31.00S,2022-03-19T21:11:51.7Z,1,REGULAR,rebound,offensive,[],1626171,,,1610612749,0,0,2022-03-19T21:12:04Z,100000,,,0,,B. Portis REBOUND (Off:1 Def:0),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,
11,PT11M28.00S,2022-03-19T21:11:54.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1626171,11.908672798948752,47.05882352941176,1610612749,0,0,2022-03-19T21:12:09Z,110000,15.0,59.0,1,left,MISS B. Portis 6' Hook,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,6.12,Missed,,,,,,,,,,,,,,
12,PT11M26.00S,2022-03-19T21:11:56.4Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,0,0,2022-03-19T21:12:09Z,120000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M11.00S,2022-03-19T21:12:11.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,91.06438896189225,62.94424019607843,1610612750,0,0,2022-03-19T21:13:10Z,130000,65.0,31.0,1,right,MISS K. Towns 7' driving floating bank Shot,[1626157],1610612750.0,MIN,driving floating bank,,,Towns,K. Towns,,,,,,,,,,7.2,Missed,,,,,,,,,,,,,,
14,PT11M09.00S,2022-03-19T21:12:13.5Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612749,0,0,2022-03-19T21:12:17Z,140000,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT11M00.00S,2022-03-19T21:12:22.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626171,8.623521681997373,46.32352941176471,1610612749,0,0,2022-03-19T21:12:36Z,150000,18.0,29.0,1,left,MISS B. Portis Layup - blocked,"[1626171, 201976]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,3.4,Missed,,,,,Beverley,201976.0,,,,,,,,
16,PT11M00.00S,2022-03-19T21:12:22.6Z,1,REGULAR,block,,[],201976,,,1610612749,0,0,2022-03-19T21:12:26Z,160000,,,0,,P. Beverley BLOCK (1 BLK),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M54.00S,2022-03-19T21:12:28.6Z,1,REGULAR,rebound,offensive,[],1626171,,,1610612749,0,0,2022-03-19T21:12:36Z,170000,,,0,,B. Portis REBOUND (Off:2 Def:0),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,15.0,2.0,0.0,2.0,,,,,,,,,,
18,PT10M54.00S,2022-03-19T21:12:28.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626171,7.966491458607096,48.03921568627451,1610612749,0,2,2022-03-19T21:12:44Z,180000,10.0,22.0,1,left,B. Portis putback Layup (2 PTS),[1626171],1610612749.0,MIL,putback,,,Portis,B. Portis,,,,,,,,,,2.44,Made,,,,,,,2.0,,,,,,,
19,PT10M47.00S,2022-03-19T21:12:36.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630162,92.19776609724047,48.03921568627451,1610612750,0,2,2022-03-19T21:12:57Z,190000,-10.0,21.0,1,right,MISS A. Edwards driving DUNK - blocked,"[1630162, 1626171]",1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,,,,,,2.3,Missed,,,,,Portis,1626171.0,,,,,,,,
20,PT10M47.00S,2022-03-19T21:12:36.6Z,1,REGULAR,block,,[],1626171,,,1610612750,0,2,2022-03-19T21:20:12Z,200000,,,0,,B. Portis BLOCK (1 BLK),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M45.00S,2022-03-19T21:12:38.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,0,2,2022-03-19T21:12:57Z,210000,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,
22,PT10M32.00S,2022-03-19T21:12:56.4Z,1,REGULAR,2pt,Jump Shot,[],201950,8.40998685939553,91.3985906862745,1610612749,0,2,2022-03-19T21:16:28Z,220000,-207.0,27.0,1,left,MISS J. Holiday 20' Jump Shot,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,20.87,Missed,,,,,,,,,,,,,,
