actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-21T01:10:45.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-21T01:10:45Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-11-21T01:10:48.8Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2021-11-21T01:10:48Z,40000,,,0,,Jump Ball S. Adams vs. K. Towns: Tip to J. Morant,"[1629630, 203500, 1626157]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-11-21T01:11:02.5Z,1,REGULAR,3pt,Jump Shot,[],203937,20.844283837056505,9.558823529411764,1610612763,0,0,2021-11-21T01:11:09Z,70000,202.0,143.0,1,left,MISS K. Anderson 24' 3PT,[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,24.79,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2021-11-21T01:11:05.5Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,0,0,2021-11-21T01:11:09Z,80000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2021-11-21T01:11:18.8Z,1,REGULAR,3pt,Jump Shot,[],1626156,69.07030223390277,64.2156862745098,1610612750,0,0,2021-11-21T01:13:27Z,90000,71.0,238.0,1,right,MISS D. Russell 24' 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,24.86,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2021-11-21T01:11:19.8Z,1,REGULAR,rebound,offensive,[],201976,,,1610612750,0,0,2021-11-21T01:13:27Z,100000,,,0,,P. Beverley REBOUND (Off:1 Def:0),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
11,PT11M25.00S,2021-11-21T01:11:26.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201976,94.03745072273325,50.245098039215684,1610612750,2,0,2021-11-21T01:12:17Z,110000,1.0,4.0,1,right,P. Beverley putback Layup (2 PTS),[201976],1610612750.0,MIN,putback,,,Beverley,P. Beverley,,,,,0.37,Made,,,,,2.0,,,,,,,,,,,,,,
12,PT11M11.00S,2021-11-21T01:11:33.7Z,1,REGULAR,3pt,Jump Shot,[],1628991,30.831143232588698,66.66666666666666,1610612763,2,0,2021-11-21T01:11:38Z,120000,-83.0,237.0,1,left,MISS J. Jackson Jr. 25' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,25.15,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M08.00S,2021-11-21T01:11:36.7Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,2,0,2021-11-21T01:11:38Z,130000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT11M00.00S,2021-11-21T01:11:44.7Z,1,REGULAR,3pt,Jump Shot,[],1626156,77.7431011826544,10.53921568627451,1610612750,5,0,2021-11-21T01:11:52Z,140000,-197.0,157.0,1,right,D. Russell 25' 3PT  (3 PTS) (A. Edwards 1 AST),"[1626156, 1630162]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,25.2,Made,,,,,3.0,A. Edwards,1630162.0,1.0,,,,,,,,,,,
