actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2021-10-21T00:12:57.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-21T00:12:57Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-10-21T00:13:00.1Z,1,REGULAR,jumpball,recovered,[],1628464,,,1610612745,0,0,2021-10-21T00:13:00Z,40000,,,0,,Jump Ball C. Wood vs. K. Towns: Tip to D. Theis,"[1628464, 1626174, 1626157]",1610612745.0,HOU,startperiod,D. Theis,1628464.0,Theis,D. Theis,Wood,1626174.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2021-10-21T00:13:17.5Z,1,REGULAR,turnover,bad pass,[],1629645,,,1610612745,0,0,2021-10-21T00:13:26Z,70000,,,0,,K. Porter Jr. bad pass TURNOVER (1 TO),"[1629645, 1629006]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,1.0,Okogie,1629006.0,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2021-10-21T00:13:17.5Z,1,REGULAR,steal,,[],1629006,,,1610612750,0,0,2021-10-21T00:13:20Z,80000,,,0,,J. Okogie STEAL (1 STL),[1629006],1610612750.0,MIN,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M27.00S,2021-10-21T00:13:29.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626156,21.107095926412615,8.57843137254902,1610612750,0,0,2021-10-21T00:13:36Z,90000,207.0,146.0,1,left,MISS D. Russell 25' 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,25.33,Missed,,,,,,,,,,,,,,,
10,PT11M24.00S,2021-10-21T00:13:32.1Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,0,0,2021-10-21T00:13:36Z,100000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M16.00S,2021-10-21T00:13:40.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626174,84.44480946123521,58.82352941176471,1610612745,0,0,2021-10-21T00:13:49Z,110000,44.0,94.0,1,right,MISS C. Wood 10' driving floating Shot,[1626174],1610612745.0,HOU,driving floating,,,Wood,C. Wood,,,,,,,,10.36,Missed,,,,,,,,,,,,,,,
12,PT11M12.00S,2021-10-21T00:13:44.2Z,1,REGULAR,rebound,defensive,[],1629006,,,1610612750,0,0,2021-10-21T00:13:49Z,120000,,,0,,J. Okogie REBOUND (Off:0 Def:1),[1629006],1610612750.0,MIN,,,,Okogie,J. Okogie,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M03.00S,2021-10-21T00:13:52.5Z,1,REGULAR,3pt,Jump Shot,[],1630162,30.305519053876477,70.09803921568627,1610612750,0,0,2021-10-21T00:14:09Z,130000,-100.0,232.0,1,left,MISS A. Edwards 25' running pullup 3PT,[1630162],1610612750.0,MIN,running pullup,,,Edwards,A. Edwards,,,,,,,,25.32,Missed,,,,,,,,,,,,,,,
14,PT11M02.00S,2021-10-21T00:13:55.2Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612750,0,0,2021-10-21T00:13:55Z,140000,,,0,,K. Towns REBOUND (Off:1 Def:0),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,
