actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-06T00:10:33.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-06T00:10:33Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-06T00:10:35.3Z,1,REGULAR,jumpball,recovered,[],201976,,,1610612750,0,0,2021-11-06T00:10:35Z,40000,,,0,,Jump Ball K. Towns vs. I. Zubac: Tip to P. Beverley,"[201976, 1626157, 1627826]",1610612750.0,MIN,startperiod,P. Beverley,201976.0,Beverley,P. Beverley,Towns,1626157.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-11-06T00:10:46.2Z,1,REGULAR,turnover,bad pass,[],1630162,,,1610612750,0,0,2021-11-06T00:10:51Z,70000,,,0,,A. Edwards bad pass TURNOVER (1 TO),"[1630162, 202339]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,1.0,Bledsoe,202339.0,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2021-11-06T00:10:46.2Z,1,REGULAR,steal,,[],202339,,,1610612746,0,0,2021-11-06T00:10:48Z,80000,,,0,,E. Bledsoe STEAL (1 STL),[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M44.00S,2021-11-06T00:11:08.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202339,87.56570302233902,47.30392156862745,1610612746,0,2,2021-11-06T00:18:34Z,100000,-13.0,64.0,1,right,E. Bledsoe 6' running Layup (2 PTS),[202339],1610612746.0,LAC,running,,,Bledsoe,E. Bledsoe,,,,,,,,6.58,Made,2.0,,,,,,,,,,,,,,
11,PT11M44.00S,2021-11-06T00:11:17.2Z,1,REGULAR,foul,personal,['1freethrow'],1630162,,,1610612746,0,2,2021-11-06T00:11:35Z,110000,,,0,,A. Edwards shooting personal FOUL (1 PF) (Bledsoe 1 FT),"[1630162, 202339]",1610612750.0,MIN,shooting,,,Edwards,A. Edwards,,,,,,,,,,,202056.0,1.0,0.0,Bledsoe,202339.0,,,,,,,,,
13,PT11M44.00S,2021-11-06T00:11:36.9Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",202339,,,1610612746,0,3,2021-11-06T00:20:21Z,130000,,,0,,E. Bledsoe Free Throw 1 of 1 (3 PTS),[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
14,PT11M27.00S,2021-11-06T00:11:38.0Z,1,REGULAR,3pt,Jump Shot,[],1627752,23.570959264126145,88.72549019607843,1610612750,0,3,2021-11-06T00:11:46Z,140000,-194.0,169.0,1,left,MISS T. Prince 25' 3PT,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,25.71,Missed,,,,,,,,,,,,,,,
15,PT11M25.00S,2021-11-06T00:11:40.1Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,3,2021-11-06T00:11:40Z,150000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,
16,PT11M19.00S,2021-11-06T00:11:46.5Z,1,REGULAR,2pt,Jump Shot,[],202331,71.13994743758212,44.607843137254896,1610612746,0,3,2021-11-06T00:12:15Z,160000,-27.0,219.0,1,right,MISS P. George 22' Jump Shot,[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,22.05,Missed,,,,,,,,,,,,,,,
17,PT11M19.00S,2021-11-06T00:11:46.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,0,3,2021-11-06T00:12:15Z,170000,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,
18,PT11M16.00S,2021-11-06T00:11:53.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,0,3,2021-11-06T00:11:53Z,180000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT11M04.00S,2021-11-06T00:12:09.0Z,1,REGULAR,3pt,Jump Shot,[],1630183,4.77989487516426,95.83333333333333,1610612750,3,3,2021-11-06T00:12:18Z,190000,-229.0,-8.0,1,left,J. McDaniels 3PT  (3 PTS) (T. Prince 1 AST),"[1630183, 1627752]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,22.93,Made,3.0,,,,,,,,,,T. Prince,1627752.0,1.0,,
22,PT10M44.00S,2021-11-06T00:12:30.5Z,1,REGULAR,turnover,discontinued dribble,[],1627826,,,1610612746,3,3,2021-11-06T00:12:40Z,210000,,,0,,I. Zubac discontinued dribble TURNOVER (1 TO),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,1.0,,,,,,,,,,,,,,,,,,,
23,PT10M26.00S,2021-11-06T00:12:55.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201976,12.795663600525614,96.32352941176471,1610612750,6,3,2021-11-06T00:13:02Z,220000,-232.0,68.0,1,left,P. Beverley 24' 3PT  (3 PTS) (J. McDaniels 1 AST),"[201976, 1630183]",1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,24.13,Made,3.0,,,,,,,,,,J. McDaniels,1630183.0,1.0,,
25,PT10M24.00S,2021-11-06T00:13:06.5Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612746,6,3,2021-11-06T00:13:17Z,240000,,,0,,TEAM delay-of-game VIOLATION,[],1610612750.0,MIN,,,,,,,,,,,,,,,,201245.0,,,,,,,,,,,,,
26,PT10M06.00S,2021-11-06T00:13:26.8Z,1,REGULAR,2pt,Jump Shot,[],202339,91.90210249671485,29.411764705882348,1610612746,6,3,2021-11-06T00:13:32Z,250000,-103.0,24.0,1,right,MISS E. Bledsoe 10' Jump Shot,[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,10.56,Missed,,,,,,,,,,,,,,,
27,PT10M03.00S,2021-11-06T00:13:29.8Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612750,6,3,2021-11-06T00:13:32Z,260000,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,
28,PT09M55.00S,2021-11-06T00:13:37.7Z,1,REGULAR,3pt,Jump Shot,[],1630162,31.192509855453352,41.17647058823529,1610612750,6,3,2021-11-06T00:13:43Z,270000,44.0,241.0,1,left,MISS A. Edwards 24' 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,24.47,Missed,,,,,,,,,,,,,,,
29,PT09M51.00S,2021-11-06T00:13:41.7Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,6,3,2021-11-06T00:13:43Z,280000,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,28.0,2.0,2.0,0.0,,,,,
30,PT09M49.00S,2021-11-06T00:13:47.6Z,1,REGULAR,foul,personal,[],1630183,,,1610612746,6,3,2021-11-06T00:13:57Z,290000,,,0,,J. McDaniels personal FOUL (1 PF),"[1630183, 202331]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,201245.0,1.0,0.0,George,202331.0,,,,,,,,,
32,PT09M36.00S,2021-11-06T00:14:22.0Z,1,REGULAR,turnover,out-of-bounds,[],202704,,,1610612746,6,3,2021-11-06T00:14:29Z,310000,,,0,,R. Jackson step out-of-bounds TURNOVER (1 TO),[202704],1610612746.0,LAC,step,,,Jackson,R. Jackson,,,,,1.0,,,,,,201245.0,,,,,,,,,,,,,
33,PT09M29.00S,2021-11-06T00:14:39.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626157,32.90078843626807,48.0392156862745,1610612750,6,3,2021-11-06T00:14:43Z,320000,10.0,257.0,1,left,MISS K. Towns 25' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,25.7,Missed,,,,,,,,,,,,,,,
34,PT09M26.00S,2021-11-06T00:14:42.3Z,1,REGULAR,rebound,offensive,[],1630183,,,1610612750,6,3,2021-11-06T00:14:42Z,330000,,,0,,J. McDaniels REBOUND (Off:1 Def:0),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,33.0,1.0,0.0,1.0,,,,,
35,PT09M25.00S,2021-11-06T00:14:43.8Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1630183,12.795663600525614,30.14705882352942,1610612750,8,3,2021-11-06T00:14:48Z,340000,99.0,68.0,1,left,J. McDaniels 12' pullup Jump Shot (5 PTS),[1630183],1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,,,,12.02,Made,5.0,,,,,,,,,,,,,,
36,PT09M12.00S,2021-11-06T00:14:56.0Z,1,REGULAR,3pt,Jump Shot,[],202331,68.64323258869908,52.205882352941174,1610612746,8,3,2021-11-06T00:15:00Z,350000,11.0,242.0,1,right,MISS P. George 24' 3PT,[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,24.25,Missed,,,,,,,,,,,,,,,
37,PT09M09.00S,2021-11-06T00:14:59.0Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,8,3,2021-11-06T00:15:00Z,360000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,
38,PT08M59.00S,2021-11-06T00:15:09.0Z,1,REGULAR,3pt,Jump Shot,[],1626157,30.27266754270697,24.019607843137265,1610612750,11,3,2021-11-06T00:15:16Z,370000,130.0,232.0,1,left,K. Towns 26' 3PT  (3 PTS) (P. Beverley 1 AST),"[1626157, 201976]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,26.6,Made,3.0,,,,,,,,,,P. Beverley,201976.0,1.0,,
40,PT08M58.00S,2021-11-06T00:15:15.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,11,3,2021-11-06T00:15:15Z,390000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M44.00S,2021-11-06T00:18:29.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,84.01773981603154,50.98039215686275,1610612746,11,3,2021-11-06T00:18:41Z,400000,5.0,98.0,1,right,MISS I. Zubac 9' Layup,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,9.78,Missed,,,,,,,,,,,,,,,
