actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-11-19T01:10:46.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-19T01:10:46Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-19T01:10:49.0Z,1,REGULAR,jumpball,recovered,[],1629020,,,1610612750,0,0,2021-11-19T01:10:49Z,40000,,,0,,Jump Ball K. Towns vs. D. Eubanks: Tip to J. Vanderbilt,"[1629020, 1626157, 1629234]",1610612750.0,MIN,startperiod,J. Vanderbilt,1629020.0,Vanderbilt,J. Vanderbilt,Towns,1626157.0,Eubanks,1629234.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-11-19T01:11:05.6Z,1,REGULAR,3pt,Jump Shot,[],1626156,31.750985545335087,35.78431372549019,1610612750,0,0,2021-11-19T01:11:11Z,70000,71.0,246.0,1,left,MISS D. Russell 25' pullup 3PT,[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,25.61,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2021-11-19T01:11:09.6Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,0,0,2021-11-19T01:11:11Z,80000,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M23.00S,2021-11-19T01:11:22.8Z,1,REGULAR,2pt,Jump Shot,[],1627749,94.30026281208936,20.833333333333336,1610612759,0,0,2021-11-19T01:11:55Z,90000,-146.0,1.0,1,right,MISS D. Murray 14' pullup Shot,[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,14.58,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2021-11-19T01:11:26.8Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,0,0,2021-11-19T01:11:28Z,100000,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M12.00S,2021-11-19T01:11:33.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,6.1268068331143235,50.98039215686274,1610612750,2,0,2021-11-19T01:11:41Z,110000,-5.0,5.0,1,left,A. Edwards driving Layup (2 PTS),[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,0.71,Made,,,,,2.0,,,,,,,,,,,,,,
12,PT10M59.00S,2021-11-19T01:11:46.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,81.15965834428384,49.01960784313725,1610612759,2,0,2021-11-19T01:11:53Z,120000,-5.0,125.0,1,right,MISS D. White 12' floating Shot,[1628401],1610612759.0,SAS,floating,,,White,D. White,,,,,12.47,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M56.00S,2021-11-19T01:11:49.9Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,2,0,2021-11-19T01:11:53Z,130000,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT10M51.00S,2021-11-19T01:11:54.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1626156,8.229303547963205,50.73529411764706,1610612750,2,0,2021-11-19T01:12:15Z,140000,-4.0,25.0,1,left,MISS D. Russell driving finger roll Layup - blocked,"[1626156, 1627749]",1610612750.0,MIN,driving finger roll,,,Russell,D. Russell,,,,,2.52,Missed,,,,,,Murray,1627749.0,,,,,,,,,,,,
