actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-08T01:10:41.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-08T01:10:41Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-03-08T01:10:42.6Z,1,REGULAR,jumpball,recovered,[],1629020,,,1610612750,0,0,2022-03-08T01:10:42Z,40000,,,0,,Jump Ball K. Towns vs. D. Eubanks: Tip to J. Vanderbilt,"[1629020, 1626157, 1629234]",1610612750.0,MIN,startperiod,J. Vanderbilt,1629020.0,Vanderbilt,J. Vanderbilt,Towns,1626157.0,Eubanks,1629234.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2022-03-08T01:10:54.6Z,1,REGULAR,foul,personal,['2freethrow'],1630314,,,1610612750,0,0,2022-03-08T01:11:05Z,70000,,,0,,B. Williams shooting personal FOUL (1 PF) (Beverley 2 FT),"[1630314, 201976]",1610612757.0,POR,shooting,,,Williams,B. Williams,,,,,1628171.0,1.0,0.0,Beverley,201976.0,,,,,,,,,,,,,,,,
9,PT11M48.00S,2022-03-08T01:11:20.3Z,1,REGULAR,freethrow,1 of 2,[],201976,,,1610612750,1,0,2022-03-08T01:11:37Z,90000,,,0,,P. Beverley Free Throw 1 of 2 (1 PTS),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
10,PT11M48.00S,2022-03-08T01:11:20.3Z,1,REGULAR,freethrow,2 of 2,[],201976,,,1610612750,1,0,2022-03-08T01:11:37Z,100000,,,0,,MISS P. Beverley Free Throw 2 of 2,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,Missed,,,,,,,,,,,,,,,
11,PT11M46.00S,2022-03-08T01:11:22.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,1,0,2022-03-08T01:11:37Z,110000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
12,PT11M46.00S,2022-03-08T01:11:39.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,1,0,2022-03-08T01:11:39Z,120000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M41.00S,2022-03-08T01:11:53.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1626157,6.783837056504599,85.5392156862745,1610612750,1,0,2022-03-08T01:12:37Z,130000,-178.0,11.0,1,left,MISS K. Towns 17' Jump Shot,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,Missed,,,17.81,,,,,,,,,,,,
14,PT11M38.00S,2022-03-08T01:11:56.6Z,1,REGULAR,rebound,defensive,[],1630314,,,1610612757,1,0,2022-03-08T01:12:01Z,140000,,,0,,B. Williams REBOUND (Off:0 Def:1),[1630314],1610612757.0,POR,,,,Williams,B. Williams,,,,,,,,,,,,13.0,,1.0,1.0,0.0,,,,,,,,,
15,PT11M26.00S,2022-03-08T01:12:11.6Z,1,REGULAR,foul,personal,[],1630183,,,1610612757,1,0,2022-03-08T01:12:17Z,150000,,,0,,J. McDaniels personal FOUL (1 PF),"[1630183, 1628404]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,2002.0,1.0,0.0,Hart,1628404.0,,,,,,,,,,,,,,,,
