actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
16,PT10M36.00S,2021-11-30T01:12:08.4Z,1,REGULAR,3pt,Jump Shot,[],1626156,23.078186596583443,12.009803921568627,1610612750,3,3,2021-11-30T01:12:13Z,160000,190.0,164.0,1,left,D. Russell 25' 3PT  (3 PTS) (J. Okogie 1 AST),"[1626156, 1629006]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,25.13,Made,,,,,,,,,,,,,3.0,J. Okogie,1629006.0,1.0,,,
18,PT10M09.00S,2021-11-30T01:12:36.1Z,1,REGULAR,2pt,Jump Shot,[],1627763,93.11760840998686,73.77450980392157,1610612754,3,3,2021-11-30T01:12:41Z,180000,119.0,12.0,1,right,MISS M. Brogdon 11' floating Shot,[1627763],1610612754.0,IND,floating,,,Brogdon,M. Brogdon,,,,,11.95,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M06.00S,2021-11-30T01:12:39.6Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,3,3,2021-11-30T01:12:39Z,190000,,,0,,D. Russell REBOUND (Off:0 Def:2),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,18.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
20,PT09M50.00S,2021-11-30T01:12:56.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,3,3,2021-11-30T01:12:56Z,200000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT09M45.00S,2021-11-30T01:13:12.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,13.091327201051248,59.80392156862745,1610612750,3,3,2021-11-30T01:13:19Z,210000,-49.0,71.0,1,left,MISS D. Russell 8' driving floating bank Shot,[1626156],1610612750.0,MIN,driving floating bank,,,Russell,D. Russell,,,,,8.59,Missed,,,,,,,,,,,,,,,,,,,
22,PT09M43.00S,2021-11-30T01:13:14.5Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612750,3,3,2021-11-30T01:13:19Z,220000,,,0,,K. Towns REBOUND (Off:1 Def:0),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,21.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
23,PT09M42.00S,2021-11-30T01:13:16.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1626157,10.5946123521682,55.88235294117647,1610612750,5,3,2021-11-30T01:13:22Z,230000,-29.0,47.0,1,left,K. Towns Hook (2 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,5.55,Made,,,,,,,,,,,,,2.0,,,,,,
24,PT09M31.00S,2021-11-30T01:13:27.1Z,1,REGULAR,3pt,Jump Shot,[],203200,68.01905387647832,52.450980392156865,1610612754,5,3,2021-11-30T01:13:58Z,240000,12.0,248.0,1,right,MISS J. Holiday 24' pullup 3PT,[203200],1610612754.0,IND,pullup,,,Holiday,J. Holiday,,,,,24.84,Missed,,,,,,,,,,,,,,,,,,,
25,PT09M28.00S,2021-11-30T01:13:30.1Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,5,3,2021-11-30T01:13:33Z,250000,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
26,PT09M23.00S,2021-11-30T01:13:37.7Z,1,REGULAR,foul,personal,['2freethrow'],1627747,,,1610612750,5,3,2021-11-30T01:13:47Z,260000,,,0,,C. LeVert shooting personal FOUL (1 PF) (Edwards 2 FT),"[1627747, 1630162]",1610612754.0,IND,shooting,,,LeVert,C. LeVert,,,,,,,,,,,202037.0,1.0,0.0,Edwards,1630162.0,,,,,,,,,,
28,PT09M23.00S,2021-11-30T01:14:06.3Z,1,REGULAR,freethrow,1 of 2,[],1630162,,,1610612750,6,3,2021-11-30T01:14:06Z,280000,,,0,,A. Edwards Free Throw 1 of 2 (1 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,Made,,,,,,,,,,,,,1.0,,,,,,
29,PT09M23.00S,2021-11-30T01:14:18.8Z,1,REGULAR,freethrow,2 of 2,[],1630162,,,1610612750,7,3,2021-11-30T01:14:18Z,290000,,,0,,A. Edwards Free Throw 2 of 2 (2 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,Made,,,,,,,,,,,,,2.0,,,,,,
30,PT09M10.00S,2021-11-30T01:14:32.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,92.46057818659659,50.73529411764706,1610612754,7,5,2021-11-30T01:14:43Z,300000,4.0,18.0,1,right,D. Sabonis cutting Layup (2 PTS) (T. McConnell 1 AST),"[1627734, 204456]",1610612754.0,IND,cutting,,,Sabonis,D. Sabonis,,,,,1.88,Made,,,,,,,,,,,,,2.0,T. McConnell,204456.0,1.0,,,
32,PT08M49.00S,2021-11-30T01:14:53.7Z,1,REGULAR,3pt,Jump Shot,[],1630162,6.915243101182654,4.166666666666666,1610612750,7,5,2021-11-30T01:15:00Z,320000,229.0,13.0,1,left,MISS A. Edwards 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,22.95,Missed,,,,,,,,,,,,,,,,,,,
33,PT08M45.00S,2021-11-30T01:14:57.7Z,1,REGULAR,rebound,offensive,[],1629006,,,1610612750,7,5,2021-11-30T01:15:00Z,330000,,,0,,J. Okogie REBOUND (Off:1 Def:0),[1629006],1610612750.0,MIN,,,,Okogie,J. Okogie,,,,,,,32.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
34,PT08M41.00S,2021-11-30T01:15:01.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630162,5.863994743758213,50.0,1610612750,9,5,2021-11-30T01:15:06Z,340000,0.0,3.0,1,left,A. Edwards driving Layup (4 PTS) (J. Okogie 2 AST),"[1630162, 1629006]",1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,0.26,Made,,,,,,,,,,,,,4.0,J. Okogie,1629006.0,2.0,,,
36,PT08M29.00S,2021-11-30T01:15:13.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627763,94.03745072273325,51.470588235294116,1610612754,9,5,2021-11-30T01:15:22Z,360000,7.0,4.0,1,right,MISS M. Brogdon driving Layup - blocked,"[1627763, 1627752]",1610612754.0,IND,driving,,,Brogdon,M. Brogdon,,,,,0.82,Missed,,,,,,,,,,,,,,,,,Prince,1627752.0,
37,PT08M29.00S,2021-11-30T01:15:13.6Z,1,REGULAR,block,,[],1627752,,,1610612754,9,5,2021-11-30T01:15:16Z,370000,,,0,,T. Prince BLOCK (1 BLK),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M27.00S,2021-11-30T01:15:15.6Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612750,9,5,2021-11-30T01:15:22Z,380000,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
39,PT08M24.00S,2021-11-30T01:15:19.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626156,28.203022339027594,76.22549019607843,1610612750,9,5,2021-11-30T01:16:35Z,390000,-131.0,213.0,1,left,MISS D. Russell 24' running pullup 3PT,[1626156],1610612750.0,MIN,running pullup,,,Russell,D. Russell,,,,,24.98,Missed,,,,,,,,,,,,,,,,,,,
40,PT08M22.00S,2021-11-30T01:15:21.1Z,1,REGULAR,rebound,offensive,[],1630162,,,1610612750,9,5,2021-11-30T01:15:21Z,400000,,,0,,A. Edwards REBOUND (Off:1 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,39.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
41,PT08M20.00S,2021-11-30T01:15:23.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627752,5.338370565045992,95.34313725490196,1610612750,9,5,2021-11-30T01:15:38Z,410000,-227.0,-2.0,1,left,MISS T. Prince 3PT,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,22.67,Missed,,,,,,,,,,,,,,,,,,,
42,PT08M17.00S,2021-11-30T01:15:26.2Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,9,5,2021-11-30T01:15:38Z,420000,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
43,PT08M08.00S,2021-11-30T01:15:34.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,94.03745072273325,50.245098039215684,1610612754,9,7,2021-11-30T01:15:53Z,430000,1.0,4.0,1,right,C. LeVert driving Layup (2 PTS) (D. Sabonis 1 AST),"[1627747, 1627734]",1610612754.0,IND,driving,,,LeVert,C. LeVert,,,,,0.37,Made,,,,,,,,,,,,,2.0,D. Sabonis,1627734.0,1.0,,,
45,PT07M48.00S,2021-11-30T01:15:54.7Z,1,REGULAR,3pt,Jump Shot,[],1627752,25.312089356110377,80.88235294117648,1610612750,9,7,2021-11-30T01:16:00Z,450000,-154.0,185.0,1,left,MISS T. Prince 24' 3PT,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,24.13,Missed,,,,,,,,,,,,,,,,,,,
46,PT07M45.00S,2021-11-30T01:15:57.7Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612750,9,7,2021-11-30T01:16:00Z,460000,,,0,,K. Towns REBOUND (Off:2 Def:0),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,45.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
47,PT07M43.00S,2021-11-30T01:16:00.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629006,5.601182654402102,49.50980392156863,1610612750,11,7,2021-11-30T01:16:07Z,470000,2.0,0.0,1,left,J. Okogie cutting DUNK (2 PTS) (K. Towns 1 AST),"[1629006, 1626157]",1610612750.0,MIN,cutting,,,Okogie,J. Okogie,,,,,0.25,Made,,,,,,,,,,,,,2.0,K. Towns,1626157.0,1.0,,,
49,PT07M23.00S,2021-11-30T01:16:19.8Z,1,REGULAR,3pt,Jump Shot,[],1627747,94.56307490144546,95.83333333333334,1610612754,11,7,2021-11-30T01:16:25Z,490000,229.0,-1.0,1,right,MISS C. LeVert step back 3PT,[1627747],1610612754.0,IND,step back,,,LeVert,C. LeVert,,,,,22.92,Missed,,,,,,,,,,,,,,,,,,,
50,PT07M20.00S,2021-11-30T01:16:22.8Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,11,7,2021-11-30T01:16:25Z,500000,,,0,,A. Edwards REBOUND (Off:1 Def:2),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,49.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
51,PT07M09.00S,2021-11-30T01:16:33.9Z,1,REGULAR,turnover,bad pass,[],1626157,,,1610612750,11,7,2021-11-30T01:16:40Z,510000,,,0,,K. Towns bad pass TURNOVER (1 TO),"[1626157, 204456]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,1.0,McConnell,204456.0,,,,,,,
52,PT07M09.00S,2021-11-30T01:16:33.9Z,1,REGULAR,steal,,[],204456,,,1610612754,11,7,2021-11-30T01:16:35Z,520000,,,0,,T. McConnell STEAL (1 STL),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M03.00S,2021-11-30T01:16:40.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627763,89.56964520367937,96.07843137254902,1610612754,11,7,2021-11-30T01:16:46Z,530000,230.0,46.0,1,right,MISS M. Brogdon 3PT,[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,23.48,Missed,,,,,,,,,,,,,,,,,,,
54,PT07M02.00S,2021-11-30T01:16:41.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,11,7,2021-11-30T01:16:46Z,540000,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,
55,PT07M02.00S,2021-11-30T01:16:46.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,11,7,2021-11-30T01:16:46Z,550000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M02.00S,2021-11-30T01:16:53.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,11,7,2021-11-30T01:16:53Z,560000,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M39.00S,2021-11-30T01:20:11.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627752,6.652431011826544,51.470588235294116,1610612750,11,7,2021-11-30T01:20:18Z,570000,-7.0,10.0,1,left,MISS T. Prince driving finger roll Layup,[1627752],1610612750.0,MIN,driving finger roll,,,Prince,T. Prince,,,,,1.24,Missed,,,,,,,,,,,,,,,,,,,
58,PT06M37.00S,2021-11-30T01:20:13.8Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,11,7,2021-11-30T01:20:18Z,580000,,,0,,D. Sabonis REBOUND (Off:0 Def:3),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,57.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
59,PT06M27.00S,2021-11-30T01:20:23.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204456,93.77463863337714,49.50980392156863,1610612754,11,9,2021-11-30T01:20:28Z,590000,-2.0,6.0,1,right,T. McConnell cutting Layup (2 PTS) (D. Sabonis 2 AST),"[204456, 1627734]",1610612754.0,IND,cutting,,,McConnell,T. McConnell,,,,,0.65,Made,,,,,,,,,,,,,2.0,D. Sabonis,1627734.0,2.0,,,
61,PT06M09.00S,2021-11-30T01:20:41.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,6.652431011826544,49.26470588235294,1610612750,13,9,2021-11-30T01:20:46Z,610000,4.0,10.0,1,left,A. Edwards driving Layup (6 PTS) (K. Towns 2 AST),"[1630162, 1626157]",1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,1.07,Made,,,,,,,,,,,,,6.0,K. Towns,1626157.0,2.0,,,
62,PT05M59.00S,2021-11-30T01:20:51.3Z,1,REGULAR,3pt,Jump Shot,[],203200,94.03745072273325,95.58823529411765,1610612754,13,12,2021-11-30T01:20:56Z,620000,228.0,4.0,1,right,J. Holiday 3PT  (3 PTS) (M. Brogdon 1 AST),"[203200, 1627763]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,22.79,Made,,,,,,,,,,,,,3.0,M. Brogdon,1627763.0,1.0,,,
64,PT05M48.00S,2021-11-30T01:21:02.0Z,1,REGULAR,3pt,Jump Shot,[],1626157,32.14520367936925,57.59803921568627,1610612750,13,12,2021-11-30T01:21:06Z,640000,-38.0,250.0,1,left,MISS K. Towns 25' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,25.26,Missed,,,,,,,,,,,,,,,,,,,
65,PT05M45.00S,2021-11-30T01:21:05.0Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,13,12,2021-11-30T01:21:06Z,650000,,,0,,D. Sabonis REBOUND (Off:0 Def:4),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,64.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
66,PT05M32.00S,2021-11-30T01:21:18.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,93.77463863337714,49.50980392156863,1610612754,13,14,2021-11-30T01:21:23Z,660000,-2.0,6.0,1,right,C. LeVert driving Layup (4 PTS),[1627747],1610612754.0,IND,driving,,,LeVert,C. LeVert,,,,,0.65,Made,,,,,,,,,,,,,4.0,,,,,,
68,PT05M14.00S,2021-11-30T01:21:40.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,13,14,2021-11-30T01:21:40Z,680000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M14.00S,2021-11-30T01:21:40.9Z,1,REGULAR,substitution,out,[],1626156,,,1610612750,13,14,2021-11-30T01:21:50Z,690000,,,0,,SUB out: D. Russell,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M14.00S,2021-11-30T01:21:40.9Z,1,REGULAR,substitution,out,[],1627752,,,1610612750,13,14,2021-11-30T01:21:50Z,700000,,,0,,SUB out: T. Prince,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M14.00S,2021-11-30T01:21:40.9Z,1,REGULAR,substitution,out,[],204456,,,1610612750,13,14,2021-11-30T01:21:50Z,710000,,,0,,SUB out: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M14.00S,2021-11-30T01:21:40.9Z,1,REGULAR,substitution,in,[],1627736,,,1610612750,13,14,2021-11-30T01:21:50Z,720000,,,0,,SUB in: M. Beasley,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M14.00S,2021-11-30T01:21:40.9Z,1,REGULAR,substitution,in,[],1630195,,,1610612750,13,14,2021-11-30T01:21:50Z,730000,,,0,,SUB in: L. Bolmaro,[1630195],1610612750.0,MIN,,,,Bolmaro,L. Bolmaro,,,,,,,,,,,,,,,,,,,,,,,,,
