actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-11-16T03:11:26.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-16T03:11:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-16T03:11:29.4Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2022-11-16T03:11:29Z,40000,False,,,0,,Jump Ball D. Vassell vs. J. Nurkic: Tip to K. Johnson,"[1629640, 1630170, 203994]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Vassell,1630170.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2022-11-16T03:11:41.6Z,1,REGULAR,turnover,out-of-bounds,[],1627751,,,1610612759,0,0,2022-11-16T03:13:11Z,70000,False,,,0,,J. Poeltl bad pass out-of-bounds TURNOVER (1 TO),[1627751],1610612759.0,SAS,bad pass,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Right Center,2714.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2022-11-16T03:11:59.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203924,85.89027595269383,37.254901960784316,1610612757,2,0,2022-11-16T03:12:09Z,80000,False,-64.0,80.0,1,right,J. Grant 10' turnaround fadeaway Jump Shot (2 PTS),[203924],1610612757.0,POR,turnaround fadeaway,,,Grant,J. Grant,,,,,In The Paint (Non-RA),8-16 Left,,,10.23,Made,2.0,,,,,,,,,,,,,,,
9,PT11M18.00S,2022-11-16T03:12:13.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630200,16.245072273324574,38.23529411764706,1610612759,2,0,2022-11-16T03:12:21Z,90000,False,59.0,100.0,1,left,MISS T. Jones 11' driving Hook,[1630200],1610612759.0,SAS,driving,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,,,11.62,Missed,,,,,,,,,,,,,,,,
10,PT11M13.00S,2022-11-16T03:12:16.9Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,2,0,2022-11-16T03:12:16Z,100000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:0),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M11.00S,2022-11-16T03:12:19.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630170,32.013797634691194,71.56862745098039,1610612759,2,3,2022-11-16T03:12:24Z,110000,False,-108.0,248.0,1,left,D. Vassell 27' 3PT  (3 PTS) (J. Poeltl 1 AST),"[1630170, 1627751]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Left Center,,,27.08,Made,3.0,,,,,J. Poeltl,1627751.0,1.0,,,,,,,,
13,PT10M46.00S,2022-11-16T03:12:43.8Z,1,REGULAR,3pt,Jump Shot,[],1629014,71.30420499342969,13.970588235294118,1610612757,2,3,2022-11-16T03:12:48Z,130000,False,-180.0,217.0,1,right,MISS A. Simons 28' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,,,28.22,Missed,,,,,,,,,,,,,,,,
14,PT10M43.00S,2022-11-16T03:12:46.8Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,2,3,2022-11-16T03:12:48Z,140000,False,,,0,,J. Sochan REBOUND (Off:0 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Above the Break 3,24+ Left Center,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M37.00S,2022-11-16T03:12:53.1Z,1,REGULAR,3pt,Jump Shot,[],1630170,32.40801576872536,29.411764705882355,1610612759,2,6,2022-11-16T03:12:57Z,150000,False,103.0,252.0,1,left,D. Vassell 27' 3PT  (6 PTS) (J. Sochan 1 AST),"[1630170, 1631110]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,,,27.23,Made,6.0,,,,,J. Sochan,1631110.0,1.0,,,,,,,,
17,PT10M22.00S,2022-11-16T03:13:07.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203924,85.10183968462549,41.911764705882355,1610612757,4,6,2022-11-16T03:13:16Z,170000,False,-40.0,88.0,1,right,J. Grant 9' fadeaway Jump Shot (4 PTS),[203924],1610612757.0,POR,fadeaway,,,Grant,J. Grant,,,,,In The Paint (Non-RA),8-16 Center,,,9.64,Made,4.0,,,,,,,,,,,,,,,
18,PT10M04.00S,2022-11-16T03:13:26.1Z,1,REGULAR,3pt,Jump Shot,[],1629640,30.305519053876477,18.872549019607842,1610612759,4,9,2022-11-16T03:13:30Z,180000,False,156.0,232.0,1,left,K. Johnson 27' 3PT  (3 PTS) (J. Sochan 2 AST),"[1629640, 1631110]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,,,27.97,Made,3.0,,,,,J. Sochan,1631110.0,2.0,,,,,,,,
20,PT09M50.00S,2022-11-16T03:13:40.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,94.03745072273325,50.49019607843137,1610612757,4,9,2022-11-16T03:13:44Z,200000,False,2.0,4.0,1,right,MISS J. Nurkic driving Layup,[203994],1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,0.43,Missed,,,,,,,,,,,,,,,,
21,PT09M47.00S,2022-11-16T03:13:42.5Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,4,9,2022-11-16T03:13:42Z,210000,False,,,0,,J. Nurkic REBOUND (Off:1 Def:0),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,20.0,1.0,0.0,1.0,,,,,,,,,,,
22,PT09M47.00S,2022-11-16T03:13:42.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203994,94.40999984741211,50.0,1610612757,4,9,2022-11-16T03:13:42Z,220000,False,0.0,0.0,1,right,MISS J. Nurkic tip Layup,[203994],1610612757.0,POR,tip,,,Nurkic,J. Nurkic,,,,,Mid-Range,8-16 Left,,,0.0,Missed,,,,,,,,,,,,,,,,
23,PT09M47.00S,2022-11-16T03:13:43.0Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612759,4,9,2022-11-16T03:13:43Z,230000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Mid-Range,8-16 Left,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,
25,PT09M33.00S,2022-11-16T03:14:16.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,19.92444152431012,34.80392156862745,1610612759,4,11,2022-11-16T03:14:20Z,250000,False,76.0,135.0,1,left,J. Poeltl 15' floating Jump Shot (2 PTS) (T. Jones 1 AST),"[1627751, 1630200]",1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,,,15.47,Made,2.0,,,,,T. Jones,1630200.0,1.0,,,,,,,,
27,PT09M23.00S,2022-11-16T03:14:29.9Z,1,REGULAR,violation,kicked ball,[],1627751,,,1610612757,4,11,2022-11-16T03:14:37Z,270000,False,,,0,,J. Poeltl kicked ball VIOLATION,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,202053.0,,,,,,,,,,,,,,,,,,,
29,PT09M18.00S,2022-11-16T03:14:53.3Z,1,REGULAR,turnover,bad pass,[],203081,,,1610612757,4,11,2022-11-16T03:16:22Z,290000,False,,,0,,D. Lillard bad pass TURNOVER (1 TO),"[203081, 1629640]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,,1.0,,,,,,,,,,,Johnson,1629640.0,,,,,,
30,PT09M18.00S,2022-11-16T03:14:53.3Z,1,REGULAR,steal,,[],1629640,,,1610612759,4,11,2022-11-16T03:14:55Z,300000,False,,,0,,K. Johnson STEAL (1 STL),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
