actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-03-18T02:11:52.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-18T02:11:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-18T02:11:54.9Z,1,REGULAR,jumpball,recovered,[],203081,,,1610612757,0,0,2023-03-18T02:11:54Z,40000,False,,,0,,Jump Ball J. Nurkic vs. A. Horford: Tip to D. Lillard,"[203081, 203994, 201143]",1610612757.0,POR,startperiod,D. Lillard,203081.0,Lillard,D. Lillard,Nurkic,203994.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2023-03-18T02:12:15.6Z,1,REGULAR,2pt,Jump Shot,[],203081,84.1819973718791,9.313725490196079,1610612757,0,0,2023-03-18T02:12:19Z,70000,False,-203.0,96.0,1,right,MISS D. Lillard 22' Jump Shot,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Left,22.5,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2023-03-18T02:12:17.6Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,0,0,2023-03-18T02:12:19Z,80000,False,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Mid-Range,16-24 Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M21.00S,2023-03-18T02:12:31.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201143,5.863994743758213,48.28431372549019,1610612738,0,0,2023-03-18T02:12:40Z,90000,False,9.0,3.0,1,left,MISS A. Horford cutting Layup - blocked,"[201143, 203994]",1610612738.0,BOS,cutting,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,0.9,Missed,,,,,Nurkic,203994.0,,,,,,,,,,,,
10,PT11M21.00S,2023-03-18T02:12:31.2Z,1,REGULAR,block,,[],203994,,,1610612738,0,0,2023-03-18T02:12:36Z,100000,False,,,0,,J. Nurkic BLOCK (1 BLK),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2023-03-18T02:12:32.2Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,0,0,2023-03-18T02:24:00Z,110000,False,,,0,,A. Horford REBOUND (Off:1 Def:0),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT11M19.00S,2023-03-18T02:12:39.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",201143,5.590000152587891,50.0,1610612738,0,2,2023-03-18T02:24:05Z,120000,False,0.0,0.0,1,left,A. Horford tip Layup (2 PTS),[201143],1610612738.0,BOS,tip,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,2.0,,,,,,,,,,,
13,PT11M05.00S,2023-03-18T02:12:46.4Z,1,REGULAR,2pt,Jump Shot,[],1629014,72.48685939553219,40.931372549019606,1610612757,0,2,2023-03-18T02:12:51Z,130000,False,-45.0,206.0,1,right,MISS A. Simons 21' step back Shot,[1629014],1610612757.0,POR,step back,,,Simons,A. Simons,,,,,Mid-Range,16-24 Center,21.1,Missed,,,,,,,,,,,,,,,,,,
14,PT11M02.00S,2023-03-18T02:12:49.4Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,0,2,2023-03-18T02:12:51Z,140000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,16-24 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
