shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
12:00,2,PT12M00.00S,2022-12-11T03:11:51.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-11T03:11:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:56,4,PT11M56.00S,2022-12-11T03:11:54.9Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612750,0,0,2022-12-11T03:11:54Z,40000,False,,,0,,Jump Ball R. Gobert vs. J. Nurkic: Tip to D. Russell,"[1626156, 203497, 203994]",0,1610612750.0,MIN,startperiod,D. Russell,1626156.0,Russell,D. Russell,Gobert,203497.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,,
11:39,7,PT11M39.00S,2022-12-11T03:12:11.2Z,1,REGULAR,3pt,Jump Shot,[],1630183,6.258212877792378,96.81372549019608,1610612750,0,0,2022-12-11T03:12:18Z,70000,False,-234.0,6.0,1,left,MISS J. McDaniels 3PT,[1630183],3,1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Left Corner 3,24+ Left,23.42,Missed,,,,,,,,,,,,,,,,,,
11:37,8,PT11M37.00S,2022-12-11T03:12:13.2Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,0,0,2022-12-11T03:12:18Z,80000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],27,1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11:25,9,PT11M25.00S,2022-12-11T03:12:25.7Z,1,REGULAR,3pt,Jump Shot,[],203081,66.44218134034165,48.28431372549019,1610612757,0,0,2022-12-11T03:12:31Z,90000,False,-9.0,263.0,1,right,MISS D. Lillard 26' step back 3PT,[203081],0,1610612757.0,POR,step back,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,26.3,Missed,,,,,,,,,,,,,,,,,,
11:23,10,PT11M23.00S,2022-12-11T03:12:27.7Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,0,2022-12-11T03:12:31Z,100000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],27,1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11:18,11,PT11M18.00S,2022-12-11T03:12:33.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630183,30.699737187910642,74.26470588235294,1610612750,0,0,2022-12-11T03:12:41Z,110000,False,-121.0,236.0,1,left,MISS J. McDaniels 26' running pullup 3PT,[1630183],3,1610612750.0,MIN,running pullup,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,26.54,Missed,,,,,,,,,,,,,,,,,,
11:15,12,PT11M15.00S,2022-12-11T03:12:36.2Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,0,0,2022-12-11T03:12:41Z,120000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:2),[203994],27,1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Left Center,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,
11:10,13,PT11M10.00S,2022-12-11T03:12:41.2Z,1,REGULAR,turnover,bad pass,[],1628404,,,1610612757,0,0,2022-12-11T03:12:48Z,130000,False,,,0,,J. Hart bad pass TURNOVER (1 TO),"[1628404, 1626156]",11,1610612757.0,POR,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Right Center,,,,,,,1.0,Russell,1626156.0,,,,,,,,,,,
11:10,14,PT11M10.00S,2022-12-11T03:12:41.2Z,1,REGULAR,steal,,[],1626156,,,1610612750,0,0,2022-12-11T03:12:43Z,140000,False,,,0,,D. Russell STEAL (1 STL),[1626156],0,1610612750.0,MIN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
