actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-07T03:11:43.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-07T03:11:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-02-07T03:11:45.4Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2023-02-07T03:11:45Z,40000,False,,,0,,Jump Ball B. Lopez vs. D. Eubanks: Tip to G. Antetokounmpo,"[203507, 201572, 1629234]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Eubanks,1629234.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-02-07T03:12:03.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201572,87.86136662286465,37.00980392156863,1610612749,0,2,2023-02-07T03:12:07Z,70000,False,-65.0,62.0,1,right,B. Lopez 8' driving floating Jump Shot (2 PTS),[201572],1610612749.0,MIL,driving floating,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),8-16 Left,8.96,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M24.00S,2023-02-07T03:12:17.8Z,1,REGULAR,turnover,bad pass,[],1628404,,,1610612757,0,2,2023-02-07T03:12:24Z,80000,False,,,0,,J. Hart bad pass TURNOVER (1 TO),"[1628404, 1626192]",1610612757.0,POR,,,,Hart,J. Hart,,,,,In The Paint (Non-RA),8-16 Center,,,,1.0,Connaughton,1626192.0,,,,,,,,,,,,,,
9,PT11M24.00S,2023-02-07T03:12:17.8Z,1,REGULAR,steal,,[],1626192,,,1610612749,0,2,2023-02-07T03:12:19Z,90000,False,,,0,,P. Connaughton STEAL (1 STL),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2023-02-07T03:12:21.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203507,92.9862023653088,51.225490196078425,1610612749,0,2,2023-02-07T03:12:28Z,100000,False,6.0,13.0,1,right,MISS G. Antetokounmpo running Layup,[203507],1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.47,Missed,,,,,,,,,,,,,,,,,,
11,PT11M16.00S,2023-02-07T03:12:25.9Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,0,2,2023-02-07T03:12:28Z,110000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:0),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,
12,PT11M16.00S,2023-02-07T03:12:25.5Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",203507,94.40999984741211,50.0,1610612749,0,4,2023-02-07T03:12:32Z,120000,False,0.0,0.0,1,right,G. Antetokounmpo tip DUNK (2 PTS),[203507],1610612749.0,MIL,tip,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
13,PT11M03.00S,2023-02-07T03:12:39.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203081,8.54139290407359,56.924019607843135,1610612757,0,4,2023-02-07T03:19:02Z,130000,False,-35.0,28.0,1,left,MISS D. Lillard driving floating bank Shot,[203081],1610612757.0,POR,driving floating bank,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),0-8 Center,4.44,Missed,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2023-02-07T03:12:41.2Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,0,4,2023-02-07T03:12:44Z,140000,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
