actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-27T02:12:13.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-27T02:12:13Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-10-27T02:12:18.0Z,1,REGULAR,jumpball,recovered,[],200768,,,1610612748,0,0,2022-10-27T02:12:18Z,40000,,,0,,Jump Ball B. Adebayo vs. J. Nurkic: Tip to K. Lowry,"[200768, 1628389, 203994]",1610612748.0,MIA,startperiod,K. Lowry,200768.0,Lowry,K. Lowry,Adebayo,1628389.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-10-27T02:12:31.9Z,1,REGULAR,3pt,Jump Shot,[],202710,19.267411300919843,90.93137254901961,1610612748,0,0,2022-10-27T02:12:39Z,70000,-205.0,129.0,1,left,MISS J. Butler 24' 3PT,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Left Center,24.17,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-10-27T02:12:35.9Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,0,0,2022-10-27T02:12:39Z,80000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2022-10-27T02:12:49.0Z,1,REGULAR,turnover,bad pass,[],203994,,,1610612757,0,0,2022-10-27T02:12:54Z,90000,,,0,,J. Nurkic bad pass TURNOVER (1 TO),"[203994, 1628997]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Mid-Range,16-24 Right Center,,,,,,,1.0,Martin,1628997.0,,,,,,,,,,,
10,PT11M24.00S,2022-10-27T02:12:49.0Z,1,REGULAR,steal,,[],1628997,,,1610612748,0,0,2022-10-27T02:12:52Z,100000,,,0,,C. Martin STEAL (1 STL),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
11,PT11M18.00S,2022-10-27T02:12:58.8Z,1,REGULAR,foul,personal,['3freethrow'],1628404,,,1610612748,0,0,2022-10-27T02:13:18Z,110000,,,0,,J. Hart shooting personal FOUL (1 PF) (Lowry 3 FT),"[1628404, 200768]",1610612757.0,POR,shooting,,,Hart,J. Hart,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,201246.0,1.0,0.0,Lowry,200768.0,,,,,,
13,PT11M18.00S,2022-10-27T02:13:25.1Z,1,REGULAR,freethrow,1 of 3,"['fromturnover', 'fastbreak']",200768,,,1610612748,0,0,2022-10-27T02:13:58Z,130000,,,0,,MISS K. Lowry Free Throw 1 of 3,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
14,PT11M18.00S,2022-10-27T02:13:25.1Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612748,0,0,2022-10-27T02:13:58Z,140000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,
15,PT11M18.00S,2022-10-27T02:13:25.1Z,1,REGULAR,freethrow,2 of 3,"['fromturnover', 'fastbreak']",200768,,,1610612748,0,1,2022-10-27T02:13:58Z,150000,,,0,,K. Lowry Free Throw 2 of 3 (1 PTS),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
