actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-31T03:11:41.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-31T03:11:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-31T03:11:43.5Z,1,REGULAR,jumpball,recovered,[],203081,,,1610612757,0,0,2023-01-31T03:11:43Z,40000,False,,,0,,Jump Ball J. Nurkic vs. C. Capela: Tip to D. Lillard,"[203081, 203994, 203991]",1610612757.0,POR,startperiod,D. Lillard,203081.0,Lillard,D. Lillard,Nurkic,203994.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2023-01-31T03:12:05.5Z,1,REGULAR,3pt,Jump Shot,[],203081,89.04402102496715,95.58823529411765,1610612757,3,0,2023-01-31T03:12:09Z,70000,False,228.0,50.0,1,right,D. Lillard 3PT  (3 PTS) (J. Hart 1 AST),"[203081, 1628404]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Right Corner 3,24+ Right,23.34,Made,3.0,J. Hart,1628404.0,1.0,,,,,,,,,,,,,,
9,PT11M11.00S,2023-01-31T03:12:29.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,6.258212877792378,51.470588235294116,1610612737,3,2,2023-01-31T03:12:38Z,90000,False,-7.0,6.0,1,left,C. Capela Layup (2 PTS),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,0.97,Made,2.0,,,,,,,,,,,,,,,,,
10,PT10M57.00S,2023-01-31T03:12:45.9Z,1,REGULAR,foul,personal,[],1628988,,,1610612757,3,2,2023-01-31T03:12:54Z,100000,False,,,0,,A. Holiday personal FOUL (1 PF),"[1628988, 203994]",1610612737.0,ATL,,,,Holiday,A. Holiday,,,,,Above the Break 3,24+ Left Center,,,,,,,203591.0,1.0,0.0,Nurkic,203994.0,,,,,,,,,
12,PT10M46.00S,2023-01-31T03:13:11.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,93.64323258869908,48.28431372549019,1610612757,3,2,2023-01-31T03:13:16Z,120000,False,-9.0,7.0,1,right,MISS J. Nurkic Layup,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,1.13,Missed,,,,,,,,,,,,,,,,,,
13,PT10M45.00S,2023-01-31T03:13:13.2Z,1,REGULAR,rebound,offensive,[],1628404,,,1610612757,3,2,2023-01-31T03:13:13Z,130000,False,,,0,,J. Hart REBOUND (Off:1 Def:0),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,12.0,1.0,0.0,1.0,,,,,
14,PT10M43.00S,2023-01-31T03:13:17.9Z,1,REGULAR,violation,kicked ball,[],1629631,,,1610612757,3,2,2023-01-31T03:13:25Z,140000,False,,,0,,D. Hunter kicked ball VIOLATION,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,1628159.0,,,,,,,,,,,,,
15,PT10M37.00S,2023-01-31T03:13:36.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203924,78.0059132720105,65.44117647058823,1610612757,3,2,2023-01-31T03:13:42Z,150000,False,77.0,154.0,1,right,MISS J. Grant 17' fadeaway Shot,[203924],1610612757.0,POR,fadeaway,,,Grant,J. Grant,,,,,Mid-Range,16-24 Right Center,17.24,Missed,,,,,,,,,,,,,,,,,,
16,PT10M33.00S,2023-01-31T03:13:40.6Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,3,2,2023-01-31T03:13:42Z,160000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
17,PT10M18.00S,2023-01-31T03:13:54.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,6.521024967148489,51.470588235294116,1610612737,3,2,2023-01-31T03:13:57Z,170000,False,-7.0,9.0,1,left,MISS C. Capela Hook,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,1.15,Missed,,,,,,,,,,,,,,,,,,
18,PT10M16.00S,2023-01-31T03:13:56.8Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,3,2,2023-01-31T03:13:56Z,180000,False,,,0,,C. Capela REBOUND (Off:1 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,17.0,1.0,0.0,1.0,,,,,
