actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-11T03:11:07.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-11T03:11:07Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-11T03:11:09.4Z,1,REGULAR,jumpball,recovered,[],203081,,,1610612757,0,0,2023-01-11T03:11:09Z,40000,False,,,0,,Jump Ball J. Nurkic vs. W. Carter Jr.: Tip to D. Lillard,"[203081, 203994, 1628976]",1610612757.0,POR,startperiod,D. Lillard,203081.0,Lillard,D. Lillard,Nurkic,203994.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-01-11T03:11:27.4Z,1,REGULAR,3pt,Jump Shot,[],203924,72.22404730617609,17.401960784313726,1610612757,0,0,2023-01-11T03:11:32Z,70000,False,-163.0,209.0,1,right,MISS J. Grant 26' 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Left Center,26.47,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2023-01-11T03:11:29.4Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,0,2023-01-11T03:11:32Z,80000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2023-01-11T03:11:41.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,5.863994743758213,50.73529411764706,1610612753,0,2,2023-01-11T03:11:45Z,90000,False,-4.0,3.0,1,left,P. Banchero driving Layup (2 PTS),[1631094],1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,0.45,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M08.00S,2023-01-11T03:11:58.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,92.32917214191852,47.30392156862745,1610612757,0,2,2023-01-11T03:12:06Z,100000,False,-13.0,20.0,1,right,MISS J. Nurkic driving Hook,[203994],1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,2.38,Missed,,,,,,,,,,,,,,,,,,
11,PT11M08.00S,2023-01-11T03:11:59.6Z,1,REGULAR,rebound,offensive,[],1628404,,,1610612757,0,2,2023-01-11T03:11:59Z,110000,False,,,0,,J. Hart REBOUND (Off:1 Def:0),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT11M08.00S,2023-01-11T03:12:02.5Z,1,REGULAR,foul,personal,[],1631094,,,1610612757,0,2,2023-01-11T03:12:13Z,120000,False,,,0,,P. Banchero personal FOUL (1 PF),"[1631094, 1628404]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,,,,1626302.0,1.0,0.0,Hart,1628404.0,,,,,,,,
14,PT10M54.00S,2023-01-11T03:12:39.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203924,93.24901445466492,41.911764705882355,1610612757,0,2,2023-01-11T03:12:43Z,140000,False,-40.0,11.0,1,right,MISS J. Grant driving Layup,[203924],1610612757.0,POR,driving,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,4.19,Missed,,,,,,,,,,,,,,,,,,
15,PT10M53.00S,2023-01-11T03:12:40.7Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,2,2023-01-11T03:12:43Z,150000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,
16,PT10M45.00S,2023-01-11T03:12:48.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628365,5.469776609724048,46.568627450980394,1610612753,0,4,2023-01-11T03:12:53Z,160000,False,17.0,-1.0,1,left,M. Fultz driving Layup (2 PTS),[1628365],1610612753.0,ORL,driving,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,1.72,Made,,,,,2.0,,,,,,,,,,,,,
17,PT10M38.00S,2023-01-11T03:13:03.5Z,1,REGULAR,foul,offensive,[],203994,,,1610612757,0,4,2023-01-11T03:14:20Z,170000,False,,,0,,J. Nurkic charge offensive FOUL (1 PF),"[203994, 1631094]",1610612757.0,POR,charge,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,,1628159.0,1.0,0.0,Banchero,1631094.0,,,,,,,,
