actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-22T02:14:55.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-22T02:14:55Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-10-22T02:14:57.1Z,1,REGULAR,jumpball,recovered,[],203081,,,1610612757,0,0,2022-10-22T02:14:57Z,40000,,,0,,Jump Ball J. Nurkic vs. D. Ayton: Tip to D. Lillard,"[203081, 203994, 1629028]",1610612757.0,POR,startperiod,D. Lillard,203081.0,Lillard,D. Lillard,Nurkic,203994.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-10-22T02:15:18.6Z,1,REGULAR,3pt,Jump Shot,[],1629014,31.61957950065703,21.813725490196077,1610612757,0,0,2022-10-22T02:15:25Z,70000,141.0,245.0,1,left,MISS A. Simons 28' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Right Center,28.24,Missed,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2022-10-22T02:15:22.6Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,0,0,2022-10-22T02:15:25Z,80000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M10.00S,2022-10-22T02:15:44.6Z,1,REGULAR,2pt,Jump Shot,[],1629028,87.07293035479631,18.38235294117647,1610612756,0,2,2022-10-22T02:15:50Z,90000,-158.0,69.0,1,right,D. Ayton 17' turnaround Jump Shot (2 PTS) (C. Johnson 1 AST),"[1629028, 1629661]",1610612756.0,PHX,turnaround,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Left,17.25,Made,,,,,2.0,C. Johnson,1629661.0,1.0,,,,,,,,,,
11,PT10M49.00S,2022-10-22T02:16:05.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,6.652431011826544,50.245098039215684,1610612757,2,2,2022-10-22T02:16:31Z,110000,-1.0,10.0,1,left,D. Lillard reverse Layup (2 PTS) (J. Nurkic 1 AST),"[203081, 203994]",1610612757.0,POR,reverse,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,1.01,Made,,,,,2.0,J. Nurkic,203994.0,1.0,,,,,,,,,,
13,PT10M36.00S,2022-10-22T02:16:18.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628969,86.41590013140605,50.73529411764706,1610612756,2,4,2022-10-22T02:16:25Z,130000,4.0,75.0,1,right,M. Bridges 7' turnaround Hook (2 PTS),[1628969],1610612756.0,PHX,turnaround,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,7.53,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M26.00S,2022-10-22T02:16:28.3Z,1,REGULAR,2pt,Jump Shot,[],203081,26.49474375821288,58.82352941176471,1610612757,2,4,2022-10-22T02:17:11Z,140000,-44.0,197.0,1,left,MISS D. Lillard 20' step back Shot,[203081],1610612757.0,POR,step back,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Center,20.15,Missed,,,,,,,,,,,,,,,,,,
15,PT10M26.00S,2022-10-22T02:16:28.3Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,2,4,2022-10-22T02:16:36Z,150000,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Center,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,
16,PT10M18.00S,2022-10-22T02:16:36.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629661,74.32654402102497,88.97058823529412,1610612756,2,4,2022-10-22T02:19:22Z,160000,195.0,189.0,1,right,MISS C. Johnson 27' running 3PT,[1629661],1610612756.0,PHX,running,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Right Center,27.14,Missed,,,,,,,,,,,,,,,,,,
17,PT10M15.00S,2022-10-22T02:16:39.3Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612756,2,4,2022-10-22T02:16:39Z,170000,,,0,,D. Ayton REBOUND (Off:1 Def:0),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Right Center,,,16.0,1.0,0.0,1.0,,,,,,,,,,,,,,
18,PT10M13.00S,2022-10-22T02:16:40.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629028,67.09921156373193,78.18627450980392,1610612756,2,7,2022-10-22T02:16:47Z,180000,141.0,257.0,1,right,D. Ayton 29' 3PT  (5 PTS),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Right Center,29.29,Made,,,,,5.0,,,,,,,,,,,,,
19,PT09M54.00S,2022-10-22T02:17:00.4Z,1,REGULAR,2pt,Jump Shot,[],1629014,25.312089356110377,65.44117647058823,1610612757,2,7,2022-10-22T02:19:04Z,190000,-77.0,185.0,1,left,MISS A. Simons 20' fadeaway Shot,[1629014],1610612757.0,POR,fadeaway,,,Simons,A. Simons,,,,,Mid-Range,16-24 Left Center,20.08,Missed,,,,,,,,,,,,,,,,,,
20,PT09M50.00S,2022-10-22T02:17:04.4Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,2,7,2022-10-22T02:17:05Z,200000,,,0,,J. Nurkic REBOUND (Off:1 Def:0),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Mid-Range,16-24 Left Center,,,19.0,1.0,0.0,1.0,,,,,,,,,,,,,,
21,PT09M50.00S,2022-10-22T02:17:04.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203994,5.590000152587891,50.0,1610612757,4,7,2022-10-22T02:17:04Z,210000,0.0,0.0,1,left,J. Nurkic tip Layup (2 PTS),[203994],1610612757.0,POR,tip,,,Nurkic,J. Nurkic,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
22,PT09M44.00S,2022-10-22T02:17:10.4Z,1,REGULAR,2pt,Jump Shot,[],1626164,90.75229960578186,68.62745098039215,1610612756,4,7,2022-10-22T02:17:15Z,220000,93.0,34.0,1,right,MISS D. Booker 9' fadeaway Shot,[1626164],1610612756.0,PHX,fadeaway,,,Booker,D. Booker,,,,,Mid-Range,8-16 Right,9.93,Missed,,,,,,,,,,,,,,,,,,
23,PT09M40.00S,2022-10-22T02:17:14.4Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,4,7,2022-10-22T02:17:15Z,230000,,,0,,J. Nurkic REBOUND (Off:1 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Mid-Range,8-16 Right,,,22.0,2.0,1.0,1.0,,,,,,,,,,,,,,
24,PT09M38.00S,2022-10-22T02:17:18.5Z,1,REGULAR,foul,personal,[],1628969,,,1610612757,4,7,2022-10-22T02:17:37Z,240000,,,0,,M. Bridges personal FOUL (1 PF),"[1628969, 1628404]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,,,,,,202053.0,1.0,0.0,Hart,1628404.0,,,,,
26,PT09M23.00S,2022-10-22T02:17:55.4Z,1,REGULAR,3pt,Jump Shot,[],1628404,17.559132720105126,95.09803921568627,1610612757,7,7,2022-10-22T02:18:01Z,260000,-225.0,113.0,1,left,J. Hart 25' 3PT  (3 PTS) (J. Nurkic 2 AST),"[1628404, 203994]",1610612757.0,POR,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Left Center,25.2,Made,,,,,3.0,J. Nurkic,203994.0,2.0,,,,,,,,,,
28,PT09M10.00S,2022-10-22T02:18:07.4Z,1,REGULAR,2pt,Jump Shot,[],1629028,92.19776609724047,68.13725490196079,1610612756,7,9,2022-10-22T02:18:11Z,280000,91.0,21.0,1,right,D. Ayton 9' turnaround fadeaway Jump Shot (7 PTS) (C. Paul 1 AST),"[1629028, 101108]",1610612756.0,PHX,turnaround fadeaway,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Right,9.31,Made,,,,,7.0,C. Paul,101108.0,1.0,,,,,,,,,,
