actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-01-20T03:11:42.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-20T03:11:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-20T03:11:44.7Z,1,REGULAR,jumpball,recovered,[],203081,,,1610612757,0,0,2023-01-20T03:11:44Z,40000,False,,,0,,Jump Ball J. Nurkic vs. J. Embiid: Tip to D. Lillard,"[203081, 203994, 203954]",1610612757.0,POR,startperiod,D. Lillard,203081.0,Lillard,D. Lillard,Nurkic,203994.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-01-20T03:12:00.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629014,80.50262812089356,62.254901960784316,1610612757,0,0,2023-01-20T03:12:06Z,70000,False,61.0,131.0,1,right,MISS A. Simons 14' driving floating Shot,[1629014],1610612757.0,POR,driving floating,,,Simons,A. Simons,,,,,In The Paint (Non-RA),8-16 Center,14.45,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2023-01-20T03:12:03.7Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,0,0,2023-01-20T03:12:06Z,80000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M31.00S,2023-01-20T03:12:09.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201935,34.11629434954008,51.225490196078425,1610612755,0,0,2023-01-20T03:13:15Z,90000,False,-6.0,268.0,1,left,MISS J. Harden 26' running pullup 3PT,[201935],1610612755.0,PHI,running pullup,,,Harden,J. Harden,,,,,Above the Break 3,24+ Center,26.83,Missed,,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2023-01-20T03:12:12.2Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,0,0,2023-01-20T03:12:14Z,100000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M18.00S,2023-01-20T03:12:22.3Z,1,REGULAR,3pt,Jump Shot,[],203924,89.70105124835742,95.83333333333334,1610612757,0,0,2023-01-20T03:12:26Z,110000,False,229.0,44.0,1,right,MISS J. Grant 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Right Corner 3,24+ Right,23.34,Missed,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2023-01-20T03:12:24.3Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,0,0,2023-01-20T03:12:26Z,120000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Right Corner 3,24+ Right,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M57.00S,2023-01-20T03:12:44.6Z,1,REGULAR,2pt,Jump Shot,[],203954,21.107095926412615,32.35294117647059,1610612755,0,0,2023-01-20T03:12:48Z,130000,False,88.0,146.0,1,left,MISS J. Embiid 17' Jump Shot,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Right Center,17.05,Missed,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2023-01-20T03:12:47.6Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612757,0,0,2023-01-20T03:12:48Z,140000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,Mid-Range,16-24 Right Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
