actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-15T03:12:01.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-15T03:12:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-01-15T03:12:03.6Z,1,REGULAR,jumpball,recovered,[],203924,,,1610612757,0,0,2023-01-15T03:12:03Z,40000,False,,,0,,Jump Ball J. Nurkic vs. D. Powell: Tip to J. Grant,"[203924, 203994, 203939]",1610612757.0,POR,startperiod,J. Grant,203924.0,Grant,J. Grant,Nurkic,203994.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-01-15T03:12:18.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,90.22667542706965,42.8921568627451,1610612757,0,0,2023-01-15T03:12:23Z,70000,False,-36.0,39.0,1,right,MISS J. Nurkic Hook,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,5.3,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2023-01-15T03:12:21.7Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,0,0,2023-01-15T03:12:24Z,80000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2023-01-15T03:12:35.1Z,1,REGULAR,foul,personal,[],1629014,,,1610612742,0,0,2023-01-15T03:12:46Z,90000,False,,,0,,A. Simons personal FOUL (1 PF),"[1629014, 203939]",1610612757.0,POR,,,,Simons,A. Simons,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202037.0,1.0,0.0,Powell,203939.0,,,,,,,,,
11,PT11M20.00S,2023-01-15T03:13:01.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203939,6.389618922470433,51.9607843137255,1610612742,0,0,2023-01-15T03:13:06Z,110000,False,-10.0,8.0,1,left,MISS D. Powell cutting Layup,[203939],1610612742.0,DAL,cutting,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,1.24,Missed,,,,,,,,,,,,,,,,,,
12,PT11M18.00S,2023-01-15T03:13:03.8Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,0,0,2023-01-15T03:13:06Z,120000,False,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M13.00S,2023-01-15T03:13:09.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628404,67.62483574244416,66.17647058823529,1610612757,0,0,2023-01-15T03:13:19Z,130000,False,81.0,252.0,1,right,MISS J. Hart 26' running 3PT,[1628404],1610612757.0,POR,running,,,Hart,J. Hart,,,,,Above the Break 3,24+ Center,26.45,Missed,,,,,,,,,,,,,,,,,,
14,PT11M09.00S,2023-01-15T03:13:13.0Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,0,2023-01-15T03:13:19Z,140000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M00.00S,2023-01-15T03:13:21.8Z,1,REGULAR,3pt,Jump Shot,[],203493,32.53942181340342,50.49019607843137,1610612742,0,3,2023-01-15T03:13:27Z,150000,False,-2.0,253.0,1,left,R. Bullock 25' 3PT  (3 PTS) (L. Doncic 1 AST),"[203493, 1629029]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Above the Break 3,24+ Center,25.34,Made,,,,,,,,,,3.0,L. Doncic,1629029.0,1.0,,,,,
