actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-03T02:15:48.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-03T02:15:48Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-03T02:15:50.2Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2022-11-03T02:15:50Z,40000,,,0,,Jump Ball S. Adams vs. J. Nurkic: Tip to J. Morant,"[1629630, 203500, 203994]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-11-03T02:16:06.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,94.95729303547962,48.28431372549019,1610612763,0,2,2022-11-03T02:16:11Z,70000,-9.0,-5.0,1,right,J. Morant driving Layup (2 PTS),[1629630],1610612763.0,MEM,driving,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,1.0,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2022-11-03T02:16:25.4Z,1,REGULAR,2pt,Jump Shot,[],203924,26.757555847568987,59.068627450980394,1610612757,0,2,2022-11-03T02:16:31Z,80000,-45.0,199.0,1,left,MISS J. Grant 20' step back Shot,[203924],1610612757.0,POR,step back,,,Grant,J. Grant,,,,,Mid-Range,16-24 Center,20.41,Missed,,,,,,,,,,,,,,,,,,
9,PT11M18.00S,2022-11-03T02:16:28.4Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,0,2,2022-11-03T02:16:31Z,90000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Mid-Range,16-24 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M09.00S,2022-11-03T02:16:37.7Z,1,REGULAR,2pt,Jump Shot,[],1628415,78.9257555847569,50.73529411764706,1610612763,0,2,2022-11-03T02:16:41Z,100000,4.0,146.0,1,right,MISS D. Brooks 14' pullup Shot,[1628415],1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Center,14.56,Missed,,,,,,,,,,,,,,,,,,
11,PT11M07.00S,2022-11-03T02:16:40.0Z,1,REGULAR,rebound,offensive,[],1630583,,,1610612763,0,2,2022-11-03T02:16:40Z,110000,,,0,,S. Aldama REBOUND (Off:1 Def:0),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Mid-Range,8-16 Center,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,
12,PT11M00.00S,2022-11-03T02:16:47.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630583,94.56307490144546,50.0,1610612763,0,4,2022-11-03T02:16:53Z,120000,0.0,-1.0,1,right,S. Aldama cutting DUNK (2 PTS) (S. Adams 1 AST),"[1630583, 203500]",1610612763.0,MEM,cutting,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,0.14,Made,2.0,,,,,S. Adams,203500.0,1.0,,,,,,,,,,
14,PT10M42.00S,2022-11-03T02:17:04.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629014,6.783837056504599,40.931372549019606,1610612757,0,4,2022-11-03T02:17:09Z,140000,45.0,11.0,1,left,MISS A. Simons driving floating bank Shot,[1629014],1610612757.0,POR,driving floating bank,,,Simons,A. Simons,,,,,In The Paint (Non-RA),0-8 Center,4.67,Missed,,,,,,,,,,,,,,,,,,
15,PT10M41.00S,2022-11-03T02:17:05.8Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,0,4,2022-11-03T02:17:09Z,150000,,,0,,S. Aldama REBOUND (Off:1 Def:1),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,In The Paint (Non-RA),0-8 Center,,,,14.0,2.0,1.0,1.0,,,,,,,,,,,,,
