actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-03T03:12:34.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-03T03:12:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-03T03:12:37.3Z,1,REGULAR,jumpball,recovered,[],1631093,,,1610612765,0,0,2023-01-03T03:12:37Z,40000,False,,,0,,Jump Ball J. Duren vs. J. Nurkic: Tip to J. Ivey,"[1631093, 1631105, 203994]",1610612765.0,DET,startperiod,J. Ivey,1631093.0,Ivey,J. Ivey,Duren,1631105.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-01-03T03:12:56.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630191,93.64323258869908,54.65686274509803,1610612765,0,2,2023-01-03T03:13:03Z,70000,False,23.0,7.0,1,right,I. Stewart Layup (2 PTS) (B. Bogdanovic 1 AST),"[1630191, 202711]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,2.44,Made,2.0,B. Bogdanovic,202711.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2023-01-03T03:13:10.7Z,1,REGULAR,3pt,Jump Shot,[],203081,13.091327201051248,94.6078431372549,1610612757,0,2,2023-01-03T03:13:15Z,90000,False,-223.0,71.0,1,left,MISS D. Lillard 3PT,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Left Corner 3,24+ Left,23.39,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2023-01-03T03:13:14.7Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,0,2,2023-01-03T03:13:15Z,100000,False,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Left Corner 3,24+ Left,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M11.00S,2023-01-03T03:13:22.4Z,1,REGULAR,turnover,bad pass,[],1630191,,,1610612765,0,2,2023-01-03T03:13:28Z,110000,False,,,0,,I. Stewart bad pass TURNOVER (1 TO),"[1630191, 1629014]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,1.0,Simons,1629014.0,,,,,,,
12,PT11M11.00S,2023-01-03T03:13:22.4Z,1,REGULAR,steal,,[],1629014,,,1610612757,0,2,2023-01-03T03:13:24Z,120000,False,,,0,,A. Simons STEAL (1 STL),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
13,PT11M08.00S,2023-01-03T03:13:26.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629014,6.915243101182654,49.01960784313725,1610612757,2,2,2023-01-03T03:13:32Z,130000,False,5.0,13.0,1,left,A. Simons running Layup (2 PTS),[1629014],1610612757.0,POR,running,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,1.34,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M47.00S,2023-01-03T03:13:45.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630180,93.24901445466492,52.450980392156865,1610612765,2,4,2023-01-03T03:13:51Z,140000,False,12.0,11.0,1,right,S. Bey driving Layup (2 PTS) (J. Duren 1 AST),"[1630180, 1631105]",1610612765.0,DET,driving,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,1.65,Made,2.0,J. Duren,1631105.0,1.0,,,,,,,,,,,,,,
15,PT10M35.00S,2023-01-03T03:13:59.1Z,1,REGULAR,2pt,Jump Shot,[],203924,22.421156373193167,26.715686274509803,1610612757,2,4,2023-01-03T03:14:05Z,150000,False,116.0,158.0,1,left,MISS J. Grant 19' pullup Shot,[203924],1610612757.0,POR,pullup,,,Grant,J. Grant,,,,,Mid-Range,16-24 Right Center,19.65,Missed,,,,,,,,,,,,,,,,,,
