actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-03-15T02:11:01.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-15T02:11:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-15T02:11:04.0Z,1,REGULAR,jumpball,recovered,[],1630570,,,1610612757,0,0,2023-03-15T02:11:04Z,40000,False,,,0,,Jump Ball J. Nurkic vs. M. Robinson: Tip to T. Watford,"[1630570, 203994, 1629011]",1610612757.0,POR,startperiod,T. Watford,1630570.0,Watford,T. Watford,Nurkic,203994.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-03-15T02:11:17.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,91.80354796320631,54.41176470588235,1610612757,0,0,2023-03-15T02:11:24Z,70000,False,22.0,25.0,1,right,MISS J. Nurkic Layup - blocked,"[203994, 1629628]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,3.3,Missed,Barrett,1629628.0,,,,,,,,,,,,,,,,
8,PT11M43.00S,2023-03-15T02:11:17.5Z,1,REGULAR,block,,[],1629628,,,1610612757,0,0,2023-03-15T02:11:20Z,80000,False,,,0,,R. Barrett BLOCK (1 BLK),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2023-03-15T02:11:20.5Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612752,0,0,2023-03-15T02:11:24Z,90000,False,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M36.00S,2023-03-15T02:11:24.6Z,1,REGULAR,3pt,Jump Shot,[],203944,32.013797634691194,56.372549019607845,1610612752,0,0,2023-03-15T02:12:22Z,100000,False,-32.0,248.0,1,left,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,25.04,Missed,,,,,,,,,,,,,,,,,,
11,PT11M32.00S,2023-03-15T02:11:28.6Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,0,0,2023-03-15T02:11:34Z,110000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Center,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M15.00S,2023-03-15T02:11:45.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,91.40932982917214,47.05882352941176,1610612757,0,0,2023-03-15T02:11:51Z,120000,False,-15.0,28.0,1,right,MISS J. Nurkic cutting Layup,[203994],1610612757.0,POR,cutting,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,3.19,Missed,,,,,,,,,,,,,,,,,,
13,PT11M12.00S,2023-03-15T02:11:48.7Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2023-03-15T02:11:51Z,130000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT11M01.00S,2023-03-15T02:11:59.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630193,9.280551905387648,65.19607843137256,1610612752,0,0,2023-03-15T02:12:05Z,140000,False,-76.0,35.0,1,left,MISS I. Quickley 8' driving floating Shot,[1630193],1610612752.0,NYK,driving floating,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),8-16 Left,8.35,Missed,,,,,,,,,,,,,,,,,,
