actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
241,PT03M29.00S,2023-03-28T02:54:18.0Z,2,REGULAR,turnover,offensive foul,[],1630530,,,1610612740,35,49,2023-03-28T02:54:18Z,2380000,False,,,0,,T. Murphy III offensive foul TURNOVER (1 TO),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1627964.0,,,,,1.0,,,,
242,PT03M29.00S,2023-03-28T02:54:25.6Z,2,REGULAR,substitution,out,[],1628995,,,1610612757,35,49,2023-03-28T02:54:39Z,2390000,False,,,0,,SUB out: K. Knox II,[1628995],1610612757.0,POR,,,,Knox II,K. Knox II,,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT03M29.00S,2023-03-28T02:54:25.6Z,2,REGULAR,substitution,out,[],1630700,,,1610612757,35,49,2023-03-28T02:54:39Z,2400000,False,,,0,,SUB out: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT03M29.00S,2023-03-28T02:54:25.6Z,2,REGULAR,substitution,out,[],1630530,,,1610612757,35,49,2023-03-28T02:54:39Z,2410000,False,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT03M29.00S,2023-03-28T02:54:25.6Z,2,REGULAR,substitution,in,[],1631101,,,1610612757,35,49,2023-03-28T02:54:39Z,2420000,False,,,0,,SUB in: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT03M29.00S,2023-03-28T02:54:25.6Z,2,REGULAR,substitution,in,[],203468,,,1610612757,35,49,2023-03-28T02:54:39Z,2430000,False,,,0,,SUB in: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT03M29.00S,2023-03-28T02:54:25.6Z,2,REGULAR,substitution,in,[],1626196,,,1610612757,35,49,2023-03-28T02:54:39Z,2440000,False,,,0,,SUB in: J. Richardson,[1626196],1610612740.0,NOP,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT03M11.00S,2023-03-28T02:55:04.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629642,5.863994743758213,53.18627450980392,1610612757,35,49,2023-03-28T02:55:12Z,2450000,False,-16.0,3.0,1,left,MISS N. Little driving Layup - blocked,"[1629642, 203468]",1610612757.0,POR,driving,,,Little,N. Little,,,,,Restricted Area,0-8 Center,1.61,Missed,,,,,,,,,,,,,,,,,McCollum,203468.0
249,PT03M11.00S,2023-03-28T02:55:04.4Z,2,REGULAR,block,,[],203468,,,1610612757,35,49,2023-03-28T02:55:06Z,2460000,False,,,0,,C. McCollum BLOCK (1 BLK),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
250,PT03M11.00S,2023-03-28T02:55:04.4Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612757,35,49,2023-03-28T02:55:12Z,2470000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,248.0,,,,,,,,,,,,,
252,PT03M07.00S,2023-03-28T02:55:25.3Z,2,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1631133,16.90210249671485,67.15686274509804,1610612757,35,49,2023-03-28T02:55:34Z,2490000,False,-86.0,106.0,1,left,MISS J. Walker 13' Jump Shot,[1631133],1610612757.0,POR,,,,Walker,J. Walker,,,,,Mid-Range,8-16 Left,13.67,Missed,,,,,,,,,,,,,,,,,,
253,PT03M05.00S,2023-03-28T02:55:27.3Z,2,REGULAR,rebound,defensive,[],1627742,,,1610612740,35,49,2023-03-28T02:55:34Z,2500000,False,,,0,,B. Ingram REBOUND (Off:0 Def:3),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Left,,,,,,,252.0,3.0,3.0,0.0,,,,,,,,,,
254,PT02M59.00S,2023-03-28T02:55:33.5Z,2,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1627742,82.07950065703022,58.82352941176471,1610612740,35,51,2023-03-28T02:55:50Z,2510000,False,44.0,116.0,1,right,B. Ingram 12' running pullup Jump Shot (15 PTS),[1627742],1610612740.0,NOP,running pullup,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,12.41,Made,15.0,,,,,,,,,,,,,,,,,
