actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-12-27T03:11:41.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-27T03:11:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-12-27T03:11:44.2Z,1,REGULAR,jumpball,recovered,[],203081,,,1610612757,0,0,2022-12-27T03:11:44Z,40000,False,,,0,,Jump Ball J. Nurkic vs. M. Plumlee: Tip to D. Lillard,"[203081, 203994, 203486]",1610612757.0,POR,startperiod,D. Lillard,203081.0,Lillard,D. Lillard,Nurkic,203994.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-12-27T03:11:55.8Z,1,REGULAR,3pt,Jump Shot,[],1629014,69.33311432325887,77.20588235294117,1610612757,3,0,2022-12-27T03:12:02Z,70000,False,136.0,236.0,1,right,A. Simons 27' 3PT  (3 PTS) (D. Lillard 1 AST),"[1629014, 203081]",1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Right Center,27.22,Made,3.0,D. Lillard,203081.0,1.0,,,,,,,,,,,,,,
9,PT11M25.00S,2022-12-27T03:12:15.2Z,1,REGULAR,turnover,bad pass,[],1626179,,,1610612766,3,0,2022-12-27T03:12:27Z,90000,False,,,0,,T. Rozier bad pass TURNOVER (1 TO),"[1626179, 203994]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,,,,,,,1.0,Nurkic,203994.0,,,,,,,,,,,
10,PT11M25.00S,2022-12-27T03:12:15.2Z,1,REGULAR,steal,,[],203994,,,1610612757,3,0,2022-12-27T03:12:16Z,100000,False,,,0,,J. Nurkic STEAL (1 STL),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M24.00S,2022-12-27T03:12:17.4Z,1,REGULAR,turnover,bad pass,[],203994,,,1610612757,3,0,2022-12-27T03:12:33Z,110000,False,,,0,,J. Nurkic bad pass TURNOVER (1 TO),"[203994, 202330]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Hayward,202330.0,,,,,,,,,,,
12,PT11M24.00S,2022-12-27T03:12:17.4Z,1,REGULAR,steal,,[],202330,,,1610612766,3,0,2022-12-27T03:12:19Z,120000,False,,,0,,G. Hayward STEAL (1 STL),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M20.00S,2022-12-27T03:12:21.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630163,34.247700394218136,45.09803921568628,1610612766,3,3,2022-12-27T03:12:37Z,130000,False,25.0,269.0,1,left,L. Ball 27' 3PT  (3 PTS) (G. Hayward 1 AST),"[1630163, 202330]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,27.05,Made,3.0,G. Hayward,202330.0,1.0,,,,,,,,,,,,,,
15,PT10M56.00S,2022-12-27T03:12:45.4Z,1,REGULAR,2pt,Jump Shot,[],1629014,92.72339027595268,26.225490196078432,1610612757,5,3,2022-12-27T03:12:52Z,150000,False,-119.0,16.0,1,right,A. Simons 12' driving floating Jump Shot (5 PTS) (D. Lillard 2 AST),"[1629014, 203081]",1610612757.0,POR,driving floating,,,Simons,A. Simons,,,,,Mid-Range,8-16 Left,12.0,Made,5.0,D. Lillard,203081.0,2.0,,,,,,,,,,,,,,
17,PT10M38.00S,2022-12-27T03:13:02.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,10.5946123521682,56.61764705882353,1610612766,5,3,2022-12-27T03:13:13Z,170000,False,-33.0,47.0,1,left,MISS G. Hayward driving floating Shot,[202330],1610612766.0,CHA,driving floating,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),0-8 Center,5.76,Missed,,,,,,,,,,,,,,,,,,
18,PT10M36.00S,2022-12-27T03:13:04.6Z,1,REGULAR,rebound,offensive,[],202330,,,1610612766,5,3,2022-12-27T03:13:13Z,180000,False,,,0,,G. Hayward REBOUND (Off:1 Def:0),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,17.0,1.0,0.0,1.0,,,,,,,
19,PT10M34.00S,2022-12-27T03:13:06.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202330,9.280551905387648,63.725490196078425,1610612766,5,5,2022-12-27T03:13:20Z,190000,False,-69.0,35.0,1,left,G. Hayward 7' bank Jump Shot (2 PTS),[202330],1610612766.0,CHA,bank,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),0-8 Center,7.69,Made,2.0,,,,,,,,,,,,,,,,,
20,PT10M23.00S,2022-12-27T03:13:18.3Z,1,REGULAR,3pt,Jump Shot,[],1629014,68.67608409986859,77.20588235294117,1610612757,8,5,2022-12-27T03:13:24Z,200000,False,136.0,242.0,1,right,A. Simons 27' 3PT  (8 PTS) (D. Lillard 3 AST),"[1629014, 203081]",1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Right Center,27.75,Made,8.0,D. Lillard,203081.0,3.0,,,,,,,,,,,,,,
22,PT10M08.00S,2022-12-27T03:13:32.7Z,1,REGULAR,2pt,Jump Shot,[],1626179,20.45006570302234,52.450980392156865,1610612766,8,5,2022-12-27T03:13:38Z,220000,False,-12.0,140.0,1,left,MISS T. Rozier 14' turnaround fadeaway Shot,[1626179],1610612766.0,CHA,turnaround fadeaway,,,Rozier,T. Rozier,,,,,Mid-Range,8-16 Center,14.02,Missed,,,,,,,,,,,,,,,,,,
23,PT10M05.00S,2022-12-27T03:13:35.7Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612757,8,5,2022-12-27T03:13:38Z,230000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,Mid-Range,8-16 Center,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,
