actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-04-01T02:11:51.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-01T02:11:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-04-01T02:11:54.5Z,1,REGULAR,jumpball,recovered,[],1630570,,,1610612757,0,0,2023-04-01T02:11:54Z,40000,False,,,0,,Jump Ball D. Eubanks vs. D. Sabonis: Tip to T. Watford,"[1630570, 1629234, 1627734]",1610612757.0,POR,startperiod,T. Watford,1630570.0,Watford,T. Watford,Eubanks,1629234.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2023-04-01T02:12:16.2Z,1,REGULAR,turnover,out-of-bounds,[],1629234,,,1610612757,0,0,2023-04-01T02:12:23Z,70000,False,,,0,,D. Eubanks lost ball out-of-bounds TURNOVER (1 TO),[1629234],1610612757.0,POR,lost ball,,,Eubanks,D. Eubanks,,,,,In The Paint (Non-RA),0-8 Center,101284.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M16.00S,2023-04-01T02:12:41.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627734,4.812746386333772,47.794117647058826,1610612758,0,2,2023-04-01T02:12:46Z,80000,False,11.0,-7.0,1,left,D. Sabonis alley-oop Layup (2 PTS) (K. Murray 1 AST),"[1627734, 1631099]",1610612758.0,SAC,alley-oop,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,1.32,Made,2.0,K. Murray,1631099.0,1.0,,,,,,,,,,,,
10,PT10M51.00S,2023-04-01T02:13:05.9Z,1,REGULAR,3pt,Jump Shot,[],1630219,70.38436268068331,71.32352941176471,1610612757,3,2,2023-04-01T02:13:12Z,100000,False,107.0,226.0,1,right,S. Mays 24' 3PT  (3 PTS) (T. Watford 1 AST),"[1630219, 1630570]",1610612757.0,POR,,,,Mays,S. Mays,,,,,Above the Break 3,24+ Right Center,,,24.98,Made,3.0,T. Watford,1630570.0,1.0,,,,,,,,,,,,
12,PT10M37.00S,2023-04-01T02:13:21.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,6.915243101182654,45.588235294117645,1610612758,3,2,2023-04-01T02:13:27Z,120000,False,22.0,13.0,1,left,MISS D. Fox floating Shot - blocked,"[1628368, 1629680]",1610612758.0,SAC,floating,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,2.54,Missed,,,,,Thybulle,1629680.0,,,,,,,,,,
13,PT10M37.00S,2023-04-01T02:13:21.1Z,1,REGULAR,block,,[],1629680,,,1610612758,3,2,2023-04-01T02:13:22Z,130000,False,,,0,,M. Thybulle BLOCK (1 BLK),[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M35.00S,2023-04-01T02:13:23.1Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,3,2,2023-04-01T02:13:27Z,140000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:1),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,
15,PT10M34.00S,2023-04-01T02:13:26.6Z,1,REGULAR,turnover,out-of-bounds,[],1630570,,,1610612757,3,2,2023-04-01T02:13:32Z,150000,False,,,0,,T. Watford bad pass out-of-bounds TURNOVER (1 TO),[1630570],1610612757.0,POR,bad pass,,,Watford,T. Watford,,,,,In The Paint (Non-RA),8-16 Left,101284.0,1.0,,,,,,,,,,,,,,,,,,
16,PT10M28.00S,2023-04-01T02:13:39.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628989,17.821944809461236,94.36274509803921,1610612758,3,2,2023-04-01T02:13:43Z,160000,False,-222.0,115.0,1,left,MISS K. Huerter 24' 3PT,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,,,24.98,Missed,,,,,,,,,,,,,,,,
