actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-25T02:11:41.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-25T02:11:41Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-25T02:11:43.9Z,1,REGULAR,jumpball,recovered,[],203924,,,1610612757,0,0,2022-10-25T02:11:44Z,40000,,,0,,Jump Ball J. Nurkic vs. N. Jokic: Tip to J. Grant,"[203924, 203994, 203999]",1610612757.0,POR,startperiod,J. Grant,203924.0,Grant,J. Grant,Nurkic,203994.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-10-25T02:12:03.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,93.64323258869908,46.568627450980394,1610612757,0,0,2022-10-25T02:12:16Z,70000,-17.0,7.0,1,right,MISS J. Nurkic driving reverse Layup,[203994],1610612757.0,POR,driving reverse,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,1.87,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-10-25T02:12:05.6Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,0,2022-10-25T02:12:16Z,80000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2022-10-25T02:12:15.5Z,1,REGULAR,foul,personal,[],203994,,,1610612743,0,0,2022-10-25T02:12:26Z,90000,,,0,,J. Nurkic personal FOUL (1 PF),"[203994, 203999]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,101284.0,1.0,0.0,Jokic,203999.0,,,,,,,,,
11,PT11M24.00S,2022-10-25T02:12:34.4Z,1,REGULAR,2pt,Jump Shot,[],1629008,16.770696452036795,67.8921568627451,1610612743,0,0,2022-10-25T02:12:41Z,110000,-89.0,105.0,1,left,MISS M. Porter Jr. 13' step back Shot,[1629008],1610612743.0,DEN,step back,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,8-16 Left,13.8,Missed,,,,,,,,,,,,,,,,,,
12,PT11M23.00S,2022-10-25T02:12:35.4Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,0,0,2022-10-25T02:12:41Z,120000,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Mid-Range,8-16 Left,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M16.00S,2022-10-25T02:12:42.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,93.24901445466492,47.30392156862745,1610612757,2,0,2022-10-25T02:12:50Z,130000,-13.0,11.0,1,right,D. Lillard driving Layup (2 PTS),[203081],1610612757.0,POR,driving,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,1.74,Made,,,,,,,,,,2.0,,,,,,,,
14,PT11M00.00S,2022-10-25T02:12:58.6Z,1,REGULAR,2pt,Jump Shot,[],203932,17.427726675427067,28.431372549019606,1610612743,2,0,2022-10-25T02:13:05Z,140000,108.0,111.0,1,left,MISS A. Gordon 15' pullup bank Shot,[203932],1610612743.0,DEN,pullup bank,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Right,15.49,Missed,,,,,,,,,,,,,,,,,,
15,PT10M59.00S,2022-10-25T02:12:59.6Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,2,0,2022-10-25T02:13:05Z,150000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Mid-Range,8-16 Right,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M44.00S,2022-10-25T02:13:27.8Z,1,REGULAR,3pt,Jump Shot,[],203994,68.01905387647832,47.549019607843135,1610612757,2,0,2022-10-25T02:13:32Z,170000,-12.0,248.0,1,right,MISS J. Nurkic 24' 3PT,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Center,24.84,Missed,,,,,,,,,,,,,,,,,,
18,PT10M40.00S,2022-10-25T02:13:31.8Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,2,0,2022-10-25T02:13:32Z,180000,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M35.00S,2022-10-25T02:13:41.4Z,1,REGULAR,violation,kicked ball,[],203924,,,1610612743,2,0,2022-10-25T02:13:51Z,190000,,,0,,J. Grant kicked ball VIOLATION,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,,,,,,1201.0,,,,,,,,,,,,,
20,PT10M29.00S,2022-10-25T02:13:56.6Z,1,REGULAR,turnover,bad pass,[],1629008,,,1610612743,2,0,2022-10-25T02:14:06Z,200000,,,0,,M. Porter Jr. bad pass TURNOVER (1 TO),"[1629008, 1629014]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,1.0,Simons,1629014.0,,,,,
21,PT10M29.00S,2022-10-25T02:13:56.6Z,1,REGULAR,steal,,[],1629014,,,1610612757,2,0,2022-10-25T02:31:12Z,210000,,,0,,A. Simons STEAL (1 STL),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M24.00S,2022-10-25T02:14:01.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203924,66.83639947437582,28.186274509803923,1610612757,2,0,2022-10-25T02:30:36Z,220000,-109.0,259.0,1,right,MISS J. Grant 28' running 3PT,[203924],1610612757.0,POR,running,,,Grant,J. Grant,,,,,Above the Break 3,24+ Left Center,28.12,Missed,,,,,,,,,,,,,,,,,,
23,PT10M21.00S,2022-10-25T02:14:04.1Z,1,REGULAR,rebound,defensive,[],203484,,,1610612743,2,0,2022-10-25T02:14:04Z,230000,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT10M18.00S,2022-10-25T02:14:07.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629008,5.863994743758213,48.77450980392157,1610612743,2,2,2022-10-25T02:14:22Z,240000,6.0,3.0,1,left,M. Porter Jr. running Layup (2 PTS) (K. Caldwell-Pope 1 AST),"[1629008, 203484]",1610612743.0,DEN,running,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,0.66,Made,,,,,,,,,,2.0,,,,K. Caldwell-Pope,203484.0,1.0,,
26,PT09M54.00S,2022-10-25T02:14:30.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,92.59198423127464,58.82352941176471,1610612757,2,2,2022-10-25T02:14:42Z,260000,44.0,17.0,1,right,MISS J. Nurkic driving finger roll Layup,[203994],1610612757.0,POR,driving finger roll,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,4.73,Missed,,,,,,,,,,,,,,,,,,
27,PT09M53.00S,2022-10-25T02:14:32.2Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,2,2,2022-10-25T02:14:32Z,270000,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,26.0,2.0,2.0,0.0,,,,,,,,,,,,,,
28,PT09M49.00S,2022-10-25T02:14:36.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203932,7.178055190538765,48.529411764705884,1610612743,2,4,2022-10-25T02:14:49Z,280000,7.0,15.0,1,left,A. Gordon running DUNK (2 PTS) (N. Jokic 1 AST),"[203932, 203999]",1610612743.0,DEN,running,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,1.67,Made,,,,,,,,,,2.0,,,,N. Jokic,203999.0,1.0,,
30,PT09M38.00S,2022-10-25T02:14:47.9Z,1,REGULAR,3pt,Jump Shot,[],203081,62.36859395532195,49.50980392156863,1610612757,2,4,2022-10-25T02:14:57Z,300000,-2.0,301.0,1,right,MISS D. Lillard 30' pullup 3PT,[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,30.12,Missed,,,,,,,,,,,,,,,,,,
31,PT09M38.00S,2022-10-25T02:14:47.9Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,2,4,2022-10-25T02:14:57Z,310000,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,,,30.0,2.0,2.0,0.0,,,,,,,,,,,,,,
32,PT09M24.00S,2022-10-25T02:15:01.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,6.652431011826544,49.26470588235294,1610612743,2,6,2022-10-25T02:15:07Z,320000,4.0,10.0,1,left,A. Gordon driving finger roll Layup (4 PTS) (K. Caldwell-Pope 2 AST),"[203932, 203484]",1610612743.0,DEN,driving finger roll,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,1.07,Made,,,,,,,,,,4.0,,,,K. Caldwell-Pope,203484.0,2.0,,
