actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-30T03:08:27.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-30T03:08:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-11-30T03:08:30.5Z,1,REGULAR,jumpball,recovered,[],203924,,,1610612757,0,0,2022-11-30T03:08:30Z,40000,False,,,0,,Jump Ball J. Nurkic vs. I. Zubac: Tip to J. Grant,"[203924, 203994, 1627826]",1610612757.0,POR,startperiod,J. Grant,203924.0,Grant,J. Grant,Nurkic,203994.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2022-11-30T03:09:18.1Z,1,REGULAR,3pt,Jump Shot,[],1628404,18.74178712220762,93.87254901960785,1610612757,0,0,2022-11-30T03:09:25Z,80000,False,-219.0,124.0,1,left,MISS J. Hart 25' step back 3PT,[1628404],1610612757.0,POR,step back,,,Hart,J. Hart,,,,,Above the Break 3,24+ Left Center,25.19,Missed,,,,,,,,,,,,,,,,,,
9,PT11M30.00S,2022-11-30T03:09:20.8Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2022-11-30T03:09:20Z,90000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Left Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M23.00S,2022-11-30T03:09:30.7Z,1,REGULAR,foul,personal,['2freethrow'],203994,,,1610612746,0,0,2022-11-30T03:09:37Z,100000,False,,,0,,J. Nurkic shooting personal FOUL (1 PF) (Mann 2 FT),"[203994, 1629611]",1610612757.0,POR,shooting,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,203593.0,1.0,0.0,Mann,1629611.0,,,,,,,,,
12,PT11M23.00S,2022-11-30T03:09:58.5Z,1,REGULAR,freethrow,1 of 2,[],1629611,,,1610612746,0,1,2022-11-30T03:10:19Z,120000,False,,,0,,T. Mann Free Throw 1 of 2 (1 PTS),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
13,PT11M23.00S,2022-11-30T03:09:58.5Z,1,REGULAR,freethrow,2 of 2,[],1629611,,,1610612746,0,1,2022-11-30T03:10:19Z,130000,False,,,0,,MISS T. Mann Free Throw 2 of 2,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
14,PT11M21.00S,2022-11-30T03:10:00.5Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612757,0,1,2022-11-30T03:10:19Z,140000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M05.00S,2022-11-30T03:10:31.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,6.389618922470433,47.549019607843135,1610612757,0,1,2022-11-30T03:10:36Z,150000,False,12.0,8.0,1,left,MISS J. Nurkic driving Layup,[203994],1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,1.45,Missed,,,,,,,,,,,,,,,,,,
16,PT11M04.00S,2022-11-30T03:10:32.3Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,1,2022-11-30T03:10:36Z,160000,False,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,15.0,2.0,2.0,0.0,,,,,,,,,,,,,,
