actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-02-27T02:13:52.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-27T02:13:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-02-27T02:13:54.3Z,1,REGULAR,jumpball,recovered,[],203081,,,1610612757,0,0,2023-02-27T02:13:54Z,40000,False,,,0,,Jump Ball D. Eubanks vs. J. Smith Jr.: Tip to D. Lillard,"[203081, 1629234, 1631095]",1610612757.0,POR,startperiod,D. Lillard,203081.0,Lillard,D. Lillard,Eubanks,1629234.0,Smith Jr.,1631095.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-02-27T02:14:05.8Z,1,REGULAR,3pt,Jump Shot,[],1629629,66.3107752956636,58.57843137254902,1610612757,0,0,2023-02-27T02:14:10Z,70000,False,43.0,264.0,1,right,MISS C. Reddish 26' 3PT,[1629629],1610612757.0,POR,,,,Reddish,C. Reddish,,,,,Above the Break 3,24+ Center,26.77,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-02-27T02:14:10.8Z,1,REGULAR,rebound,defensive,[],1631102,,,1610612745,0,0,2023-02-27T02:14:10Z,80000,False,,,0,,T. Washington Jr. REBOUND (Off:0 Def:1),[1631102],1610612745.0,HOU,,,,Washington Jr.,T. Washington Jr.,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M19.00S,2023-02-27T02:14:32.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,9.411957950065702,49.01960784313725,1610612745,0,2,2023-02-27T02:14:39Z,90000,False,5.0,36.0,1,left,A. Sengun turnaround Hook (2 PTS),[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,3.63,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M02.00S,2023-02-27T02:14:49.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203924,94.30026281208936,49.01960784313725,1610612757,2,2,2023-02-27T02:14:54Z,100000,False,-5.0,1.0,1,right,J. Grant driving Layup (2 PTS),[203924],1610612757.0,POR,driving,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,0.5,Made,,,,,2.0,,,,,,,,,,,,,
11,PT10M47.00S,2023-02-27T02:15:04.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630256,7.5722733245729295,60.78431372549019,1610612745,2,2,2023-02-27T02:15:36Z,110000,False,-54.0,19.0,1,left,MISS J. Tate driving floating bank Shot,[1630256],1610612745.0,HOU,driving floating bank,,,Tate,J. Tate,,,,,In The Paint (Non-RA),0-8 Center,5.71,Missed,,,,,,,,,,,,,,,,,,
12,PT10M45.00S,2023-02-27T02:15:06.0Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612757,2,2,2023-02-27T02:15:08Z,120000,False,,,0,,D. Eubanks REBOUND (Off:0 Def:1),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,In The Paint (Non-RA),0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M40.00S,2023-02-27T02:15:10.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203924,94.69448094612353,53.18627450980392,1610612757,2,2,2023-02-27T02:15:17Z,130000,False,16.0,-3.0,1,right,MISS J. Grant running Layup,[203924],1610612757.0,POR,running,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,1.61,Missed,,,,,,,,,,,,,,,,,,
14,PT10M39.00S,2023-02-27T02:15:12.0Z,1,REGULAR,rebound,defensive,[],1630231,,,1610612745,2,2,2023-02-27T02:15:12Z,140000,False,,,0,,K. Martin Jr. REBOUND (Off:0 Def:1),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Restricted Area,0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
