actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-03-30T02:11:46.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-30T02:11:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-30T02:11:48.8Z,1,REGULAR,jumpball,recovered,[],1629642,,,1610612757,0,0,2023-03-30T02:11:48Z,40000,False,,,0,,Jump Ball D. Eubanks vs. D. Sabonis: Tip to N. Little,"[1629642, 1629234, 1627734]",1610612757.0,POR,startperiod,N. Little,1629642.0,Little,N. Little,Eubanks,1629234.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-03-30T02:12:06.6Z,1,REGULAR,2pt,Jump Shot,[],1628995,92.72339027595268,73.0392156862745,1610612757,2,0,2023-03-30T02:12:10Z,70000,False,115.0,16.0,1,right,K. Knox II 11' pullup Jump Shot (2 PTS) (D. Eubanks 1 AST),"[1628995, 1629234]",1610612757.0,POR,pullup,,,Knox II,K. Knox II,,,,,Mid-Range,8-16 Right,11.63,Made,2.0,D. Eubanks,1629234.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2023-03-30T02:12:22.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,6.258212877792378,51.9607843137255,1610612758,2,0,2023-03-30T02:12:28Z,90000,False,-10.0,6.0,1,left,MISS H. Barnes cutting Layup,[203084],1610612758.0,SAC,cutting,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,1.17,Missed,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2023-03-30T02:12:23.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,2,0,2023-03-30T02:12:28Z,100000,False,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,9.0,,,,,,,,,,,,,
12,PT11M02.00S,2023-03-30T02:12:56.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629234,92.19776609724047,39.950980392156865,1610612757,2,0,2023-03-30T02:13:00Z,120000,False,-50.0,21.0,1,right,MISS D. Eubanks driving Hook,[1629234],1610612757.0,POR,driving,,,Eubanks,D. Eubanks,,,,,In The Paint (Non-RA),0-8 Center,5.43,Missed,,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2023-03-30T02:12:58.7Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,2,0,2023-03-30T02:13:00Z,130000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M53.00S,2023-03-30T02:13:05.0Z,1,REGULAR,3pt,Jump Shot,[],1628368,5.469776609724048,2.696078431372549,1610612758,2,0,2023-03-30T02:13:09Z,140000,False,237.0,-1.0,1,left,MISS D. Fox 3PT,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Right Corner 3,24+ Right,23.65,Missed,,,,,,,,,,,,,,,,,,
15,PT10M51.00S,2023-03-30T02:13:07.0Z,1,REGULAR,rebound,defensive,[],1628995,,,1610612757,2,0,2023-03-30T02:13:09Z,150000,False,,,0,,K. Knox II REBOUND (Off:0 Def:1),[1628995],1610612757.0,POR,,,,Knox II,K. Knox II,,,,,Right Corner 3,24+ Right,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M38.00S,2023-03-30T02:13:20.6Z,1,REGULAR,2pt,Jump Shot,[],1629234,74.06373193166885,62.254901960784316,1610612757,2,0,2023-03-30T02:13:25Z,160000,False,61.0,191.0,1,right,MISS D. Eubanks 20' pullup Shot,[1629234],1610612757.0,POR,pullup,,,Eubanks,D. Eubanks,,,,,Mid-Range,16-24 Center,20.09,Missed,,,,,,,,,,,,,,,,,,
