actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-03-25T02:11:40.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-25T02:11:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-03-25T02:11:43.5Z,1,REGULAR,jumpball,recovered,[],1627853,,,1610612757,0,0,2023-03-25T02:11:43Z,40000,False,,,0,,Jump Ball D. Eubanks vs. N. Vucevic: Tip to R. Arcidiacono,"[1627853, 1629234, 202696]",1610612757.0,POR,startperiod,R. Arcidiacono,1627853.0,Arcidiacono,R. Arcidiacono,Eubanks,1629234.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2023-03-25T02:12:05.0Z,1,REGULAR,3pt,Jump Shot,[],1631101,31.225361366622867,81.61764705882352,1610612757,3,0,2023-03-25T02:12:17Z,70000,False,-158.0,241.0,1,left,S. Sharpe 28' 3PT step back (3 PTS) (T. Watford 1 AST),"[1631101, 1630570]",1610612757.0,POR,step back,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,28.82,Made,3.0,T. Watford,1630570.0,1.0,,,,,,,,,,,,,,
9,PT11M14.00S,2023-03-25T02:12:25.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,93.9060446780552,44.6078431372549,1610612741,3,2,2023-03-25T02:12:29Z,90000,False,-27.0,5.0,1,right,N. Vucevic driving Layup (2 PTS) (Z. LaVine 1 AST),"[202696, 203897]",1610612741.0,CHI,driving,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,2.74,Made,2.0,Z. LaVine,203897.0,1.0,,,,,,,,,,,,,,
11,PT11M01.00S,2023-03-25T02:12:38.7Z,1,REGULAR,turnover,out-of-bounds,[],1629680,,,1610612757,3,2,2023-03-25T02:12:48Z,110000,False,,,0,,M. Thybulle bad pass out-of-bounds TURNOVER (1 TO),[1629680],1610612757.0,POR,bad pass,,,Thybulle,M. Thybulle,,,,,Above the Break 3,24+ Center,,,,,,,201245.0,1.0,,,,,,,,,,,,
12,PT10M48.00S,2023-03-25T02:12:58.5Z,1,REGULAR,turnover,bad pass,[],202696,,,1610612741,3,2,2023-03-25T02:13:02Z,120000,False,,,0,,N. Vucevic bad pass TURNOVER (1 TO),"[202696, 1629234]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Right Center,,,,,,,,1.0,Eubanks,1629234.0,,,,,,,,,,
13,PT10M48.00S,2023-03-25T02:12:58.5Z,1,REGULAR,steal,,[],1629234,,,1610612757,3,2,2023-03-25T02:14:07Z,130000,False,,,0,,D. Eubanks STEAL (1 STL),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
14,PT10M41.00S,2023-03-25T02:13:05.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630570,30.305519053876477,24.754901960784316,1610612757,3,2,2023-03-25T02:13:09Z,140000,False,126.0,232.0,1,left,MISS T. Watford 26' 3PT,[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,Above the Break 3,24+ Right Center,26.45,Missed,,,,,,,,,,,,,,,,,,
15,PT10M38.00S,2023-03-25T02:13:08.5Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,3,2,2023-03-25T02:13:09Z,150000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,
16,PT10M30.00S,2023-03-25T02:13:16.2Z,1,REGULAR,2pt,Jump Shot,[],202696,82.7365308804205,73.2843137254902,1610612741,3,2,2023-03-25T02:13:21Z,160000,False,116.0,110.0,1,right,MISS N. Vucevic 16' Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Right Center,16.0,Missed,,,,,,,,,,,,,,,,,,
