actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-29T03:11:23.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-29T03:11:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-29T03:11:26.0Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612761,0,0,2023-01-29T03:11:26Z,40000,False,,,0,,Jump Ball S. Barnes vs. D. Eubanks: Tip to P. Siakam,"[1627783, 1630567, 1629234]",1610612761.0,TOR,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Barnes,1630567.0,Eubanks,1629234.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2023-01-29T03:11:47.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,7.30946123521682,48.529411764705884,1610612761,0,2,2023-01-29T03:11:57Z,70000,False,7.0,16.0,1,left,P. Siakam driving Layup (2 PTS),[1627783],1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,1.78,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M06.00S,2023-01-29T03:12:16.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,94.03745072273325,43.13725490196079,1610612757,0,2,2023-01-29T03:12:25Z,80000,False,-34.0,4.0,1,right,MISS D. Lillard finger roll Layup,[203081],1610612757.0,POR,finger roll,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,3.45,Missed,,,,,,,,,,,,,,,,,,
9,PT11M02.00S,2023-01-29T03:12:20.7Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,0,2,2023-01-29T03:12:25Z,90000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M00.00S,2023-01-29T03:12:21.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627832,31.35676741130092,66.91176470588235,1610612761,0,2,2023-01-29T03:12:37Z,100000,False,-85.0,242.0,1,left,MISS F. VanVleet 25' running pullup 3PT,[1627832],1610612761.0,TOR,running pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,25.66,Missed,,,,,,,,,,,,,,,,,,
11,PT10M59.00S,2023-01-29T03:12:22.8Z,1,REGULAR,rebound,defensive,[],203924,,,1610612757,0,2,2023-01-29T03:12:37Z,110000,False,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Left Center,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT10M48.00S,2023-01-29T03:12:35.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203924,94.1688567674113,49.26470588235294,1610612757,0,2,2023-01-29T03:12:42Z,120000,False,-4.0,2.0,1,right,MISS J. Grant driving Layup,[203924],1610612757.0,POR,driving,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,0.44,Missed,,,,,,,,,,,,,,,,,,
13,PT10M46.00S,2023-01-29T03:12:36.6Z,1,REGULAR,rebound,offensive,[],1629234,,,1610612757,0,2,2023-01-29T03:12:36Z,130000,False,,,0,,D. Eubanks REBOUND (Off:1 Def:0),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Restricted Area,0-8 Center,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,
14,PT10M41.00S,2023-01-29T03:12:44.5Z,1,REGULAR,foul,personal,['2freethrow'],1627783,,,1610612757,0,2,2023-01-29T03:12:52Z,140000,False,,,0,,P. Siakam shooting personal FOUL (1 PF) (Lillard 2 FT),"[1627783, 203081]",1610612761.0,TOR,shooting,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Left Center,,,,,,,,1627961.0,1.0,0.0,Lillard,203081.0,,,,,,,,
