actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-03-02T03:12:07.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-02T03:12:07Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-02T03:12:10.2Z,1,REGULAR,jumpball,recovered,[],203081,,,1610612757,0,0,2023-03-02T03:12:10Z,40000,False,,,0,,Jump Ball D. Eubanks vs. W. Hernangomez: Tip to D. Lillard,"[203081, 1629234, 1626195]",1610612757.0,POR,startperiod,D. Lillard,203081.0,Lillard,D. Lillard,Eubanks,1629234.0,Hernangomez,1626195.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2023-03-02T03:12:32.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629680,13.091327201051248,44.36274509803921,1610612757,2,0,2023-03-02T03:12:38Z,70000,False,28.0,71.0,1,left,M. Thybulle 7' driving Layup (2 PTS),[1629680],1610612757.0,POR,driving,,,Thybulle,M. Thybulle,,,,,In The Paint (Non-RA),0-8 Center,7.6,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M12.00S,2023-03-02T03:13:07.7Z,1,REGULAR,2pt,Jump Shot,[],203468,91.27792378449409,78.92156862745098,1610612740,2,0,2023-03-02T03:13:13Z,90000,False,145.0,29.0,1,right,MISS C. McCollum 14' Jump Shot,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Right,14.76,Missed,,,,,,,,,,,,,,,,,,
10,PT11M10.00S,2023-03-02T03:13:09.7Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,2,0,2023-03-02T03:13:13Z,100000,False,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Mid-Range,8-16 Right,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M06.00S,2023-03-02T03:13:14.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629680,8.886333771353483,53.18627450980392,1610612757,2,0,2023-03-02T03:13:23Z,110000,False,-16.0,31.0,1,left,MISS M. Thybulle running Layup,[1629680],1610612757.0,POR,running,,,Thybulle,M. Thybulle,,,,,Restricted Area,0-8 Center,3.48,Missed,,,,,,,,,,,,,,,,,,
12,PT11M03.00S,2023-03-02T03:13:17.6Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,2,0,2023-03-02T03:13:23Z,120000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT11M00.00S,2023-03-02T03:13:20.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",203468,90.09526938239159,42.40196078431372,1610612740,2,2,2023-03-02T03:13:31Z,130000,False,-38.0,41.0,1,right,C. McCollum running pullup Jump Shot (2 PTS),[203468],1610612740.0,NOP,running pullup,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,5.56,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M45.00S,2023-03-02T03:13:38.8Z,1,REGULAR,foul,offensive,[],203924,,,1610612757,2,2,2023-03-02T03:13:54Z,140000,False,,,0,,J. Grant charge offensive FOUL (1 PF),"[203924, 1627742]",1610612757.0,POR,charge,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,201638.0,1.0,0.0,Ingram,1627742.0,,,,,,,,
16,PT10M45.00S,2023-03-02T03:13:38.8Z,1,REGULAR,turnover,offensive foul,[],203924,,,1610612757,2,2,2023-03-02T03:13:38Z,160000,False,,,0,,J. Grant offensive foul TURNOVER (1 TO),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,201638.0,,,,,1.0,,,,,,,
17,PT10M25.00S,2023-03-02T03:14:12.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627742,81.68528252299606,50.73529411764706,1610612740,2,2,2023-03-02T03:14:18Z,170000,False,4.0,120.0,1,right,MISS B. Ingram 11' turnaround Shot,[1627742],1610612740.0,NOP,turnaround,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,11.98,Missed,,,,,,,,,,,,,,,,,,
18,PT10M21.00S,2023-03-02T03:14:16.4Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,2,2,2023-03-02T03:14:18Z,180000,False,,,0,,D. Lillard REBOUND (Off:0 Def:2),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),8-16 Center,,,,17.0,2.0,2.0,0.0,,,,,,,,,,,,,
19,PT10M10.00S,2023-03-02T03:14:26.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203924,12.959921156373195,49.754901960784316,1610612757,2,2,2023-03-02T03:14:32Z,190000,False,1.0,69.0,1,left,MISS J. Grant 6' floating Shot,[203924],1610612757.0,POR,floating,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,6.93,Missed,,,,,,,,,,,,,,,,,,
20,PT10M07.00S,2023-03-02T03:14:29.9Z,1,REGULAR,rebound,offensive,[],1629234,,,1610612757,2,2,2023-03-02T03:14:32Z,200000,False,,,0,,D. Eubanks REBOUND (Off:1 Def:0),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,In The Paint (Non-RA),0-8 Center,,,,19.0,1.0,0.0,1.0,,,,,,,,,,,,,
21,PT10M06.00S,2023-03-02T03:14:31.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629234,7.966491458607096,48.529411764705884,1610612757,4,2,2023-03-02T03:14:41Z,210000,False,7.0,22.0,1,left,D. Eubanks putback Layup (2 PTS),[1629234],1610612757.0,POR,putback,,,Eubanks,D. Eubanks,,,,,Restricted Area,0-8 Center,2.36,Made,2.0,,,,,,,,,,,,,,,,,
22,PT09M53.00S,2023-03-02T03:14:43.3Z,1,REGULAR,turnover,lost ball,[],203468,,,1610612740,4,2,2023-03-02T03:14:47Z,220000,False,,,0,,C. McCollum lost ball TURNOVER (1 TO),"[203468, 203081]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1.0,Lillard,203081.0,,,,,
23,PT09M53.00S,2023-03-02T03:14:43.3Z,1,REGULAR,steal,,[],203081,,,1610612757,4,2,2023-03-02T03:14:45Z,230000,False,,,0,,D. Lillard STEAL (1 STL),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
24,PT09M50.00S,2023-03-02T03:14:47.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203081,35.03613666228647,33.33333333333333,1610612757,4,2,2023-03-02T03:14:55Z,240000,False,83.0,277.0,1,left,MISS D. Lillard 28' running pullup 3PT,[203081],1610612757.0,POR,running pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,28.91,Missed,,,,,,,,,,,,,,,,,,
25,PT09M48.00S,2023-03-02T03:14:49.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,4,2,2023-03-02T03:14:55Z,250000,False,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Above the Break 3,24+ Center,,,,24.0,,,,,,,,,,,,,,,,
27,PT09M35.00S,2023-03-02T03:15:11.8Z,1,REGULAR,3pt,Jump Shot,[],203468,66.96780551905388,62.5,1610612740,4,2,2023-03-02T03:15:17Z,270000,False,62.0,258.0,1,right,MISS C. McCollum 26' pullup 3PT - blocked,"[203468, 1629680]",1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,26.55,Missed,,,,,,,,,,,,,,Thybulle,1629680.0,,,
28,PT09M35.00S,2023-03-02T03:15:11.8Z,1,REGULAR,block,,[],1629680,,,1610612740,4,2,2023-03-02T03:15:15Z,280000,False,,,0,,M. Thybulle BLOCK (1 BLK),[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
29,PT09M31.00S,2023-03-02T03:15:15.8Z,1,REGULAR,rebound,defensive,[],1629680,,,1610612757,4,2,2023-03-02T03:15:17Z,290000,False,,,0,,M. Thybulle REBOUND (Off:0 Def:1),[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Above the Break 3,24+ Center,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,
30,PT09M29.00S,2023-03-02T03:15:17.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629680,8.623521681997373,48.28431372549019,1610612757,6,2,2023-03-02T03:15:25Z,300000,False,9.0,29.0,1,left,M. Thybulle running DUNK (4 PTS),[1629680],1610612757.0,POR,running,,,Thybulle,M. Thybulle,,,,,Restricted Area,0-8 Center,2.99,Made,4.0,,,,,,,,,,,,,,,,,
31,PT09M14.00S,2023-03-02T03:15:32.5Z,1,REGULAR,3pt,Jump Shot,[],1630529,70.25295663600527,25.245098039215684,1610612740,6,5,2023-03-02T03:15:37Z,310000,False,-124.0,227.0,1,right,H. Jones 25' 3PT  (3 PTS) (C. McCollum 1 AST),"[1630529, 203468]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Left Center,25.87,Made,3.0,,,,,,,,,,,,,,,C. McCollum,203468.0,1.0
