actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-10-29T02:12:06.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-29T02:12:06Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-10-29T02:12:11.2Z,1,REGULAR,jumpball,recovered,[],1630578,,,1610612745,0,0,2022-10-29T02:12:11Z,40000,,,0,,Jump Ball K. Porter Jr. vs. J. Nurkic: Tip to A. Sengun,"[1630578, 1629645, 203994]",1610612745.0,HOU,startperiod,A. Sengun,1630578.0,Sengun,A. Sengun,Porter Jr.,1629645.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-10-29T02:12:29.5Z,1,REGULAR,2pt,Jump Shot,[],1631095,14.536793692509855,82.84313725490196,1610612745,0,0,2022-10-29T02:13:34Z,70000,-164.0,84.0,1,left,MISS J. Smith Jr. 18' turnaround fadeaway Shot,[1631095],1610612745.0,HOU,turnaround fadeaway,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Left,18.45,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2022-10-29T02:12:31.5Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,0,0,2022-10-29T02:12:42Z,80000,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Mid-Range,16-24 Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M23.00S,2022-10-29T02:12:56.4Z,1,REGULAR,2pt,Jump Shot,[],1631101,78.26872536136662,71.32352941176471,1610612757,2,0,2022-10-29T02:13:00Z,100000,107.0,152.0,1,right,S. Sharpe 18' pullup Jump Shot (2 PTS) (A. Simons 1 AST),"[1631101, 1629014]",1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Right Center,18.55,Made,,,,,2.0,A. Simons,1629014.0,1.0,,,,,,,,,,
12,PT11M00.00S,2022-10-29T02:13:18.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,6.258212877792378,46.81372549019608,1610612745,2,0,2022-10-29T02:13:27Z,120000,16.0,6.0,1,left,MISS A. Sengun driving Layup,[1630578],1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,1.71,Missed,,,,,,,,,,,,,,,,,,
13,PT10M58.00S,2022-10-29T02:13:20.8Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,2,0,2022-10-29T02:13:27Z,130000,,,0,,A. Simons REBOUND (Off:0 Def:2),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,,,12.0,2.0,2.0,0.0,,,,,,,,,,,,,,
14,PT10M45.00S,2022-10-29T02:13:34.3Z,1,REGULAR,3pt,Jump Shot,[],203924,74.32654402102497,11.029411764705882,1610612757,2,0,2022-10-29T02:13:41Z,140000,-195.0,189.0,1,right,MISS J. Grant 27' 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Left Center,27.14,Missed,,,,,,,,,,,,,,,,,,
15,PT10M42.00S,2022-10-29T02:13:37.3Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,2,0,2022-10-29T02:23:15Z,150000,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M36.00S,2022-10-29T02:13:43.4Z,1,REGULAR,3pt,Jump Shot,[],1630224,18.74178712220762,96.56862745098039,1610612745,2,0,2022-10-29T02:13:51Z,160000,-233.0,124.0,1,left,MISS J. Green 26' pullup 3PT,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,26.36,Missed,,,,,,,,,,,,,,,,,,
17,PT10M35.00S,2022-10-29T02:13:44.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,2,0,2022-10-29T02:13:51Z,170000,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Above the Break 3,24+ Left Center,,,16.0,,,,,,,,,,,,,,,,,
19,PT10M19.00S,2022-10-29T02:14:10.2Z,1,REGULAR,3pt,Jump Shot,[],1629014,93.24901445466492,2.941176470588235,1610612757,2,0,2022-10-29T02:14:15Z,190000,-235.0,11.0,1,right,MISS A. Simons 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Left Corner 3,24+ Left,23.56,Missed,,,,,,,,,,,,,,,,,,
20,PT10M16.00S,2022-10-29T02:14:13.2Z,1,REGULAR,rebound,offensive,[],203924,,,1610612757,2,0,2022-10-29T02:14:15Z,200000,,,0,,J. Grant REBOUND (Off:1 Def:0),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Left Corner 3,24+ Left,,,19.0,1.0,0.0,1.0,,,,,,,,,,,,,,
21,PT10M07.00S,2022-10-29T02:14:22.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629014,87.59855453350855,4.411764705882353,1610612757,5,0,2022-10-29T02:14:26Z,210000,-228.0,64.0,1,right,A. Simons 3PT  (3 PTS) (J. Hart 1 AST),"[1629014, 1628404]",1610612757.0,POR,,,,Simons,A. Simons,,,,,Left Corner 3,24+ Left,23.67,Made,,,,,3.0,J. Hart,1628404.0,1.0,,,,,,,,,,
23,PT09M46.00S,2022-10-29T02:14:42.8Z,1,REGULAR,3pt,Jump Shot,[],1630224,31.09395532194481,83.08823529411765,1610612745,5,3,2022-10-29T02:14:47Z,230000,-165.0,240.0,1,left,J. Green 29' 3PT  (3 PTS) (K. Porter Jr. 1 AST),"[1630224, 1629645]",1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,29.13,Made,,,,,3.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,,,
25,PT09M29.00S,2022-10-29T02:15:00.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,92.72339027595268,49.26470588235294,1610612757,7,3,2022-10-29T02:15:04Z,250000,-4.0,16.0,1,right,J. Nurkic turnaround Hook (2 PTS) (J. Grant 1 AST),"[203994, 203924]",1610612757.0,POR,turnaround,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,1.63,Made,,,,,2.0,J. Grant,203924.0,1.0,,,,,,,,,,
27,PT09M13.00S,2022-10-29T02:15:15.2Z,1,REGULAR,3pt,Jump Shot,[],1631095,7.5722733245729295,2.941176470588235,1610612745,7,6,2022-10-29T02:15:19Z,270000,235.0,19.0,1,left,J. Smith Jr. 3PT  (3 PTS) (E. Gordon 1 AST),"[1631095, 201569]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Right Corner 3,24+ Right,23.6,Made,,,,,3.0,E. Gordon,201569.0,1.0,,,,,,,,,,
29,PT08M51.00S,2022-10-29T02:15:38.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,93.9060446780552,61.029411764705884,1610612757,9,6,2022-10-29T02:15:42Z,290000,55.0,5.0,1,right,J. Nurkic turnaround Hook (4 PTS),[203994],1610612757.0,POR,turnaround,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,5.53,Made,,,,,4.0,,,,,,,,,,,,,
30,PT08M38.00S,2022-10-29T02:15:50.2Z,1,REGULAR,turnover,bad pass,[],1629645,,,1610612745,9,6,2022-10-29T02:21:20Z,300000,,,0,,K. Porter Jr. bad pass TURNOVER (1 TO),"[1629645, 203994]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1.0,Nurkic,203994.0,,,,,,,
31,PT08M38.00S,2022-10-29T02:15:50.2Z,1,REGULAR,steal,,[],203994,,,1610612757,9,6,2022-10-29T02:21:20Z,310000,,,0,,J. Nurkic STEAL (1 STL),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
32,PT08M35.00S,2022-10-29T02:15:58.1Z,1,REGULAR,turnover,out-of-bounds,[],203924,,,1610612757,9,6,2022-10-29T02:16:16Z,320000,,,0,,J. Grant bad pass out-of-bounds TURNOVER (1 TO),[203924],1610612757.0,POR,bad pass,,,Grant,J. Grant,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1.0,,,1830.0,,,,,,
33,PT08M14.00S,2022-10-29T02:16:26.4Z,1,REGULAR,turnover,lost ball,[],1629645,,,1610612745,9,6,2022-10-29T02:16:32Z,330000,,,0,,K. Porter Jr. lost ball TURNOVER (2 TO),"[1629645, 203924]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,2.0,Grant,203924.0,,,,,,,
34,PT08M14.00S,2022-10-29T02:16:26.4Z,1,REGULAR,steal,,[],203924,,,1610612757,9,6,2022-10-29T02:16:27Z,340000,,,0,,J. Grant STEAL (1 STL),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
