actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-12-05T02:11:29.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-05T02:11:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-12-05T02:11:31.6Z,1,REGULAR,jumpball,recovered,[],203081,,,1610612757,0,0,2022-12-05T02:11:31Z,40000,False,,,0,,Jump Ball J. Nurkic vs. M. Turner: Tip to D. Lillard,"[203081, 203994, 1626167]",1610612757.0,POR,startperiod,D. Lillard,203081.0,Lillard,D. Lillard,Nurkic,203994.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-12-05T02:11:48.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,93.38042049934296,51.225490196078425,1610612757,2,0,2022-12-05T02:11:55Z,70000,False,6.0,10.0,1,right,J. Nurkic turnaround Hook (2 PTS) (A. Simons 1 AST),"[203994, 1629014]",1610612757.0,POR,turnaround,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,1.15,Made,2.0,A. Simons,1629014.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2022-12-05T02:12:03.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630188,6.521024967148489,52.69607843137255,1610612754,2,0,2022-12-05T02:12:11Z,90000,False,-13.0,9.0,1,left,MISS J. Smith reverse Layup - blocked,"[1630188, 203994]",1610612754.0,IND,reverse,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,1.61,Missed,,,,,Nurkic,203994.0,,,,,,,,,,,,
10,PT11M26.00S,2022-12-05T02:12:03.6Z,1,REGULAR,block,,[],203994,,,1610612754,2,0,2022-12-05T02:12:05Z,100000,False,,,0,,J. Nurkic BLOCK (1 BLK),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M23.00S,2022-12-05T02:12:06.6Z,1,REGULAR,rebound,offensive,[],1630188,,,1610612754,2,0,2022-12-05T02:12:11Z,110000,False,,,0,,J. Smith REBOUND (Off:1 Def:0),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,
12,PT11M21.00S,2022-12-05T02:12:08.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627741,10.5946123521682,4.901960784313726,1610612754,2,3,2022-12-05T02:12:15Z,120000,False,225.0,47.0,1,left,B. Hield 3PT  (3 PTS) (J. Smith 1 AST),"[1627741, 1630188]",1610612754.0,IND,,,,Hield,B. Hield,,,,,Right Corner 3,24+ Right,23.04,Made,3.0,J. Smith,1630188.0,1.0,,,,,,,,,,,,,,
14,PT10M58.00S,2022-12-05T02:12:30.4Z,1,REGULAR,3pt,Jump Shot,[],203081,93.51182654402102,95.09803921568627,1610612757,5,3,2022-12-05T02:12:35Z,140000,False,225.0,8.0,1,right,D. Lillard 3PT step back (3 PTS),[203081],1610612757.0,POR,step back,,,Lillard,D. Lillard,,,,,Right Corner 3,24+ Right,22.57,Made,3.0,,,,,,,,,,,,,,,,,
15,PT10M49.00S,2022-12-05T02:12:38.9Z,1,REGULAR,3pt,Jump Shot,[],1630188,17.95335085413929,5.147058823529411,1610612754,5,3,2022-12-05T02:13:34Z,150000,False,224.0,116.0,1,left,MISS J. Smith 25' 3PT,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Right Center,25.27,Missed,,,,,,,,,,,,,,,,,,
16,PT10M47.00S,2022-12-05T02:12:40.9Z,1,REGULAR,rebound,defensive,[],203924,,,1610612757,5,3,2022-12-05T02:12:45Z,160000,False,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
17,PT10M42.00S,2022-12-05T02:12:46.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203081,69.72733245729303,76.47058823529412,1610612757,5,3,2022-12-05T02:12:56Z,170000,False,132.0,232.0,1,right,MISS D. Lillard 26' running pullup 3PT,[203081],1610612757.0,POR,running pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,26.72,Missed,,,,,,,,,,,,,,,,,,
18,PT10M40.00S,2022-12-05T02:12:48.5Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,5,3,2022-12-05T02:12:56Z,180000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
19,PT10M32.00S,2022-12-05T02:12:56.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630188,6.1268068331143235,49.26470588235294,1610612754,5,5,2022-12-05T02:13:01Z,190000,False,4.0,5.0,1,left,J. Smith cutting DUNK (2 PTS) (B. Hield 1 AST),"[1630188, 1627741]",1610612754.0,IND,cutting,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,0.63,Made,2.0,B. Hield,1627741.0,1.0,,,,,,,,,,,,,,
21,PT10M17.00S,2022-12-05T02:13:12.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629014,93.64323258869908,64.70588235294117,1610612757,5,5,2022-12-05T02:13:20Z,210000,False,74.0,7.0,1,right,MISS A. Simons 7' driving floating bank Shot,[1629014],1610612757.0,POR,driving floating bank,,,Simons,A. Simons,,,,,In The Paint (Non-RA),0-8 Center,7.39,Missed,,,,,,,,,,,,,,,,,,
