actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-09T23:12:01.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-09T23:12:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-11-09T23:12:05.8Z,1,REGULAR,jumpball,recovered,[],1630532,,,1610612753,0,0,2025-11-09T23:12:05Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. N. Queta: Tip to F. Wagner,"[1630532, 1628976, 1629674]",1610612753.0,ORL,startperiod,F. Wagner,1630532.0,Wagner,F. Wagner,Carter Jr.,1628976.0,Queta,1629674.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2025-11-09T23:12:44.1Z,1,REGULAR,foul,personal,['3freethrow'],1630202,,,1610612753,0,0,2025-11-09T23:12:53Z,80000,False,,,0,,P. Pritchard shooting personal FOUL (1 PF) (Suggs 3 FT),"[1630202, 1630591]",1610612738.0,BOS,shooting,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Right Center,1162.0,1.0,0.0,Suggs,1630591.0,,,,,,,,,,,,,,,
10,PT11M34.00S,2025-11-09T23:13:10.9Z,1,REGULAR,freethrow,1 of 3,[],1630591,,,1610612753,1,0,2025-11-09T23:13:10Z,100000,False,,,0,,J. Suggs Free Throw 1 of 3 (1 PTS),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
11,PT11M34.00S,2025-11-09T23:13:26.8Z,1,REGULAR,freethrow,2 of 3,[],1630591,,,1610612753,2,0,2025-11-09T23:13:26Z,110000,False,,,0,,J. Suggs Free Throw 2 of 3 (2 PTS),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
12,PT11M34.00S,2025-11-09T23:13:42.7Z,1,REGULAR,freethrow,3 of 3,[],1630591,,,1610612753,3,0,2025-11-09T23:13:42Z,120000,False,,,0,,J. Suggs Free Throw 3 of 3 (3 PTS),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
13,PT11M20.00S,2025-11-09T23:14:00.1Z,1,REGULAR,foul,personal,[],1631094,,,1610612738,3,0,2025-11-09T23:14:22Z,130000,False,,,0,,P. Banchero loose ball personal FOUL (1 PF),"[1631094, 1629674]",1610612753.0,ORL,loose ball,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,1162.0,1.0,0.0,Queta,1629674.0,,,,,,,,,,,,,,,
15,PT11M13.00S,2025-11-09T23:14:27.1Z,1,REGULAR,turnover,out-of-bounds,[],1630202,,,1610612738,3,0,2025-11-09T23:14:49Z,150000,False,,,0,,P. Pritchard bad pass out-of-bounds TURNOVER (1 TO),[1630202],1610612738.0,BOS,bad pass,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,202901.0,,,,,,,1.0,,,,,,,,,,,,
16,PT10M59.00S,2025-11-09T23:14:48.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628976,31.750985545335087,58.82352941176471,1610612753,6,0,2025-11-09T23:14:53Z,160000,False,-44.0,246.0,1,left,W. Carter Jr. 24' 3PT  (3 PTS) (P. Banchero 1 AST),"[1628976, 1631094]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Center,,,,,,Made,3.0,,24.99,P. Banchero,1631094.0,1.0,,,,,,,,
18,PT10M42.00S,2025-11-09T23:15:05.1Z,1,REGULAR,2pt,Jump Shot,[],1627759,76.03482260183968,75.0,1610612738,6,0,2025-11-09T23:15:15Z,180000,False,125.0,173.0,1,right,MISS J. Brown 21' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right Center,,,,,,Missed,,,21.33,,,,,,,,,,,
