actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-22T22:11:10.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-22T22:11:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-22T22:11:12.9Z,1,REGULAR,jumpball,recovered,[],1628973,,,1610612752,0,0,2025-11-22T22:11:12Z,40000,False,,,0,,Jump Ball M. Robinson vs. W. Carter Jr.: Tip to J. Brunson,"[1628973, 1629011, 1628976]",1610612752.0,NYK,startperiod,J. Brunson,1628973.0,Brunson,J. Brunson,Robinson,1629011.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2025-11-22T22:11:33.9Z,1,REGULAR,2pt,Jump Shot,[],1628973,86.94152431011827,68.87254901960785,1610612752,0,2,2025-11-22T22:11:43Z,70000,False,94.0,70.0,1,right,J. Brunson 11' turnaround Jump Shot (2 PTS),[1628973],1610612752.0,NYK,turnaround,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Right,11.76,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M18.00S,2025-11-22T22:11:51.6Z,1,REGULAR,3pt,Jump Shot,[],1641783,24.26084099868594,86.27450980392157,1610612753,0,2,2025-11-22T22:12:01Z,80000,False,-181.0,176.0,1,left,MISS T. da Silva 25' 3PT,[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Above the Break 3,24+ Left Center,25.25,Missed,,,,,,,,,,,,,,,,,,
9,PT11M15.00S,2025-11-22T22:11:54.6Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,0,2,2025-11-22T22:12:01Z,90000,False,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Above the Break 3,24+ Left Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M07.00S,2025-11-22T22:12:02.9Z,1,REGULAR,3pt,Jump Shot,[],1628973,69.59592641261499,73.52941176470588,1610612752,0,2,2025-11-22T22:12:08Z,100000,False,118.0,233.0,1,right,MISS J. Brunson 26' pullup 3PT,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,26.13,Missed,,,,,,,,,,,,,,,,,,
11,PT11M03.00S,2025-11-22T22:12:06.9Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,2,2025-11-22T22:12:08Z,110000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Right Center,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT10M58.00S,2025-11-22T22:12:11.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,32.40801576872536,53.18627450980392,1610612753,0,2,2025-11-22T22:29:11Z,120000,False,-16.0,252.0,1,left,MISS D. Bane 25' running pullup 3PT - blocked,"[1630217, 1629011]",1610612753.0,ORL,running pullup,,,Bane,D. Bane,,,,,Above the Break 3,24+ Center,25.26,Missed,,,,,,Robinson,1629011.0,,,,,,,,,,,
78,PT10M58.00S,2025-11-22T22:12:11.4Z,1,REGULAR,block,,[],1629011,,,1610612753,0,2,2025-11-22T22:25:02Z,125000,False,,,0,,M. Robinson BLOCK (1 BLK),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
13,PT10M54.00S,2025-11-22T22:12:15.4Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,0,2,2025-11-22T22:12:22Z,130000,False,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Center,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
