actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-04T00:10:53.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-04T00:10:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-12-04T00:10:56.6Z,1,REGULAR,jumpball,recovered,[],1628368,,,1610612759,0,0,2025-12-04T00:10:56Z,40000,False,,,0,,Jump Ball L. Kornet vs. W. Carter Jr.: Tip to D. Fox,"[1628368, 1628436, 1628976]",1610612759.0,SAS,startperiod,D. Fox,1628368.0,Fox,D. Fox,Kornet,1628436.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-12-04T00:11:09.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,84.31340341655716,50.245098039215684,1610612759,0,0,2025-12-04T00:11:33Z,70000,False,1.0,95.0,1,right,MISS D. Vassell 9' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Center,9.5,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2025-12-04T00:11:14.7Z,1,REGULAR,rebound,offensive,[],1628436,,,1610612759,0,0,2025-12-04T00:11:27Z,80000,False,,,0,,L. Kornet REBOUND (Off:1 Def:0),[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M38.00S,2025-12-04T00:11:14.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628436,94.40999984741211,50.0,1610612759,0,0,2025-12-04T00:11:14Z,90000,False,0.0,0.0,1,right,MISS L. Kornet tip Layup,[1628436],1610612759.0,SAS,tip,,,Kornet,L. Kornet,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
10,PT11M36.00S,2025-12-04T00:11:16.0Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,0,2025-12-04T00:11:16Z,100000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Left,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M34.00S,2025-12-04T00:11:18.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630217,6.389618922470433,52.69607843137255,1610612753,0,0,2025-12-04T00:12:09Z,110000,False,-13.0,8.0,1,left,MISS D. Bane running Layup,[1630217],1610612753.0,ORL,running,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,1.55,Missed,,,,,,,,,,,,,,,,,,
12,PT11M31.00S,2025-12-04T00:11:21.3Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612759,0,0,2025-12-04T00:11:35Z,120000,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M22.00S,2025-12-04T00:11:30.9Z,1,REGULAR,3pt,Jump Shot,[],1630170,92.85479632063075,96.32352941176471,1610612759,0,3,2025-12-04T00:11:38Z,130000,False,232.0,15.0,1,right,D. Vassell 3PT  (3 PTS) (L. Kornet 1 AST),"[1630170, 1628436]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Right Corner 3,24+ Right,23.21,Made,,,,,3.0,L. Kornet,1628436.0,1.0,,,,,,,,,,
15,PT10M59.00S,2025-12-04T00:11:53.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,4.681340341655716,54.41176470588235,1610612753,0,3,2025-12-04T00:56:45Z,150000,False,-22.0,-8.0,1,left,MISS D. Bane driving finger roll Layup,[1630217],1610612753.0,ORL,driving finger roll,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,2.37,Missed,,,,,,,,,,,,,,,,,,
