actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
2,PT12M00.00S,2025-12-02T00:42:54.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-02T00:42:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-12-02T00:42:59.2Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2025-12-02T00:42:59Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. N. Vučević: Tip to J. Suggs,"[1630591, 1628976, 202696]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Carter Jr.,1628976.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-12-02T00:43:09.0Z,1,REGULAR,2pt,Jump Shot,[],1628976,87.86136662286465,78.18627450980392,1610612753,2,0,2025-12-02T00:43:15Z,70000,False,141.0,62.0,1,right,W. Carter Jr. 15' Jump Shot (2 PTS) (F. Wagner 1 AST),"[1628976, 1630532]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Right,15.38,Made,2.0,F. Wagner,1630532.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2025-12-02T00:43:35.3Z,1,REGULAR,foul,personal,[],1630217,,,1610612741,2,0,2025-12-02T00:46:17Z,90000,False,,,0,,D. Bane personal FOUL (1 PF),"[1630217, 1641824]",1610612753.0,ORL,,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,,,,,,,204059.0,1.0,0.0,Buzelis,1641824.0,,,,,,,,,
12,PT11M09.00S,2025-12-02T00:44:12.7Z,1,REGULAR,2pt,Jump Shot,[],202696,13.748357424441524,76.22549019607843,1610612741,2,2,2025-12-02T00:44:17Z,120000,False,-131.0,77.0,1,left,N. Vučević 15' turnaround fadeaway Jump Shot (2 PTS),[202696],1610612741.0,CHI,turnaround fadeaway,,,Vučević,N. Vučević,,,,,Mid-Range,8-16 Left,15.19,Made,2.0,,,,,,,,,,,,,,,,,
13,PT10M48.00S,2025-12-02T00:44:33.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628976,92.46057818659659,55.392156862745104,1610612753,4,2,2025-12-02T00:44:39Z,130000,False,27.0,18.0,1,right,W. Carter Jr. alley-oop DUNK (4 PTS) (T. da Silva 1 AST),"[1628976, 1641783]",1610612753.0,ORL,alley-oop,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,3.27,Made,4.0,T. da Silva,1641783.0,1.0,,,,,,,,,,,,,,
15,PT10M41.00S,2025-12-02T00:44:41.1Z,1,REGULAR,3pt,Jump Shot,[],202696,33.196452036793694,47.30392156862745,1610612741,4,5,2025-12-02T00:44:45Z,150000,False,13.0,260.0,1,left,N. Vučević 25' 3PT  (5 PTS) (J. Giddey 1 AST),"[202696, 1630581]",1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Center,25.99,Made,5.0,J. Giddey,1630581.0,1.0,,,,,,,,,,,,,,
17,PT10M26.00S,2025-12-02T00:44:59.3Z,1,REGULAR,turnover,out-of-bounds,[],1630217,,,1610612753,4,5,2025-12-02T00:45:07Z,170000,False,,,0,,D. Bane lost ball out-of-bounds TURNOVER (1 TO),[1630217],1610612753.0,ORL,lost ball,,,Bane,D. Bane,,,,,Mid-Range,8-16 Right,,,,,,,204059.0,,,,,1.0,,,,,,,,
18,PT10M14.00S,2025-12-02T00:45:14.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630245,31.225361366622867,31.862745098039213,1610612741,4,8,2025-12-02T00:45:19Z,180000,False,91.0,241.0,1,left,A. Dosunmu 25' 3PT  (3 PTS) (J. Giddey 2 AST),"[1630245, 1630581]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Right Center,25.75,Made,3.0,J. Giddey,1630581.0,2.0,,,,,,,,,,,,,,
20,PT09M47.00S,2025-12-02T00:45:40.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,86.67871222076215,59.31372549019608,1610612753,6,8,2025-12-02T00:47:01Z,200000,False,47.0,73.0,1,right,F. Wagner 8' driving floating Jump Shot (2 PTS),[1630532],1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Right,8.64,Made,2.0,,,,,,,,,,,,,,,,,
21,PT09M43.00S,2025-12-02T00:45:45.0Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612741,6,8,2025-12-02T00:45:50Z,210000,False,,,0,,J. Giddey bad pass TURNOVER (1 TO),"[1630581, 1630591]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,1.0,Suggs,1630591.0,,,,,,
22,PT09M43.00S,2025-12-02T00:45:45.0Z,1,REGULAR,steal,,[],1630591,,,1610612753,6,8,2025-12-02T00:45:48Z,220000,False,,,0,,J. Suggs STEAL (1 STL),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
23,PT09M37.00S,2025-12-02T00:45:51.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630532,91.93495400788436,51.470588235294116,1610612753,8,8,2025-12-02T03:57:45Z,230000,False,7.0,23.0,1,right,F. Wagner running Layup (4 PTS) (J. Suggs 1 AST),"[1630532, 1630591]",1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,2.44,Made,4.0,J. Suggs,1630591.0,1.0,,,,,,,,,,,,,,
25,PT09M25.00S,2025-12-02T00:46:05.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641824,6.652431011826544,52.94117647058824,1610612741,8,10,2025-12-02T00:46:10Z,250000,False,-15.0,10.0,1,left,M. Buzelis driving Layup (2 PTS) (N. Vučević 1 AST),"[1641824, 202696]",1610612741.0,CHI,driving,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,1.78,Made,2.0,N. Vučević,202696.0,1.0,,,,,,,,,,,,,,
27,PT09M25.00S,2025-12-02T00:46:09.0Z,1,REGULAR,foul,personal,['1freethrow'],1630591,,,1610612741,8,10,2025-12-02T00:46:20Z,270000,False,,,0,,J. Suggs shooting personal FOUL (1 PF) (Buzelis 1 FT),"[1630591, 1641824]",1610612753.0,ORL,shooting,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,,,,,,,203592.0,1.0,0.0,Buzelis,1641824.0,,,,,,,,,
29,PT09M25.00S,2025-12-02T00:46:37.4Z,1,REGULAR,freethrow,1 of 1,[],1641824,,,1610612741,8,11,2025-12-02T00:46:37Z,290000,False,,,0,,M. Buzelis Free Throw 1 of 1 (3 PTS),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
30,PT09M15.00S,2025-12-02T00:46:54.1Z,1,REGULAR,turnover,traveling,[],1641783,,,1610612753,8,11,2025-12-02T00:46:58Z,300000,False,,,0,,T. da Silva traveling TURNOVER (1 TO),[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Mid-Range,16-24 Left,,,,,,,204059.0,,,,,1.0,,,,,,,,
31,PT09M01.00S,2025-12-02T00:47:15.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630245,6.1268068331143235,51.225490196078425,1610612741,8,11,2025-12-02T00:47:19Z,310000,False,-6.0,5.0,1,left,MISS A. Dosunmu driving Layup - blocked,"[1630245, 1628976]",1610612741.0,CHI,driving,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,0.8,Missed,,,,,,,,,,,,,Carter Jr.,1628976.0,,,,
32,PT09M01.00S,2025-12-02T00:47:15.6Z,1,REGULAR,block,,[],1628976,,,1610612741,8,11,2025-12-02T00:47:18Z,320000,False,,,0,,W. Carter Jr. BLOCK (1 BLK),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
33,PT08M57.00S,2025-12-02T00:47:19.6Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,8,11,2025-12-02T00:47:19Z,330000,False,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,31.0,1.0,1.0,0.0
34,PT08M49.00S,2025-12-02T00:47:26.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,87.72996057818659,52.69607843137255,1610612753,8,11,2025-12-02T00:47:32Z,340000,False,13.0,63.0,1,right,MISS F. Wagner 6' driving floating Shot,[1630532],1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,6.42,Missed,,,,,,,,,,,,,,,,,,
36,PT08M46.00S,2025-12-02T00:47:29.3Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,8,11,2025-12-02T00:48:06Z,360000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,34.0,1.0,1.0,0.0
37,PT08M26.00S,2025-12-02T00:47:49.4Z,1,REGULAR,2pt,Jump Shot,[],1630581,21.23850197109067,51.470588235294116,1610612741,8,11,2025-12-02T00:48:00Z,370000,False,-7.0,147.0,1,left,MISS J. Giddey 14' pullup Shot,[1630581],1610612741.0,CHI,pullup,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Center,14.73,Missed,,,,,,,,,,,,,,,,,,
38,PT08M23.00S,2025-12-02T00:47:52.4Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,8,11,2025-12-02T00:48:00Z,380000,False,,,0,,F. Wagner REBOUND (Off:0 Def:2),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,37.0,2.0,2.0,0.0
39,PT08M20.00S,2025-12-02T00:48:00.9Z,1,REGULAR,foul,personal,[],1630245,,,1610612753,8,11,2025-12-02T00:48:27Z,390000,False,,,0,,A. Dosunmu personal FOUL (1 PF),"[1630245, 1641783]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,16-24 Right Center,,,,,,,202056.0,1.0,0.0,da Silva,1641783.0,,,,,,,,,
41,PT08M15.00S,2025-12-02T00:48:26.9Z,1,REGULAR,turnover,bad pass,[],1630532,,,1610612753,8,11,2025-12-02T00:48:31Z,410000,False,,,0,,F. Wagner bad pass TURNOVER (1 TO),"[1630532, 1630245]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,1.0,Dosunmu,1630245.0,,,,,,
42,PT08M15.00S,2025-12-02T00:48:26.9Z,1,REGULAR,steal,,[],1630245,,,1610612741,8,11,2025-12-02T00:48:29Z,420000,False,,,0,,A. Dosunmu STEAL (1 STL),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
43,PT08M10.00S,2025-12-02T00:48:31.4Z,1,REGULAR,turnover,bad pass,[],1630245,,,1610612741,8,11,2025-12-02T00:48:36Z,430000,False,,,0,,A. Dosunmu bad pass TURNOVER (1 TO),"[1630245, 1630217]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,1.0,Bane,1630217.0,,,,,,
44,PT08M10.00S,2025-12-02T00:48:31.4Z,1,REGULAR,steal,,[],1630217,,,1610612753,8,11,2025-12-02T00:48:33Z,440000,False,,,0,,D. Bane STEAL (1 STL),[1630217],1610612753.0,ORL,,,,Bane,D. Bane,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
45,PT08M05.00S,2025-12-02T00:48:37.0Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', 'fastbreak']",1630591,78.26872536136662,67.8921568627451,1610612753,8,11,2025-12-02T00:56:20Z,450000,False,89.0,152.0,1,right,MISS J. Suggs 17' running pullup Shot,[1630591],1610612753.0,ORL,running pullup,,,Suggs,J. Suggs,,,,,Mid-Range,16-24 Right Center,17.62,Missed,,,,,,,,,,,,,,,,,,
46,PT08M01.00S,2025-12-02T00:48:41.0Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,8,11,2025-12-02T00:48:53Z,460000,False,,,0,,J. Giddey REBOUND (Off:0 Def:2),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,45.0,2.0,2.0,0.0
47,PT07M54.00S,2025-12-02T00:48:47.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,11.251642575558476,41.42156862745098,1610612741,8,13,2025-12-02T00:48:56Z,470000,False,43.0,53.0,1,left,J. Giddey 6' driving floating bank Jump Shot (2 PTS),[1630581],1610612741.0,CHI,driving floating bank,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,6.84,Made,2.0,,,,,,,,,,,,,,,,,
48,PT07M43.00S,2025-12-02T00:48:58.3Z,1,REGULAR,2pt,Jump Shot,[],1630591,79.31997371879106,38.23529411764706,1610612753,8,13,2025-12-02T00:57:26Z,480000,False,-59.0,142.0,1,right,MISS J. Suggs 15' driving floating Shot,[1630591],1610612753.0,ORL,driving floating,,,Suggs,J. Suggs,,,,,Mid-Range,8-16 Center,15.36,Missed,,,,,,,,,,,,,,,,,,
49,PT07M41.00S,2025-12-02T00:49:00.3Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,8,13,2025-12-02T00:57:26Z,490000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:1),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,48.0,1.0,1.0,0.0
50,PT07M25.00S,2025-12-02T00:49:16.7Z,1,REGULAR,3pt,Jump Shot,[],1628989,22.683968462549277,89.70588235294117,1610612741,8,13,2025-12-02T00:49:21Z,500000,False,-199.0,161.0,1,left,MISS K. Huerter 25' 3PT,[1628989],1610612741.0,CHI,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,25.54,Missed,,,,,,,,,,,,,,,,,,
51,PT07M20.00S,2025-12-02T00:49:21.7Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,8,13,2025-12-02T00:49:21Z,510000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,50.0,1.0,1.0,0.0
52,PT07M20.00S,2025-12-02T00:49:26.4Z,1,REGULAR,turnover,out-of-bounds,[],1630591,,,1610612753,8,13,2025-12-02T00:49:34Z,520000,False,,,0,,J. Suggs bad pass out-of-bounds TURNOVER (1 TO),[1630591],1610612753.0,ORL,bad pass,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Center,,,,,,,203592.0,,,,,1.0,,,,,,,,
53,PT07M09.00S,2025-12-02T00:49:40.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628989,33.590670170827856,51.9607843137255,1610612741,8,13,2025-12-02T00:49:46Z,530000,False,-10.0,263.0,1,left,MISS K. Huerter 26' pullup 3PT,[1628989],1610612741.0,CHI,pullup,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Center,26.35,Missed,,,,,,,,,,,,,,,,,,
