actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-26T23:10:59.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-26T23:10:59Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2026-03-26T23:11:00.5Z,1,REGULAR,jumpball,recovered,[],1641783,,,1610612753,0,0,2026-03-26T23:11:00Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. M. Raynaud: Tip to T. da Silva,"[1641783, 1628976, 1642875]",1610612753.0,ORL,startperiod,T. da Silva,1641783.0,da Silva,T. da Silva,Carter Jr.,1628976.0,Raynaud,1642875.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-03-26T23:11:12.2Z,1,REGULAR,turnover,out-of-bounds,[],1630217,,,1610612753,0,0,2026-03-26T23:11:22Z,70000,False,,,0,,D. Bane bad pass out-of-bounds TURNOVER (1 TO),[1630217],1610612753.0,ORL,bad pass,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,1148.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2026-03-26T23:11:38.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630173,93.9060446780552,49.754901960784316,1610612758,0,0,2026-03-26T23:11:45Z,80000,False,-1.0,5.0,1,right,MISS P. Achiuwa driving Layup - blocked,"[1630173, 1630591]",1610612758.0,SAC,driving,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,0.49,Missed,Suggs,1630591.0,,,,,,,,,,,,,,
60,PT11M26.00S,2026-03-26T23:11:38.3Z,1,REGULAR,block,,[],1630591,,,1610612758,0,0,2026-03-26T23:21:06Z,85000,False,,,0,,J. Suggs BLOCK (1 BLK),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M24.00S,2026-03-26T23:11:40.3Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,0,2026-03-26T23:21:06Z,90000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,
10,PT11M19.00S,2026-03-26T23:11:44.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631094,5.601182654402102,56.61764705882353,1610612753,0,0,2026-03-26T23:21:27Z,100000,False,-33.0,0.0,1,left,MISS P. Banchero running Layup,[1631094],1610612753.0,ORL,running,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,3.31,Missed,,,,,,,,,,,,,,,,
11,PT11M18.00S,2026-03-26T23:11:45.9Z,1,REGULAR,rebound,defensive,[],1642875,,,1610612758,0,0,2026-03-26T23:11:55Z,110000,False,,,0,,M. Raynaud REBOUND (Off:0 Def:1),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,Restricted Area,0-8 Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M08.00S,2026-03-26T23:11:56.7Z,1,REGULAR,3pt,Jump Shot,[],1642269,92.32917214191852,1.2254901960784315,1610612758,0,3,2026-03-26T23:12:01Z,120000,False,-244.0,20.0,1,right,D. Carter 24' 3PT  (3 PTS) (M. Monk 1 AST),"[1642269, 1628370]",1610612758.0,SAC,,,,Carter,D. Carter,,,,,Left Corner 3,24+ Left,,,24.47,Made,,,,,,,3.0,M. Monk,1628370.0,1.0,,,,,,
15,PT10M56.00S,2026-03-26T23:12:22.0Z,1,REGULAR,3pt,Jump Shot,[],1641783,27.808804204993432,76.9607843137255,1610612753,3,3,2026-03-26T23:12:27Z,150000,False,-135.0,209.0,1,left,T. da Silva 24' 3PT  (3 PTS) (J. Suggs 1 AST),"[1641783, 1630591]",1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Above the Break 3,24+ Left Center,,,24.86,Made,,,,,,,3.0,J. Suggs,1630591.0,1.0,,,,,,
17,PT10M38.00S,2026-03-26T23:12:39.9Z,1,REGULAR,3pt,Jump Shot,[],1642269,76.42904073587385,88.23529411764706,1610612758,3,3,2026-03-26T23:12:44Z,170000,False,191.0,169.0,1,right,MISS D. Carter 25' 3PT,[1642269],1610612758.0,SAC,,,,Carter,D. Carter,,,,,Above the Break 3,24+ Right Center,,,25.52,Missed,,,,,,,,,,,,,,,,
18,PT10M35.00S,2026-03-26T23:12:42.9Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,3,3,2026-03-26T23:12:44Z,180000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,17.0,2.0,2.0,0.0,,,,,,,,,,
