actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-15T00:11:27.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-15T00:11:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-15T00:11:29.3Z,1,REGULAR,jumpball,recovered,[],1641730,,,1610612751,0,0,2025-11-15T00:11:29Z,40000,False,,,0,,Jump Ball N. Claxton vs. W. Carter Jr.: Tip to N. Clowney,"[1641730, 1629651, 1628976]",1610612751.0,BKN,startperiod,N. Clowney,1641730.0,Clowney,N. Clowney,Claxton,1629651.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2025-11-15T00:11:47.6Z,1,REGULAR,2pt,Jump Shot,[],1642856,73.01248357424441,38.23529411764706,1610612751,0,0,2025-11-15T00:11:52Z,70000,False,-59.0,201.0,1,right,MISS E. Dëmin 20' pullup Shot,[1642856],1610612751.0,BKN,pullup,,,Dëmin,E. Dëmin,,,,,Mid-Range,16-24 Center,20.96,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2025-11-15T00:11:50.6Z,1,REGULAR,rebound,offensive,[],1642856,,,1610612751,0,0,2025-11-15T00:11:52Z,80000,False,,,0,,E. Dëmin REBOUND (Off:1 Def:0),[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Mid-Range,16-24 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M31.00S,2025-11-15T00:11:55.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629008,72.35545335085413,41.42156862745098,1610612751,0,0,2025-11-15T00:12:03Z,90000,False,-43.0,207.0,1,right,MISS M. Porter Jr. 21' pullup Shot,[1629008],1610612751.0,BKN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Center,21.18,Missed,,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2025-11-15T00:11:57.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,0,0,2025-11-15T00:12:03Z,100000,False,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Mid-Range,16-24 Center,,,9.0,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2025-11-15T00:12:27.6Z,1,REGULAR,3pt,Jump Shot,[],1630532,12.746386333771353,4.189644607843137,1610612753,0,0,2025-11-15T00:12:45Z,120000,False,229.0,67.0,1,left,MISS F. Wagner step back 3PT,[1630532],1610612753.0,ORL,step back,,,Wagner,F. Wagner,,,,,Right Corner 3,24+ Right,23.88,Missed,,,,,,,,,,,,,,,,,,
13,PT11M03.00S,2025-11-15T00:12:31.6Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,0,0,2025-11-15T00:12:45Z,130000,False,,,0,,W. Carter Jr. REBOUND (Off:1 Def:0),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Right Corner 3,24+ Right,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT11M02.00S,2025-11-15T00:12:33.7Z,1,REGULAR,turnover,out-of-bounds,[],1630591,,,1610612753,0,0,2025-11-15T00:12:52Z,140000,False,,,0,,J. Suggs bad pass out-of-bounds TURNOVER (1 TO),[1630591],1610612753.0,ORL,bad pass,,,Suggs,J. Suggs,,,,,Left Corner 3,24+ Left,,,,,,,1155.0,1.0,,,,,,,,,,,,
15,PT10M48.00S,2025-11-15T00:12:55.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629008,85.23324572930355,42.15686274509804,1610612751,0,2,2025-11-15T00:13:04Z,150000,False,-39.0,86.0,1,right,M. Porter Jr. 9' pullup Jump Shot (2 PTS) (N. Clowney 1 AST),"[1629008, 1641730]",1610612751.0,BKN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,9.48,Made,,,,,,,2.0,N. Clowney,1641730.0,1.0,,,,,,,,
