actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-25T00:11:33.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-25T00:11:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-25T00:11:36.0Z,1,REGULAR,jumpball,recovered,[],1628378,,,1610612739,0,0,2026-01-25T00:11:36Z,40000,False,,,0,,Jump Ball J. Allen vs. W. Carter Jr.: Tip to D. Mitchell,"[1628378, 1628386, 1628976]",1610612739.0,CLE,startperiod,D. Mitchell,1628378.0,Mitchell,D. Mitchell,Allen,1628386.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2026-01-25T00:11:54.0Z,1,REGULAR,3pt,Jump Shot,[],1630596,34.641918528252305,77.20588235294117,1610612739,0,0,2026-01-25T00:12:02Z,70000,False,-136.0,273.0,1,left,MISS E. Mobley 30' 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Left Center,30.51,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2026-01-25T00:11:56.0Z,1,REGULAR,rebound,defensive,[],1641710,,,1610612753,0,0,2026-01-25T00:12:02Z,80000,False,,,0,,A. Black REBOUND (Off:0 Def:1),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M22.00S,2026-01-25T00:12:28.1Z,1,REGULAR,turnover,lost ball,[],1628976,,,1610612753,0,0,2026-01-25T00:12:33Z,100000,False,,,0,,W. Carter Jr. lost ball TURNOVER (1 TO),"[1628976, 1628378]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Mitchell,1628378.0,,,,,,,,,,,
11,PT11M22.00S,2026-01-25T00:12:28.1Z,1,REGULAR,steal,,[],1628378,,,1610612739,0,0,2026-01-25T00:12:29Z,110000,False,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2026-01-25T00:12:35.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628378,9.543363994743759,60.78431372549019,1610612739,0,0,2026-01-25T00:15:18Z,120000,False,-54.0,37.0,1,left,MISS D. Mitchell 6' running Layup,[1628378],1610612739.0,CLE,running,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,6.55,Missed,,,,,,,,,,,,,,,,,,
14,PT11M12.00S,2026-01-25T00:12:39.0Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,0,0,2026-01-25T00:12:43Z,140000,False,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
15,PT11M11.00S,2026-01-25T00:12:39.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630596,9.543363994743759,51.71568627450981,1610612739,0,0,2026-01-25T00:12:52Z,150000,False,-9.0,37.0,1,left,MISS E. Mobley cutting Layup,[1630596],1610612739.0,CLE,cutting,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,3.82,Missed,,,,,,,,,,,,,,,,,,
16,PT11M10.00S,2026-01-25T00:12:40.2Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,0,2026-01-25T00:12:52Z,160000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
