actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2026-02-10T00:42:52.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-10T00:42:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-02-10T00:42:55.7Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2026-02-10T00:42:55Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. M. Turner: Tip to J. Suggs,"[1630591, 1628976, 1626167]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Carter Jr.,1628976.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-02-10T00:43:07.4Z,1,REGULAR,3pt,Jump Shot,[],1630217,33.065045992115635,54.90196078431373,1610612753,0,0,2026-02-10T00:43:13Z,70000,False,-25.0,258.0,1,left,MISS D. Bane 25' 3PT,[1630217],1610612753.0,ORL,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Center,25.95,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2026-02-10T00:43:10.4Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612749,0,0,2026-02-10T00:43:13Z,80000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2026-02-10T00:43:24.5Z,1,REGULAR,3pt,Jump Shot,[],1626167,65.91655716162943,40.68627450980392,1610612749,0,0,2026-02-10T00:43:33Z,90000,False,-47.0,268.0,1,right,MISS M. Turner 27' 3PT,[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,27.19,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2026-02-10T00:43:27.5Z,1,REGULAR,rebound,offensive,[],1631260,,,1610612749,0,0,2026-02-10T00:43:33Z,100000,False,,,0,,A. Green REBOUND (Off:1 Def:0),[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Above the Break 3,24+ Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M14.00S,2026-02-10T00:43:38.0Z,1,REGULAR,turnover,bad pass,[],1631157,,,1610612749,0,0,2026-02-10T00:43:46Z,110000,False,,,0,,R. Rollins bad pass TURNOVER (1 TO),"[1631157, 1641710]",1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Mid-Range,16-24 Right,,,,,,,1.0,Black,1641710.0,,,,,,,,,,,
12,PT11M14.00S,2026-02-10T00:43:38.0Z,1,REGULAR,steal,,[],1641710,,,1610612753,0,0,2026-02-10T00:43:41Z,120000,False,,,0,,A. Black STEAL (1 STL),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
13,PT11M01.00S,2026-02-10T00:43:52.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628976,9.280551905387648,95.83333333333334,1610612753,0,0,2026-02-10T00:43:58Z,130000,False,-229.0,35.0,1,left,MISS W. Carter Jr. 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Left Corner 3,24+ Left,23.18,Missed,,,,,,,,,,,,,,,,,,
14,PT10M55.00S,2026-02-10T00:43:58.0Z,1,REGULAR,rebound,defensive,[],1631260,,,1610612749,0,0,2026-02-10T00:43:58Z,140000,False,,,0,,A. Green REBOUND (Off:1 Def:1),[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Left Corner 3,24+ Left,,,13.0,2.0,1.0,1.0,,,,,,,,,,,,,,
