actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-10-22T23:14:53.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-22T23:14:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2025-10-22T23:14:59.2Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2025-10-22T23:14:59Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. B. Adebayo: Tip to J. Suggs,"[1630591, 1628976, 1628389]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Carter Jr.,1628976.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-10-22T23:15:10.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628976,6.652431011826544,51.71568627450981,1610612753,2,0,2025-10-22T23:15:18Z,70000,False,-9.0,10.0,1,left,W. Carter Jr. alley-oop DUNK (2 PTS) (P. Banchero 1 AST),"[1628976, 1631094]",1610612753.0,ORL,alley-oop,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,1.32,Made,2.0,P. Banchero,1631094.0,1.0,,,,,,,,,,,,,,
9,PT11M28.00S,2025-10-22T23:15:24.0Z,1,REGULAR,3pt,Jump Shot,[],1626181,67.36202365308804,57.35294117647059,1610612748,2,3,2025-10-22T23:15:32Z,90000,False,37.0,254.0,1,right,N. Powell 25' 3PT  (3 PTS) (D. Mitchell 1 AST),"[1626181, 1630558]",1610612748.0,MIA,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Center,25.69,Made,3.0,D. Mitchell,1630558.0,1.0,,,,,,,,,,,,,,
14,PT11M28.00S,2025-10-22T23:15:29.4Z,1,REGULAR,freethrow,1 of 1,[],1628389,,,1610612748,2,4,2025-10-22T23:21:28Z,115000,False,,,0,,B. Adebayo Free Throw 1 of 1 (1 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
11,PT11M28.00S,2025-10-22T23:15:33.0Z,1,REGULAR,foul,personal,['1freethrow'],1630591,,,1610612748,2,4,2025-10-22T23:22:53Z,145000,False,,,0,,J. Suggs loose ball personal FOUL (1 PF) (Adebayo 1 FT),"[1630591, 1628389]",1610612753.0,ORL,loose ball,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,,,,,,,202007.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,
15,PT11M06.00S,2025-10-22T23:17:54.6Z,1,REGULAR,3pt,Jump Shot,[],1630591,28.597240473061763,25.245098039215684,1610612753,2,4,2025-10-22T23:17:59Z,150000,False,124.0,216.0,1,left,MISS J. Suggs 24' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,24.92,Missed,,,,,,,,,,,,,,,,,,
16,PT11M03.00S,2025-10-22T23:17:57.6Z,1,REGULAR,rebound,defensive,[],1631107,,,1610612748,2,4,2025-10-22T23:17:59Z,160000,False,,,0,,N. Jović REBOUND (Off:0 Def:1),[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
17,PT10M57.00S,2025-10-22T23:18:06.8Z,1,REGULAR,foul,personal,['3freethrow'],1630591,,,1610612748,2,4,2025-10-22T23:18:17Z,170000,False,,,0,,J. Suggs shooting personal FOUL (2 PF) (Powell 3 FT),"[1630591, 1626181]",1610612753.0,ORL,shooting,,,Suggs,J. Suggs,,,,,Left Corner 3,24+ Left,,,,,,,200834.0,2.0,0.0,Powell,1626181.0,,,,,,,,,
19,PT10M57.00S,2025-10-22T23:18:36.8Z,1,REGULAR,freethrow,1 of 3,[],1626181,,,1610612748,2,5,2025-10-22T23:18:36Z,190000,False,,,0,,N. Powell Free Throw 1 of 3 (4 PTS),[1626181],1610612748.0,MIA,,,,Powell,N. Powell,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
