actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-19T00:11:27.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-19T00:11:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-11-19T00:11:30.9Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2025-11-19T00:11:31Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. D. Green: Tip to J. Suggs,"[1630591, 1628976, 203110]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Carter Jr.,1628976.0,Green,203110.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2025-11-19T00:11:48.3Z,1,REGULAR,2pt,Jump Shot,[],1630532,78.66294349540078,60.29411764705882,1610612753,2,0,2025-11-19T00:11:54Z,70000,False,51.0,148.0,1,right,F. Wagner 15' pullup Jump Shot (2 PTS),[1630532],1610612753.0,ORL,pullup,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Center,15.68,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2025-11-19T00:12:03.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,7.178055190538765,45.34313725490196,1610612744,2,0,2025-11-19T00:12:08Z,80000,False,23.0,15.0,1,left,MISS J. Butler III driving Layup,[202710],1610612744.0,GSW,driving,,,Butler III,J. Butler III,,,,,Restricted Area,0-8 Center,2.77,Missed,,,,,,,,,,,,,,,,,,
9,PT11M20.00S,2025-11-19T00:12:06.0Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,2,0,2025-11-19T00:12:08Z,90000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M03.00S,2025-11-19T00:12:22.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,91.14651773981603,60.78431372549019,1610612753,2,0,2025-11-19T00:12:27Z,100000,False,54.0,31.0,1,right,MISS F. Wagner 6' driving floating bank Shot,[1630532],1610612753.0,ORL,driving floating bank,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,6.2,Missed,,,,,,,,,,,,,,,,,,
11,PT11M02.00S,2025-11-19T00:12:23.9Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,2,0,2025-11-19T00:12:27Z,110000,False,,,0,,W. Carter Jr. REBOUND (Off:1 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,10.0,2.0,1.0,1.0,,,,,,,,,,,,,
12,PT10M58.00S,2025-11-19T00:12:28.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641783,94.30026281208936,3.9215686274509802,1610612753,2,0,2025-11-19T00:12:31Z,120000,False,-230.0,1.0,1,right,MISS T. da Silva 3PT,[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Left Corner 3,24+ Left,23.04,Missed,,,,,,,,,,,,,,,,,,
13,PT10M56.00S,2025-11-19T00:12:30.0Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,2,0,2025-11-19T00:22:33Z,130000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Left Corner 3,24+ Left,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M37.00S,2025-11-19T00:12:51.4Z,1,REGULAR,foul,personal,['2freethrow'],1630591,,,1610612744,2,0,2025-11-19T00:13:09Z,140000,False,,,0,,J. Suggs shooting personal FOUL (1 PF) (Moody 2 FT),"[1630591, 1630541]",1610612753.0,ORL,shooting,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1641518.0,1.0,0.0,Moody,1630541.0,,,,,,,,
