actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-04-06T23:11:18.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-06T23:11:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-04-06T23:11:21.7Z,1,REGULAR,jumpball,recovered,[],1631094,,,1610612753,0,0,2026-04-06T23:11:21Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. J. Duren: Tip to P. Banchero,"[1631094, 1628976, 1631105]",1610612753.0,ORL,startperiod,P. Banchero,1631094.0,Banchero,P. Banchero,Carter Jr.,1628976.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-04-06T23:11:38.1Z,1,REGULAR,turnover,bad pass,[],1641783,,,1610612753,0,0,2026-04-06T23:11:44Z,70000,False,,,0,,T. da Silva bad pass TURNOVER (1 TO),"[1641783, 1628989]",1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,In The Paint (Non-RA),8-16 Center,1.0,Huerter,1628989.0,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2026-04-06T23:11:38.1Z,1,REGULAR,steal,,[],1628989,,,1610612765,0,0,2026-04-06T23:11:40Z,80000,False,,,0,,K. Huerter STEAL (1 STL),[1628989],1610612765.0,DET,,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M31.00S,2026-04-06T23:11:47.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631105,92.46057818659659,53.431372549019606,1610612765,0,0,2026-04-06T23:11:54Z,90000,False,17.0,18.0,1,right,MISS J. Duren Layup - blocked,"[1631105, 1630217]",1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,2.52,Missed,Bane,1630217.0,,,,,,,,,,,,,
10,PT11M31.00S,2026-04-06T23:11:47.2Z,1,REGULAR,block,,[],1630217,,,1610612765,0,0,2026-04-06T23:11:51Z,100000,False,,,0,,D. Bane BLOCK (1 BLK),[1630217],1610612753.0,ORL,,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M31.00S,2026-04-06T23:11:47.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,0,0,2026-04-06T23:11:54Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,9.0,,,,,,,,,,,,
13,PT11M29.00S,2026-04-06T23:12:04.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630194,70.77858081471747,21.568627450980394,1610612765,0,0,2026-04-06T23:12:09Z,130000,False,-142.0,222.0,1,right,MISS P. Reed 26' 3PT,[1630194],1610612765.0,DET,,,,Reed,P. Reed,,,,,Above the Break 3,24+ Left Center,,,,26.38,Missed,,,,,,,,,,,,,,,
14,PT11M26.00S,2026-04-06T23:12:07.2Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,0,2026-04-06T23:12:09Z,140000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT11M06.00S,2026-04-06T23:12:27.6Z,1,REGULAR,3pt,Jump Shot,[],1628976,24.655059132720105,86.76470588235294,1610612753,0,0,2026-04-06T23:12:35Z,150000,False,-184.0,179.0,1,left,MISS W. Carter Jr. 25' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,,,,25.68,Missed,,,,,,,,,,,,,,,
16,PT11M03.00S,2026-04-06T23:12:30.6Z,1,REGULAR,rebound,offensive,[],1631094,,,1610612753,0,0,2026-04-06T23:12:35Z,160000,False,,,0,,P. Banchero REBOUND (Off:1 Def:0),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,
17,PT11M01.00S,2026-04-06T23:12:32.5Z,1,REGULAR,turnover,lost ball,[],1631094,,,1610612753,0,0,2026-04-06T23:12:38Z,170000,False,,,0,,P. Banchero lost ball TURNOVER (1 TO),"[1631094, 1628989]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,1.0,Huerter,1628989.0,,,,,,,,,,,,,,,,,
18,PT11M01.00S,2026-04-06T23:12:32.5Z,1,REGULAR,steal,,[],1628989,,,1610612765,0,0,2026-04-06T23:12:35Z,180000,False,,,0,,K. Huerter STEAL (2 STL),[1628989],1610612765.0,DET,,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M53.00S,2026-04-06T23:12:40.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628989,72.22404730617609,16.176470588235293,1610612765,0,0,2026-04-06T23:12:45Z,190000,False,-169.0,209.0,1,right,MISS K. Huerter 26' 3PT,[1628989],1610612765.0,DET,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,,,,26.85,Missed,,,,,,,,,,,,,,,
20,PT10M48.00S,2026-04-06T23:12:45.6Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,0,0,2026-04-06T23:12:45Z,200000,False,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,
21,PT10M46.00S,2026-04-06T23:12:46.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1641783,6.1268068331143235,50.245098039215684,1610612753,2,0,2026-04-06T23:12:55Z,210000,False,-1.0,5.0,1,left,T. da Silva running DUNK (2 PTS) (J. Suggs 1 AST),"[1641783, 1630591]",1610612753.0,ORL,running,,,da Silva,T. da Silva,,,,,Restricted Area,0-8 Center,,,,0.52,Made,,,,,,,2.0,J. Suggs,1630591.0,1.0,,,,,
23,PT10M30.00S,2026-04-06T23:13:03.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628989,93.51182654402102,53.431372549019606,1610612765,2,2,2026-04-06T23:13:12Z,230000,False,17.0,8.0,1,right,K. Huerter reverse Layup (2 PTS) (J. Duren 1 AST),"[1628989, 1631105]",1610612765.0,DET,reverse,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,,,,1.92,Made,,,,,,,2.0,J. Duren,1631105.0,1.0,,,,,
