actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2025-11-11T00:11:23.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-11T00:11:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-11-11T00:11:33.7Z,1,REGULAR,jumpball,recovered,[],0,,,1610612757,0,0,2025-11-11T00:11:33Z,40000,False,,,0,,Jump Ball D. Clingan vs. W. Carter Jr.: Tip to Team (POR),"[1642270, 1628976]",1610612757.0,POR,startperiod,Team (POR),Clingan,1642270.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-11-11T00:12:11.7Z,1,REGULAR,2pt,Hook,[],1641739,89.70105124835742,65.93137254901961,1610612757,0,2,2025-11-11T00:12:21Z,80000,False,80.0,44.0,1,right,T. Camara 9' driving bank Hook (2 PTS) (D. Avdija 1 AST),"[1641739, 1630166]",1610612757.0,POR,driving bank,,,,,,Mid-Range,8-16 Right,9.12,Made,2.0,Camara,T. Camara,D. Avdija,1630166.0,1.0,,,,,,,,,,,,,,,
10,PT11M26.00S,2025-11-11T00:12:27.1Z,1,REGULAR,3pt,Jump Shot,[],1630217,33.85348226018397,36.51960784313725,1610612753,0,2,2025-11-11T00:12:33Z,100000,False,67.0,266.0,1,left,MISS D. Bane 27' 3PT,[1630217],1610612753.0,ORL,,,,,,,Above the Break 3,24+ Center,27.41,Missed,,Bane,D. Bane,,,,,,,,,,,,,,,,,,
11,PT11M23.00S,2025-11-11T00:12:30.1Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,0,2,2025-11-11T00:12:33Z,110000,False,,,0,,D. Clingan REBOUND (Off:0 Def:1),[1642270],1610612757.0,POR,,,,,,,Above the Break 3,24+ Center,,,,Clingan,D. Clingan,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,
12,PT11M12.00S,2025-11-11T00:12:41.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,89.56964520367937,50.245098039215684,1610612757,0,2,2025-11-11T00:12:49Z,120000,False,1.0,46.0,1,right,MISS D. Avdija driving Layup - blocked,"[1630166, 1628976]",1610612757.0,POR,driving,,,,,,In The Paint (Non-RA),0-8 Center,4.55,Missed,,Avdija,D. Avdija,,,,,,,,Carter Jr.,1628976.0,,,,,,,,,
13,PT11M12.00S,2025-11-11T00:12:41.0Z,1,REGULAR,block,,[],1628976,,,1610612757,0,2,2025-11-11T00:12:44Z,130000,False,,,0,,W. Carter Jr. BLOCK (1 BLK),[1628976],1610612753.0,ORL,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,
14,PT11M10.00S,2025-11-11T00:12:43.0Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612753,0,2,2025-11-11T00:12:49Z,140000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612753.0,ORL,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Bane,D. Bane,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT11M10.00S,2025-11-11T00:12:51.1Z,1,REGULAR,foul,personal,[],1631101,,,1610612753,0,2,2025-11-11T00:13:06Z,150000,False,,,0,,S. Sharpe personal FOUL (1 PF),"[1631101, 1630217]",1610612757.0,POR,,,,,,,Mid-Range,8-16 Center,,,,Sharpe,S. Sharpe,,,,,,,,,,2003.0,1.0,0.0,Bane,1630217.0,,,,
17,PT11M03.00S,2025-11-11T00:13:14.1Z,1,REGULAR,2pt,Jump Shot,[],1630217,19.398817345597898,32.59803921568628,1610612753,2,2,2025-11-11T00:13:18Z,170000,False,87.0,130.0,1,left,D. Bane 15' pullup Jump Shot (2 PTS) (W. Carter Jr. 1 AST),"[1630217, 1628976]",1610612753.0,ORL,pullup,,,,,,Mid-Range,8-16 Right,15.63,Made,2.0,Bane,D. Bane,W. Carter Jr.,1628976.0,1.0,,,,,,,,,,,,,,,
