actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-01-11T20:11:24.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-11T20:11:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-01-11T20:11:28.3Z,1,REGULAR,jumpball,recovered,[],1642869,,,1610612753,0,0,2026-01-11T20:11:28Z,40000,False,,,0,,Jump Ball G. Bitadze vs. D. Queen: Tip to N. Penda,"[1642869, 1629048, 1642852]",1610612753.0,ORL,startperiod,N. Penda,1642869.0,Penda,N. Penda,Bitadze,1629048.0,Queen,1642852.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2026-01-11T20:11:46.9Z,1,REGULAR,3pt,Jump Shot,[],1642869,7.30946123521682,4.166666666666666,1610612753,3,0,2026-01-11T20:11:55Z,70000,False,229.0,16.0,1,left,N. Penda 3PT  (3 PTS) (A. Black 1 AST),"[1642869, 1641710]",1610612753.0,ORL,,,,Penda,N. Penda,,,,,Right Corner 3,24+ Right,22.98,Made,3.0,A. Black,1641710.0,1.0,,,,,,,,,,,,,,
27,PT11M10.00S,2026-01-11T20:12:08.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612740,3,0,2026-01-11T20:18:42Z,95000,False,,,0,,NOP shot clock Team TURNOVER,[],1610612740.0,NOP,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,202041.0,,,,,,,,,,,,,
11,PT10M54.00S,2026-01-11T20:12:30.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630217,9.017739816031538,43.872549019607845,1610612753,5,0,2026-01-11T20:16:55Z,110000,False,31.0,32.0,1,left,D. Bane driving Layup (2 PTS) (G. Bitadze 1 AST),"[1630217, 1629048]",1610612753.0,ORL,driving,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,4.45,Made,2.0,G. Bitadze,1629048.0,1.0,,,,,,,,,,,,,,
13,PT10M37.00S,2026-01-11T20:12:47.5Z,1,REGULAR,3pt,Jump Shot,[],1642847,78.0059132720105,7.8431372549019605,1610612740,5,0,2026-01-11T20:12:51Z,130000,False,-211.0,154.0,1,right,MISS J. Fears 26' 3PT,[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,Above the Break 3,24+ Left Center,26.12,Missed,,,,,,,,,,,,,,,,,,
14,PT10M34.00S,2026-01-11T20:12:50.5Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,5,0,2026-01-11T20:12:51Z,140000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT10M22.00S,2026-01-11T20:13:03.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629048,8.229303547963205,50.245098039215684,1610612753,7,0,2026-01-11T20:13:08Z,150000,False,-1.0,25.0,1,left,G. Bitadze turnaround Hook (2 PTS) (P. Banchero 1 AST),"[1629048, 1631094]",1610612753.0,ORL,turnaround,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,2.49,Made,2.0,P. Banchero,1631094.0,1.0,,,,,,,,,,,,,,
17,PT10M04.00S,2026-01-11T20:13:21.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629627,88.25558475689881,49.50980392156863,1610612740,7,0,2026-01-11T20:13:26Z,170000,False,-2.0,58.0,1,right,MISS Z. Williamson turnaround Shot - blocked,"[1629627, 1629048]",1610612740.0,NOP,turnaround,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,5.8,Missed,,,,,,,,,,Bitadze,1629048.0,,,,,,,
18,PT10M04.00S,2026-01-11T20:13:21.1Z,1,REGULAR,block,,[],1629048,,,1610612740,7,0,2026-01-11T20:13:24Z,180000,False,,,0,,G. Bitadze BLOCK (1 BLK),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
