actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-10-24T23:11:03.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-24T23:11:03Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-10-24T23:11:07.5Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2025-10-24T23:11:07Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. O. Okongwu: Tip to J. Suggs,"[1630591, 1628976, 1630168]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Carter Jr.,1628976.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-10-24T23:11:22.9Z,1,REGULAR,foul,personal,['2freethrow'],1630168,,,1610612753,0,0,2025-10-24T23:11:33Z,70000,False,,,0,,O. Okongwu shooting personal FOUL (1 PF) (Carter Jr. 2 FT),"[1630168, 1628976]",1610612737.0,ATL,shooting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,2530.0,1.0,0.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,
9,PT11M41.00S,2025-10-24T23:11:52.7Z,1,REGULAR,freethrow,1 of 2,[],1628976,,,1610612753,0,0,2025-10-24T23:12:12Z,90000,False,,,0,,MISS W. Carter Jr. Free Throw 1 of 2,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
10,PT11M41.00S,2025-10-24T23:11:52.7Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612753,0,0,2025-10-24T23:12:12Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M41.00S,2025-10-24T23:11:52.7Z,1,REGULAR,freethrow,2 of 2,[],1628976,,,1610612753,0,0,2025-10-24T23:12:12Z,110000,False,,,0,,MISS W. Carter Jr. Free Throw 2 of 2,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
12,PT11M37.00S,2025-10-24T23:11:56.7Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,0,0,2025-10-24T23:12:12Z,120000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M23.00S,2025-10-24T23:12:24.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,83.26215505913272,48.28431372549019,1610612737,0,0,2025-10-24T23:12:32Z,130000,False,-9.0,105.0,1,right,MISS J. Johnson 10' fadeaway Shot,[1630552],1610612737.0,ATL,fadeaway,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,,,10.52,,,,,,,,,
14,PT11M21.00S,2025-10-24T23:12:26.9Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,0,2025-10-24T23:12:32Z,140000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT11M14.00S,2025-10-24T23:12:34.9Z,1,REGULAR,3pt,Jump Shot,[],1630532,4.155716162943495,95.09803921568627,1610612753,3,0,2025-10-24T23:12:39Z,150000,False,-225.0,-13.0,1,left,F. Wagner 3PT  (3 PTS) (J. Suggs 1 AST),"[1630532, 1630591]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Left Corner 3,24+ Left,,,,,,Made,,,,,22.59,3.0,J. Suggs,1630591.0,1.0,,,,,
