actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-06T00:11:05.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-06T00:11:05Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-03-06T00:11:08.6Z,1,REGULAR,jumpball,recovered,[],1631094,,,1610612753,0,0,2026-03-06T00:11:08Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. D. Gafford: Tip to P. Banchero,"[1631094, 1628976, 1629655]",1610612753.0,ORL,startperiod,P. Banchero,1631094.0,Banchero,P. Banchero,Carter Jr.,1628976.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-03-06T00:11:20.7Z,1,REGULAR,turnover,out-of-bounds,[],1631094,,,1610612753,0,0,2026-03-06T00:11:31Z,70000,False,,,0,,P. Banchero bad pass out-of-bounds TURNOVER (1 TO),[1631094],1610612753.0,ORL,bad pass,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Right Center,1629176.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2026-03-06T00:11:43.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203114,89.83245729303549,4.166666666666666,1610612742,0,3,2026-03-06T00:12:01Z,80000,False,-229.0,43.0,1,right,K. Middleton 3PT pullup (3 PTS) (C. Flagg 1 AST),"[203114, 1642843]",1610612742.0,DAL,pullup,,,Middleton,K. Middleton,,,,,Left Corner 3,24+ Left,,,23.32,Made,3.0,C. Flagg,1642843.0,1.0,,,,,,,,,,,,
10,PT11M08.00S,2026-03-06T00:12:04.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641710,10.85742444152431,39.46078431372549,1610612753,0,3,2026-03-06T00:12:42Z,100000,False,53.0,50.0,1,left,MISS A. Black 7' driving Layup,[1641710],1610612753.0,ORL,driving,,,Black,A. Black,,,,,In The Paint (Non-RA),0-8 Center,,,7.24,Missed,,,,,,,,,,,,,,,,
11,PT11M06.00S,2026-03-06T00:12:06.7Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,0,3,2026-03-06T00:12:42Z,110000,False,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT10M48.00S,2026-03-06T00:12:26.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642843,88.91261498028909,45.09803921568628,1610612742,0,3,2026-03-06T00:18:07Z,120000,False,-25.0,52.0,1,right,MISS C. Flagg driving floating bank Shot,[1642843],1610612742.0,DAL,driving floating bank,,,Flagg,C. Flagg,,,,,In The Paint (Non-RA),0-8 Center,,,5.72,Missed,,,,,,,,,,,,,,,,
13,PT10M47.00S,2026-03-06T00:12:27.4Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612742,0,3,2026-03-06T00:26:38Z,130000,False,,,0,,D. Gafford REBOUND (Off:1 Def:0),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,
14,PT10M45.00S,2026-03-06T00:12:30.2Z,1,REGULAR,turnover,bad pass,[],203114,,,1610612742,0,3,2026-03-06T00:20:35Z,140000,False,,,0,,K. Middleton bad pass TURNOVER (1 TO),"[203114, 1641710]",1610612742.0,DAL,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Left Center,,1.0,,,,,,,,,,,Black,1641710.0,,,,,,
15,PT10M45.00S,2026-03-06T00:12:30.2Z,1,REGULAR,steal,,[],1641710,,,1610612753,0,3,2026-03-06T00:13:50Z,150000,False,,,0,,A. Black STEAL (1 STL),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
16,PT10M43.00S,2026-03-06T00:12:39.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630217,6.1268068331143235,51.71568627450981,1610612753,2,3,2026-03-06T00:20:21Z,160000,False,-9.0,5.0,1,left,D. Bane running Layup (2 PTS) (A. Black 1 AST),"[1630217, 1641710]",1610612753.0,ORL,running,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,,,1.0,Made,2.0,A. Black,1641710.0,1.0,,,,,,,,,,,,
17,PT10M27.00S,2026-03-06T00:12:46.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642843,85.23324572930355,45.588235294117645,1610612742,2,3,2026-03-06T00:12:53Z,170000,False,-22.0,86.0,1,right,MISS C. Flagg 8' driving floating Shot,[1642843],1610612742.0,DAL,driving floating,,,Flagg,C. Flagg,,,,,In The Paint (Non-RA),8-16 Center,,,8.91,Missed,,,,,,,,,,,,,,,,
18,PT10M25.00S,2026-03-06T00:12:48.2Z,1,REGULAR,rebound,offensive,[],1642843,,,1610612742,2,3,2026-03-06T00:12:48Z,180000,False,,,0,,C. Flagg REBOUND (Off:1 Def:0),[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,
